entity_type,entity,entity_id,biotype,relationship,sources,n_sources,evidence_types,best_score,score_type,tissue_celltype,confidence_tier,notes
gene,INPP5D,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,INS,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,INSR,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,IQCK,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,ITGB1BP1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,ITM2B,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.04,PIGEAN/EAGGL_weight,,T4 low,
gene,ITM2C,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.84,PIGEAN/EAGGL_weight,,T4 low,
gene,JAZF1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,KIR3DL2,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,KLF16,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,KLK6,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.06,PIGEAN/EAGGL_weight,,T4 low,
gene,LEP,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,LYN,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.54,PIGEAN/EAGGL_weight,,T4 low,
gene,MAOB,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,MAPT,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,MARK4,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,MGMT,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,MIR100,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR107,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR144,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.69,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR146A,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR153-1,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR15B,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR17,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.69,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR186,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR20A,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.68,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR24-1,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR296,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR298,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR29A,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR29B1,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR29C,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR339,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR361,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR3622B,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR375,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR4467,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR455,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.7,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR505,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR520C,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.68,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR644A,,non-coding,associated_with_AD,digcfdekg,1,statistical_association,3.68,PIGEAN/EAGGL_weight,,T4 low,
gene,MIR708,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MIR766,,non-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MME,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,7.79,PIGEAN/EAGGL_weight,,T3 medium,
gene,MMEL1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,MPO,,protein-coding,associated_with_AD,spoke-okn;rdkg;prokn,3,curated_link,,source_count,,T2 high,
gene,MRC1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,MS4A4A,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,4.13,PIGEAN/EAGGL_weight,,T2 high,
gene,MS4A6A,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,4.73,PIGEAN/EAGGL_weight,,T3 medium,
gene,MTHFD1L,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,MTHFR,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,MTOR,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,MYO15A,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,NAGLU,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.93,PIGEAN/EAGGL_weight,,T4 low,
gene,NCK2,,protein-coding,associated_with_AD,spoke-okn;digcfdekg,2,curated_link;statistical_association,3.73,PIGEAN/EAGGL_weight,,T3 medium,
gene,NCSTN,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,4.07,PIGEAN/EAGGL_weight,,T2 high,
gene,ND1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,ND2,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,NDUFAF6,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,NECAB1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.76,PIGEAN/EAGGL_weight,,T4 low,
gene,NECAB2,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.99,PIGEAN/EAGGL_weight,,T4 low,
gene,NECAB3,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.89,PIGEAN/EAGGL_weight,,T4 low,
gene,NECTIN2,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,NEFL,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,NEU2,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.62,PIGEAN/EAGGL_weight,,T4 low,
gene,NFIC,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,NGF,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,NME8,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,4.03,PIGEAN/EAGGL_weight,,T4 low,
gene,NOS3,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,NPY,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,NTRK2,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.69,PIGEAN/EAGGL_weight,,T4 low,
gene,NUP160,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.76,PIGEAN/EAGGL_weight,,T4 low,
gene,OARD1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,OSR1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.74,PIGEAN/EAGGL_weight,,T4 low,
gene,PAWR,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.75,PIGEAN/EAGGL_weight,,T4 low,
gene,PCDH11X,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,PGRMC1,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
gene,PICALM,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,8.72,PIGEAN/EAGGL_weight,,T2 high,
gene,PIK3CB,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PIK3CD,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PIK3CG,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PILRA,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PIN1,,protein-coding,associated_with_AD,digcfdekg,1,statistical_association,3.8,PIGEAN/EAGGL_weight,,T4 low,
gene,PINK1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PLAU,,protein-coding,associated_with_AD,spoke-okn;rdkg,2,curated_link,,source_count,,T3 medium,
gene,PLCG2,,protein-coding,associated_with_AD,spoke-okn;rdkg;digcfdekg,3,curated_link;statistical_association,5.71,PIGEAN/EAGGL_weight,,T2 high,
gene,PLEC,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PLEKHA1,,protein-coding,associated_with_AD,spoke-okn,1,curated_link,,source_count,,T4 low,
gene,PPARG,,protein-coding,associated_with_AD,rdkg,1,curated_link,,source_count,,T4 low,
