hEntrez,humanSymbol,n_studies,n_tissues,n_systems,n_species,max_abs_lfc,min_padj,n_up,n_down,n_strict,studies,n_mouse_studies,mouse_lfc,mouse_tissues,mouse_fanout,n_fly_studies,fly_fanout,fly_lfc,dir_consistency,consensus_dir,in_ocular,in_cns,in_cardio,in_flyhead,systems,xspecies_ok,mouse_systems,score,rank,tier
24147,FJX1,2,2,2,2,2.397,0.000148623,0,2,1,OSD-100|OSD-207,1,-0.30702,left eye,1.0,1,1.0,-2.397,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.562,88,B
6017,RLBP1,2,2,2,2,2.29958,0.0226509,0,2,1,OSD-207|OSD-255,1,-0.246562,retina,1.0,1,3.0,-2.29958,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.537,89,B
7184,HSP90B1,2,2,2,2,2.00694,4.14636e-06,2,0,1,OSD-207|OSD-255,1,0.247924,retina,2.0,1,1.0,2.00694,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.456,90,B
2194,FASN,2,2,2,2,2.00255,0.00597929,0,2,1,OSD-207|OSD-255,1,-0.290617,retina,1.0,1,1.0,-2.00255,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.455,91,B
60386,SLC25A19,2,2,2,2,1.70351,0.000374698,2,0,1,OSD-207|OSD-255,1,0.39174,retina,1.0,1,1.0,1.70351,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.364,92,B
133690,CAPSL,2,2,2,2,1.66766,1.10162e-12,0,2,1,OSD-100|OSD-207,1,-0.874845,left eye,1.0,1,1.0,-1.66766,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.352,93,B
9945,GFPT2,2,2,2,2,1.4838,0.000220932,0,2,1,OSD-100|OSD-207,1,-0.628919,left eye,1.0,1,1.0,-1.4838,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.29,94,B
1737,DLAT,2,2,2,2,1.4358,3.15072e-11,0,2,1,OSD-100|OSD-207,1,-0.355894,left eye,1.0,1,1.0,-1.4358,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.273,95,B
3067,HDC,2,2,2,2,1.38286,3.45564e-19,0,2,1,OSD-207|OSD-255,1,-0.423397,retina,1.0,1,1.0,-1.38286,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.254,96,B
4783,NFIL3,2,2,2,2,1.3546,3.24312e-09,2,0,1,OSD-100|OSD-207,1,0.342703,left eye,1.0,1,2.0,1.3546,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.244,97,B
509,ATP5F1C,2,2,2,2,1.34838,1.4505e-11,0,2,1,OSD-100|OSD-207,1,-0.247269,left eye,1.0,1,1.0,-1.34838,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.242,98,B
539,ATP5PO,2,2,2,2,1.29821,2.39568e-10,0,2,1,OSD-100|OSD-207,1,-0.308637,left eye,1.0,1,1.0,-1.29821,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.223,99,B
171024,SYNPO2,2,2,2,2,1.27555,3.70227e-07,0,2,1,OSD-100|OSD-207,1,-0.50324,left eye,1.0,1,3.0,-1.27555,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.214,100,B
25994,HIGD1A,2,2,2,2,1.26973,0.000265086,2,0,1,OSD-207|OSD-255,1,0.243028,retina,1.0,1,2.0,1.26973,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.212,101,B
513,ATP5F1D,2,2,2,2,1.2687,7.90428e-12,0,2,1,OSD-100|OSD-207,1,-0.171768,left eye,1.0,1,1.0,-1.2687,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.212,102,B
9531,BAG3,2,2,2,2,1.25906,2.85233e-06,0,2,1,OSD-100|OSD-207,1,-0.268638,left eye,1.0,1,3.0,-1.25906,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.208,103,B
135138,PACRG,2,2,2,2,1.2374,0.00633731,2,0,1,OSD-207|OSD-255,1,0.347416,retina,1.0,1,1.0,1.2374,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.199,104,B
10632,ATP5MG,2,2,2,2,1.21476,4.99125e-13,0,2,1,OSD-100|OSD-207,1,-0.247556,left eye,2.0,1,2.0,-1.21476,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.191,105,B
267020,ATP5MGL,2,2,2,2,1.21476,4.99125e-13,0,2,1,OSD-100|OSD-207,1,-0.247556,left eye,2.0,1,2.0,-1.21476,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.191,106,B
1159,CKMT1B,2,2,2,2,1.20886,0.0351223,2,0,1,OSD-207|OSD-255,1,0.232695,retina,2.0,1,3.0,1.20886,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.188,107,B
548596,CKMT1A,2,2,2,2,1.20886,0.0351223,2,0,1,OSD-207|OSD-255,1,0.232695,retina,2.0,1,3.0,1.20886,1.0,UP,True,False,False,True,ocular+flyhead,True,1,28.188,108,B
5708,PSMD2,2,2,2,2,1.16957,0.00559101,0,2,1,OSD-207|OSD-397,1,-0.56745,retina,1.0,1,1.0,-1.16957,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.173,109,B
51181,DCXR,2,2,2,2,1.16046,0.000548452,0,2,1,OSD-100|OSD-207,1,-0.453275,left eye,1.0,1,1.0,-1.16046,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.169,110,B
23646,PLD3,2,2,2,2,1.07413,7.71218e-06,0,2,1,OSD-207|OSD-397,1,-0.40575,retina,1.0,1,3.0,-1.07413,1.0,DOWN,True,False,False,True,ocular+flyhead,True,1,28.134,111,B
