osd,symbol,entrez,log2fc,adj_p
OSD-397,Ppp1r37,232947,-0.483059,0.040783
OSD-397,Cdr2l,237988,-0.52353,0.0412288
OSD-397,Insl5,23919,1.25502,0.00211199
OSD-397,Mrps12,24030,-0.619757,0.040783
OSD-397,Ccdc85b,240514,-0.470359,0.0129158
OSD-397,Spry2,24064,-0.331497,0.0412288
OSD-397,Pgap1,241062,0.486689,0.0494294
OSD-397,9330159M07Rik,319673,0.585967,0.00947526
OSD-397,A430035B10Rik,320312,0.551306,0.00947526
OSD-397,Col8a2,329941,-0.815177,0.046323
OSD-397,Zdhhc18,503610,-0.937385,0.0308832
OSD-397,H1f2,50708,-0.519962,0.0493116
OSD-397,Sap30l,50724,-0.321192,0.0491947
OSD-397,Cers3,545975,2.61934,0.00211199
OSD-397,Ndufa13,67184,-0.449963,0.0491947
OSD-397,Atg101,68118,-0.443654,0.0491947
OSD-397,Metrn,70083,-0.552668,0.0449623
OSD-397,1810055G02Rik,72056,-0.345885,0.0487368
OSD-397,Snip1,76793,-0.388528,0.0351926
OSD-397,Hnrnpm,76936,-0.515058,0.046323
OSD-397,A930007I19Rik,77779,0.732172,0.0308832
OSD-397,Pofut2,80294,-0.326783,0.0449623
OSD-397,Tmem62,96957,0.86385,0.0319996
OSD-162,Mup10,100039008,21.4796,0.0000542774
OSD-162,Gm4724,100043915,0.702874,0.0159968
OSD-162,Gm16573,102635191,6.21485,0.0251464
OSD-162,Ren1,19701,3.53217,0.0350563
OSD-162,Upk3a,22270,-1.69596,0.0294156
OSD-162,Ms4a8a,64381,-1.447,0.00895214
OSD-194,Gm4294,100043209,-22.9515,5.22446e-6
OSD-194,Gm23925,115489589,21.6732,0.0000332884
