symbol,pw,pw_label,pw_id
PSMD2,https://identifiers.org/reactome/R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-HSA-174178
PSMD2,https://identifiers.org/reactome/R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A,R-HSA-174184
PSMD2,https://identifiers.org/reactome/R-HSA-180534,Vpu mediated degradation of CD4,R-HSA-180534
PSMD2,https://identifiers.org/reactome/R-HSA-180585,Vif-mediated degradation of APOBEC3G,R-HSA-180585
PSMD2,https://identifiers.org/reactome/R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,R-HSA-187577
PSMD2,https://identifiers.org/reactome/R-HSA-195253,Degradation of beta-catenin by the destruction complex,R-HSA-195253
PSMD2,https://identifiers.org/reactome/R-HSA-202424,Downstream TCR signaling,R-HSA-202424
PSMD2,https://identifiers.org/reactome/R-HSA-211733,Regulation of activated PAK-2p34 by proteasome mediated degradation,R-HSA-211733
PSMD2,https://identifiers.org/reactome/R-HSA-2467813,Separation of Sister Chromatids,R-HSA-2467813
PSMD2,https://identifiers.org/reactome/R-HSA-2871837,FCERI mediated NF-kB activation,R-HSA-2871837
PSMD2,https://identifiers.org/reactome/R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,R-HSA-349425
PSMD2,https://identifiers.org/reactome/R-HSA-350562,Regulation of ornithine decarboxylase (ODC),R-HSA-350562
PSMD2,https://identifiers.org/reactome/R-HSA-382556,ABC-family proteins mediated transport,R-HSA-382556
PSMD2,https://identifiers.org/reactome/R-HSA-450408,AUF1 (hnRNP D0) binds and destabilizes mRNA,R-HSA-450408
PSMD2,https://identifiers.org/reactome/R-HSA-4608870,Asymmetric localization of PCP proteins,R-HSA-4608870
PSMD2,https://identifiers.org/reactome/R-HSA-4641257,Degradation of AXIN,R-HSA-4641257
PSMD2,https://identifiers.org/reactome/R-HSA-4641258,Degradation of DVL,R-HSA-4641258
PSMD2,https://identifiers.org/reactome/R-HSA-5358346,Hedgehog ligand biogenesis,R-HSA-5358346
PSMD2,https://identifiers.org/reactome/R-HSA-5362768,Hh mutants are degraded by ERAD,R-HSA-5362768
PSMD2,https://identifiers.org/reactome/R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,R-HSA-5607761
PSMD2,https://identifiers.org/reactome/R-HSA-5607764,CLEC7A (Dectin-1) signaling,R-HSA-5607764
PSMD2,https://identifiers.org/reactome/R-HSA-5610780,Degradation of GLI1 by the proteasome,R-HSA-5610780
PSMD2,https://identifiers.org/reactome/R-HSA-5610783,Degradation of GLI2 by the proteasome,R-HSA-5610783
PSMD2,https://identifiers.org/reactome/R-HSA-5610785,GLI3 is processed to GLI3R by the proteasome,R-HSA-5610785
PSMD2,https://identifiers.org/reactome/R-HSA-5632684,Hedgehog 'on' state,R-HSA-5632684
PSMD2,https://identifiers.org/reactome/R-HSA-5658442,Regulation of RAS by GAPs,R-HSA-5658442
PSMD2,https://identifiers.org/reactome/R-HSA-5668541,TNFR2 non-canonical NF-kB pathway,R-HSA-5668541
PSMD2,https://identifiers.org/reactome/R-HSA-5676590,NIK-->noncanonical NF-kB signaling,R-HSA-5676590
PSMD2,https://identifiers.org/reactome/R-HSA-5678895,Defective CFTR causes cystic fibrosis,R-HSA-5678895
PSMD2,https://identifiers.org/reactome/R-HSA-5687128,MAPK6/MAPK4 signaling,R-HSA-5687128
PSMD2,https://identifiers.org/reactome/R-HSA-5689603,UCH proteinases,R-HSA-5689603
PSMD2,https://identifiers.org/reactome/R-HSA-5689880,Ub-specific processing proteases,R-HSA-5689880
PSMD2,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation,R-HSA-6798695
PSMD2,https://identifiers.org/reactome/R-HSA-68867,Assembly of the pre-replicative complex,R-HSA-68867
PSMD2,https://identifiers.org/reactome/R-HSA-68949,Orc1 removal from chromatin,R-HSA-68949
PSMD2,https://identifiers.org/reactome/R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6,R-HSA-69017
PSMD2,https://identifiers.org/reactome/R-HSA-69481,G2/M Checkpoints,R-HSA-69481
PSMD2,https://identifiers.org/reactome/R-HSA-69601,Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A,R-HSA-69601
PSMD2,https://identifiers.org/reactome/R-HSA-75815,Ubiquitin-dependent degradation of Cyclin D,R-HSA-75815
PSMD2,https://identifiers.org/reactome/R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,R-HSA-8852276
PSMD2,https://identifiers.org/reactome/R-HSA-8854050,FBXL7 down-regulates AURKA during mitotic entry and in early mitosis,R-HSA-8854050
PSMD2,https://identifiers.org/reactome/R-HSA-8939236,RUNX1 regulates transcription of genes involved in differentiation of HSCs,R-HSA-8939236
PSMD2,https://identifiers.org/reactome/R-HSA-8939902,Regulation of RUNX2 expression and activity,R-HSA-8939902
PSMD2,https://identifiers.org/reactome/R-HSA-8941858,Regulation of RUNX3 expression and activity,R-HSA-8941858
PSMD2,https://identifiers.org/reactome/R-HSA-8948751,Regulation of PTEN stability and activity,R-HSA-8948751
PSMD2,https://identifiers.org/reactome/R-HSA-8951664,Neddylation,R-HSA-8951664
PSMD2,https://identifiers.org/reactome/R-HSA-9010553,Regulation of expression of SLITs and ROBOs,R-HSA-9010553
PSMD2,https://identifiers.org/reactome/R-HSA-9020702,Interleukin-1 signaling,R-HSA-9020702
PSMD2,https://identifiers.org/reactome/R-HSA-9604323,Negative regulation of NOTCH4 signaling,R-HSA-9604323
PSMD2,https://identifiers.org/reactome/R-HSA-9755511,KEAP1-NFE2L2 pathway,R-HSA-9755511
PSMD2,https://identifiers.org/reactome/R-HSA-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,R-HSA-9762114
PSMD2,https://identifiers.org/reactome/R-HSA-9766229,Degradation of CDH1,R-HSA-9766229
PSMD2,https://identifiers.org/reactome/R-HSA-9824272,Somitogenesis,R-HSA-9824272
PSMD2,https://identifiers.org/reactome/R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,R-HSA-983168
PSMD2,https://identifiers.org/reactome/R-HSA-9907900,Proteasome assembly,R-HSA-9907900
PSMD2,https://identifiers.org/reactome/R-HSA-9932298,Degradation of CRY and PER proteins,R-HSA-9932298
RAD51C,https://identifiers.org/reactome/R-HSA-5685942,HDR through Homologous Recombination (HRR),R-HSA-5685942
RAD51C,https://identifiers.org/reactome/R-HSA-5693554,Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA),R-HSA-5693554
RAD51C,https://identifiers.org/reactome/R-HSA-5693568,Resolution of D-loop Structures through Holliday Junction Intermediates,R-HSA-5693568
RAD51C,https://identifiers.org/reactome/R-HSA-5693579,Homologous DNA Pairing and Strand Exchange,R-HSA-5693579
