symbol,trait,trait_label
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/84709e6580c47ba853c9,Right atrial fractional change
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/86f1a2957a16eef2ff59,Left ventricular end-diastolic volume (BSA-indexed)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/8c8277560d717e98f23e,Left ventricular end diastole inferoseptal wall thickness
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/915600dd3aecf69fd92f,Left ventricular end-systolic volume
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/96a514540bba915f46d8,Depressed affect
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/a6f45a4eecab52e52562,Bicarbonate levels
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/aa128cf6652dcc5e1542,Right ventricular end-systolic volume; BSA indexed
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/adc1bfc966fddd4c25c5,Forced expired volume in 1 second (FEV1)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b4b9007bdd8a34ae990b,Pulmonary artery to aorta ratio; systole
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b4fdd3bf98fb702c4abe,Heart rate
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/b6d248c3dfc3450d50a8,Right atrial maximum area
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/bc10ce697cc3f0ead506,Right atrial minimum area
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/c3c0e3c12ccc1abbdb0f,Left ventricular end-diastolic volume
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/cbd80c7c834174459087,Broad vs. Int alcohol consumption
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD)
APLNR,https://purl.org/okn/frink/kg/digcfdekg/node/trait/d7bc7ef39cadee1c977f,Left ventricular stroke volume (BSA-indexed)
