osd,hEntrez,humanSymbol,log2fc,adj_p,top_fanout,model_symbols,tissue,system,species,dir,strict
OSD-100,9945,GFPT2,-0.628919,0.00278437,1,Gfpt2,left eye,OCULAR,mouse,DOWN,False
OSD-100,9975,NR1D2,-0.228166,0.0470099,1,Nr1d2,left eye,OCULAR,mouse,DOWN,False
OSD-100,10007,GNPDA1,0.291987,0.00276731,1,Gnpda1,left eye,OCULAR,mouse,UP,False
OSD-100,10232,MSLN,-0.987865,0.000112142,1,Msln,left eye,OCULAR,mouse,DOWN,False
OSD-100,10252,SPRY1,-0.262647,0.00449036,1,Spry1,left eye,OCULAR,mouse,DOWN,False
OSD-100,10365,KLF2,-0.402984,0.00276731,1,Klf2,left eye,OCULAR,mouse,DOWN,False
OSD-100,10403,NDC80,0.543563,0.0156364,1,Ndc80,left eye,OCULAR,mouse,UP,False
OSD-100,10449,ACAA2,-0.441303,0.0123561,1,Acaa2,left eye,OCULAR,mouse,DOWN,False
OSD-100,10476,ATP5PD,-0.193468,0.0196577,1,Atp5pd,left eye,OCULAR,mouse,DOWN,False
OSD-100,10614,HEXIM1,-0.162164,0.0394277,1,Hexim1,left eye,OCULAR,mouse,DOWN,False
OSD-100,10628,TXNIP,-0.496465,8.56806e-06,1,Txnip,left eye,OCULAR,mouse,DOWN,False
OSD-100,10632,ATP5MG,-0.247556,0.0394277,2,Atp5mg,left eye,OCULAR,mouse,DOWN,False
OSD-100,10637,LEFTY1,-0.767779,0.0208017,2,Lefty1,left eye,OCULAR,mouse,DOWN,False
OSD-100,10667,FARS2,-0.278934,0.0138901,1,Fars2,left eye,OCULAR,mouse,DOWN,False
OSD-100,10749,KIF1C,-0.234663,0.00276731,1,Kif1c,left eye,OCULAR,mouse,DOWN,False
OSD-100,10903,MTMR11,0.502816,0.0329159,1,Mtmr11,left eye,OCULAR,mouse,UP,False
OSD-100,10924,SMPDL3A,-0.157029,0.0393189,1,Smpdl3a,left eye,OCULAR,mouse,DOWN,False
OSD-100,10991,SLC38A3,0.200465,0.00392963,1,Slc38a3,left eye,OCULAR,mouse,UP,False
OSD-100,11185,INMT,-0.67174,0.00305861,1,Inmt,left eye,OCULAR,mouse,DOWN,False
OSD-100,11224,RPL35,-0.191665,0.0345953,1,Rpl35rt,left eye,OCULAR,mouse,DOWN,False
OSD-100,22809,ATF5,-0.317897,0.0484367,1,Atf5,left eye,OCULAR,mouse,DOWN,False
OSD-100,22941,SHANK2,0.226667,0.00276731,1,Shank2,left eye,OCULAR,mouse,UP,False
OSD-100,23216,TBC1D1,0.25141,0.000338681,1,Tbc1d1,left eye,OCULAR,mouse,UP,False
OSD-100,23336,SYNM,-0.204518,0.0393189,1,Synm,left eye,OCULAR,mouse,DOWN,False
OSD-100,23417,MLYCD,-0.288207,0.0268932,1,Mlycd,left eye,OCULAR,mouse,DOWN,False
OSD-100,23780,APOL2,1.82503,0.0109721,4,Apol7a|Apol9a|Apol9b,left eye,OCULAR,mouse,UP,True
OSD-100,24147,FJX1,-0.30702,0.0133835,1,Fjx1,left eye,OCULAR,mouse,DOWN,False
OSD-100,25873,RPL36,-0.253908,0.0236232,1,Rpl36,left eye,OCULAR,mouse,DOWN,False
OSD-100,27239,GPR162,0.231329,0.0235394,1,Gpr162,left eye,OCULAR,mouse,UP,False
OSD-100,29796,UQCR10,-0.227948,0.0313011,1,Uqcr10,left eye,OCULAR,mouse,DOWN,False
OSD-100,51046,ST8SIA3,0.322605,0.0339504,1,St8sia3,left eye,OCULAR,mouse,UP,False
OSD-100,51079,NDUFA13,-0.242997,0.0327724,1,Ndufa13,left eye,OCULAR,mouse,DOWN,False
OSD-100,51123,ZNF706,-0.185389,0.0467559,1,Zfp706,left eye,OCULAR,mouse,DOWN,False
