osd,symbol,entrez,log2fc,adj_p,tissue,system,species,dir,strict
OSD-564,Rpl41,67945,-1.11684,0.00143852,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps12,20042,-1.30945,0.00118508,hippocampus,CNS,mouse,DOWN,True
OSD-564,Aqp1,11826,1.05079,0.026187,hippocampus,CNS,mouse,UP,True
OSD-564,Ccnb1,268697,-1.22766,0.00576456,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps19,20085,-1.11006,0.00246176,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl9-ps6,100042823,-1.55328,0.000471016,hippocampus,CNS,mouse,DOWN,True
OSD-564,Snora73a,100306944,-1.68675,0.0110744,hippocampus,CNS,mouse,DOWN,True
OSD-564,Lpl,16956,1.11854,0.0223178,hippocampus,CNS,mouse,UP,True
OSD-564,Mrps25,64658,1.24342,0.00079813,hippocampus,CNS,mouse,UP,True
OSD-564,Bola2,66162,-1.01438,0.0212052,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps21,66481,-1.35446,0.000801649,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl36,54217,-1.22397,0.000885182,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl9,20005,-1.31144,0.00278492,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rgs18,64214,-1.76801,0.0352547,hippocampus,CNS,mouse,DOWN,True
OSD-564,Mlxipl,58805,-1.37644,0.025546,hippocampus,CNS,mouse,DOWN,True
OSD-564,Snrpg,68011,-1.05205,0.000573473,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl22l1,68028,-1.10876,0.00494075,hippocampus,CNS,mouse,DOWN,True
OSD-564,Hbb-b1,15129,-1.42691,0.0398924,hippocampus,CNS,mouse,DOWN,True
OSD-564,COX2,17709,-1.36496,0.0183184,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl39,67248,-1.09145,0.00590837,hippocampus,CNS,mouse,DOWN,True
OSD-564,Cmah,12763,-1.84561,0.005447,hippocampus,CNS,mouse,DOWN,True
OSD-564,Hbb-b1,100503605,-1.42691,0.0398924,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ikzf3,22780,-1.9602,0.00694405,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rny3,19874,-1.35372,0.0475244,hippocampus,CNS,mouse,DOWN,True
OSD-564,Atp5mk,66477,-1.09776,0.00349487,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps27a,78294,-1.09757,0.002428,hippocampus,CNS,mouse,DOWN,True
OSD-564,Atp5mk,102639577,-1.09776,0.00349487,hippocampus,CNS,mouse,DOWN,True
OSD-564,Erhrt-ps,100042777,-1.03222,0.0143168,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ndufb4,100041273,-1.08111,0.00249361,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm10076,100126819,-1.32666,0.000233889,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl37a,19981,-1.0227,0.005447,hippocampus,CNS,mouse,DOWN,True
OSD-564,Zfp560,434377,-1.00858,0.000379898,hippocampus,CNS,mouse,DOWN,True
OSD-564,Adam4,11498,-1.11383,0.0144414,hippocampus,CNS,mouse,DOWN,True
OSD-564,Psmg4,69666,-1.01656,0.00512934,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps24,20088,-1.06106,0.00534784,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl17,319195,-1.25323,0.00078763,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps18,20084,-1.06174,0.00864462,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ndufb4,100042503,-1.08111,0.00249361,hippocampus,CNS,mouse,DOWN,True
OSD-564,Sh2b2,23921,1.40007,0.0226191,hippocampus,CNS,mouse,UP,True
OSD-564,Rpl35a,57808,-1.23948,0.00175932,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm26448,115487256,-1.94282,4.14037e-08,hippocampus,CNS,mouse,DOWN,True
OSD-564,Polr2k,17749,-1.22021,0.000124927,hippocampus,CNS,mouse,DOWN,True
OSD-564,Chchd1,66121,-1.02002,0.00316498,hippocampus,CNS,mouse,DOWN,True
OSD-564,Ndufb4,68194,-1.08111,0.00249361,hippocampus,CNS,mouse,DOWN,True
OSD-564,Zfas1,68949,-1.57031,0.000172385,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps23-ps1,100038875,-1.25739,0.0487148,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rpl36-ps12,100043718,-1.28795,0.0195952,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rac2,19354,1.78758,0.0114273,hippocampus,CNS,mouse,UP,True
OSD-564,Pet100,100503890,-1.00607,0.00731029,hippocampus,CNS,mouse,DOWN,True
OSD-564,Chrna1os,102633437,-1.08566,0.0223615,hippocampus,CNS,mouse,DOWN,True
OSD-564,Snora26,100313943,-2.43734,1.9549e-07,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gt(ROSA)26Sor,14910,-1.00195,0.000924271,hippocampus,CNS,mouse,DOWN,True
OSD-564,2410006H16Rik,69221,-1.41324,0.00118909,hippocampus,CNS,mouse,DOWN,True
OSD-564,4933406I18Rik,71045,-1.27518,0.005447,hippocampus,CNS,mouse,DOWN,True
OSD-564,C920021L13Rik,100042889,-1.19813,0.00672614,hippocampus,CNS,mouse,DOWN,True
OSD-564,Zfx,22764,-1.14624,0.00567773,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gm53058,118027462,-1.03786,0.00372128,hippocampus,CNS,mouse,DOWN,True
OSD-564,Cd209a,170786,-2.2645,0.00183184,hippocampus,CNS,mouse,DOWN,True
OSD-564,Rps3,27050,-1.06591,0.00661164,hippocampus,CNS,mouse,DOWN,True
OSD-564,Gas2,14453,-1.01572,0.0314731,hippocampus,CNS,mouse,DOWN,True
OSD-564,Pik3c2g,18705,2.60022,0.0206811,hippocampus,CNS,mouse,UP,True
OSD-564,Stoml3,229277,1.54671,0.0479777,hippocampus,CNS,mouse,UP,True
OSD-564,Map3k6,53608,1.09754,0.0338207,hippocampus,CNS,mouse,UP,True
OSD-564,Rps14,20044,-1.1457,0.00552982,hippocampus,CNS,mouse,DOWN,True
