symbol,disease,disease_label,drug,drug_label
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB00819,Acetazolamide
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB00981,Physostigmine
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB01144,Diclofenamide
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB01214,Metipranolol
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,http://identifiers.org/drugbank/DB11396,Dichlorophen
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_balanced_salt_solution_bss,Balanced Salt Solution Bss
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_pilocarpine_1_,Pilocarpine 1%
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_travoprost_0_004_travatan_,Travoprost 0.004% (travatan)
CHAT,https://rdaccelerate.org/resource/MONDO_GROUPED_1966_1817,closed-angle glaucoma,https://rdaccelerate.org/resource/CTDRUG_triesence,Triesence
GRIA4,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_alleance_,Alleance®
GRIA4,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_atropine_ophthalmic,Atropine Ophthalmic
GRIA4,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_atropine,Atropine
GRIA4,https://rdaccelerate.org/resource/MONDO_GROUPED_GROUP_ca2ff8f36bf786a8,myopia,https://rdaccelerate.org/resource/CTDRUG_treatment_with_brimonidine_eye_drops_0_025_,Treatment With Brimonidine Eye Drops 0.025%
GRID2,http://purl.obolibrary.org/obo/MONDO_0010065,spinocerebellar degeneration with slow eye movements,,
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00186,Lorazepam
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00252,Phenytoin
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00555,Lamotrigine
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00564,Carbamazepine
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB00794,Primidone
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB01068,Clonazepam
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB01174,Phenobarbital
HCN1,http://purl.obolibrary.org/obo/MONDO_0001386,visual epilepsy,http://identifiers.org/drugbank/DB06201,Rufinamide
MFN2,http://purl.obolibrary.org/obo/MONDO_0008134,"autosomal dominant optic atrophy, classic form",,
MFN2,http://purl.obolibrary.org/obo/MONDO_0010788,Leber hereditary optic neuropathy,http://identifiers.org/drugbank/DB09081,Idebenone
MFN2,http://purl.obolibrary.org/obo/MONDO_0010788,Leber hereditary optic neuropathy,https://rdaccelerate.org/resource/CTDRUG_raav2_nd4,Raav2-nd4
