cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5525224995350904832	44.077121	-69.811992	1	EGAD	1	35	35	0	0		0	0	5	1	23	Maine	23023	Sagadahoc County	1					1.0	Sewage treatment (effluent & biosolids)	221320	RICHMOND WASTEWATER TREATMENT FACILITY	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525225304588550144	44.076625	-69.8115858	5	EGAD	5	175	35	0	0		0	0	5	1	23	Maine	23023	Sagadahoc County	1					1.0	Sewage treatment (effluent & biosolids)	221320	RICHMOND WASTEWATER TREATMENT FACILITY	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525405590135767040	44.778281	-69.199306	1	EGAD	1	87	29	0	0		0	0	2	1	23	Maine	23019	Penobscot County	1					1.0	Waste treatment & disposal (landfill, hazardous waste)	562219	SOIL PREPARATION, INC.	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5525836426895163392	44.902846	-68.724388	1	EGAD	1	29	29	0	0		0	0	1	1	23	Maine	23019	Penobscot County	1					1.0	Waste treatment & disposal (landfill, hazardous waste)	562212	ORONO CDD LANDFILL	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526560901978652672	44.205925	-70.517423	1	EGAD	1	29	29	0	0		0	0	39	1	23	Maine	23017	Oxford County	1					1.0	Leather & hide tanning and finishing	316110	AC LAWRENCE LEATHER	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5526650477816578048	43.705959	-70.25012	1	EGAD	1	13	13	0	0		0	0	20	1	23	Maine	23005	Cumberland County	1					1.0	Sewage treatment (effluent & biosolids)	221320	FALMOUTH WASTE WATER TREATMENT FACILITY	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5529480345868566528	46.632225	-68.052734	1	EGAD	1	9	9	0	0		0	0	1	1	23	Maine	23003	Aroostook County	1					1.0	Waste treatment & disposal (landfill, hazardous waste)	562212	AROOSTOOK WASTE SOLUTIONS	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5573318355504332800	47.958833	-89.672067	1	WQP	1	9	3	0	0		0	0	8	1	27	Minnesota	27031	Cook County	1					1.0	Sewage treatment (effluent & biosolids)	221320	GRAND PORTAGE WASTEWATER STABILIZATION LAGOON	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5958602176363233280	46.487358	-93.93031	1	WQP	1	2	2	0	0		0	0	11	1	27	Minnesota	27035	Crow Wing County	1					1.0	Airport operations (AFFF fire training)	488119	MAL'S SERPENT LAKE	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5959080807518699520	45.284945	-92.95513	1	WQP	1	2	2	0	0		0	0	6	1	27	Minnesota	27163	Washington County	1					1.0	Airport operations (AFFF fire training)	488119	MATTISON'S	0.17343889579073268	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
9796575778018689024	43.891236	-94.135244	1	WQP	1	40	40	0	0		0	0	5	1	27	Minnesota	27013	Blue Earth County	1									0.17343889579073268	0.0	0.0		0.0			3	N	1-ring	sawgraph;spatialkg;fiokg	3
