cid,frsId,facName,naicsCode,naicsLabel
5526539186624004096,110007273020,AC LAWRENCE LEATHER,31611,Leather and Hide Tanning and Finishing
5526539186624004096,110007273020,AC LAWRENCE LEATHER,316110,Leather and Hide Tanning and Finishing
5526554442347839488,110000732976,MECHANIC FALLS WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,313230,Nonwoven Fabric Mills
5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,314110,Carpet and Rug Mills
5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,326199,All Other Plastics Product Manufacturing 
5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,336360,Motor Vehicle Seating and Interior Trim Manufacturing
5526595089918328832,110017619727,EWASTE RECYCLING SOLUTIONS LLC,562219,Other Nonhazardous Waste Treatment and Disposal 
5526595502235189248,110009913068,LEWISTON AUBURN WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526599556684316672,110009048146,SABATTUS SANITARY DISTRICT,221320,Sewage Treatment Facilities 
5526601618268618752,110008438324,LEWISTON SOLID WASTE & RECYCLING FACILITY,221320,Sewage Treatment Facilities 
5526601618268618752,110008438324,LEWISTON SOLID WASTE & RECYCLING FACILITY,421930,
5526601618268618752,110008438324,LEWISTON SOLID WASTE & RECYCLING FACILITY,562112,Hazardous Waste Collection 
5526601618268618752,110008438324,LEWISTON SOLID WASTE & RECYCLING FACILITY,562212,Solid Waste Landfill 
5526601618268618752,110008438324,LEWISTON SOLID WASTE & RECYCLING FACILITY,611110,Elementary and Secondary Schools 
5526604848084025344,110006744087,MAINE ELECTRONICS,334000,
5526604848084025344,110006744087,MAINE ELECTRONICS,56291,Remediation Services 
5526613609817309184,110021131639,GRIMMEL INDUSTRIES,332312,Fabricated Structural Metal Manufacturing 
5526613609817309184,110021131639,GRIMMEL INDUSTRIES,562219,Other Nonhazardous Waste Treatment and Disposal 
5526620997161058304,110000736936,FREEPORT WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526621821794779136,110002052215,YARMOUTH WASTEWATER TREATIMENT FACILITY,,
5526649412664688640,110000314339,SPINNAKER COATING,322121,
5526651646047682560,110000568877,EAST END WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526651646047682560,110000568877,EAST END WASTEWATER TREATMENT FACILITY,488190,Other Support Activities for Air Transportation
5526651646047682560,110000568877,EAST END WASTEWATER TREATMENT FACILITY,922120,Police Protection 
5526651646047682560,110000568877,EAST END WASTEWATER TREATMENT FACILITY,924110,Administration of Air and Water Resource and Solid Waste Management Programs 
5526654085589106688,110000314393,CITGO PETROLEUM TERMINAL,42471,Petroleum Bulk Stations and Terminals 
5526654085589106688,110000314393,CITGO PETROLEUM TERMINAL,424710,Petroleum Bulk Stations and Terminals 
5526654154308583424,110000614130,"ENPRO SERVICES OF MAINE, INC",562211,Hazardous Waste Treatment and Disposal 
5526654154308583424,110000732930,SOUTH PORTLAND TERMINAL LLC,422710,
5526654154308583424,110000732930,SOUTH PORTLAND TERMINAL LLC,424710,Petroleum Bulk Stations and Terminals 
5526654154308583424,110000732930,SOUTH PORTLAND TERMINAL LLC,454310,
5526654154308583424,110000732930,SOUTH PORTLAND TERMINAL LLC,49319,Other Warehousing and Storage
5526654154308583424,110000759849,SPRAGUE ENERGY TERMINAL,42471,Petroleum Bulk Stations and Terminals 
5526654154308583424,110000759849,SPRAGUE ENERGY TERMINAL,424710,Petroleum Bulk Stations and Terminals 
5526654154308583424,110000759858,SK ENVIRONMENTAL SERVICES (POT),424710,Petroleum Bulk Stations and Terminals 
5526654154308583424,110000759858,SK ENVIRONMENTAL SERVICES (POT),562112,Hazardous Waste Collection 
5526654154308583424,110000759858,SK ENVIRONMENTAL SERVICES (POT),562910,Remediation Services 
5526654154308583424,110000759858,SK ENVIRONMENTAL SERVICES (POT),924110,Administration of Air and Water Resource and Solid Waste Management Programs 
5526654154308583424,110032893670,GLOBAL PETROLEUM TERMINAL,42471,Petroleum Bulk Stations and Terminals 
5526654154308583424,110032893670,GLOBAL PETROLEUM TERMINAL,424710,Petroleum Bulk Stations and Terminals 
5526660373421228032,110002045288,BIDDEFORD WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526660373421228032,110002045288,BIDDEFORD WASTEWATER TREATMENT FACILITY,611110,Elementary and Secondary Schools 
5526660373421228032,110003554993,BIDDEFORD TEXTILE COMPANY,335211,
5526677690729365504,110007401873,US FELT MANUFACTURING CO INC,313210,Broadwoven Fabric Mills
5526677690729365504,110042246977,TOM'S OF MAINE,325611,Soap and Other Detergent Manufacturing 
5526677828168318976,110006618758,SANFORD WASTEWATER TREATMENT FACILITY,221320,Sewage Treatment Facilities 
5526677862528057344,110000603026,ROEHM AMERICA LLC - SANFORD,325211,Plastics Material and Resin Manufacturing 
5526677862528057344,110000603026,ROEHM AMERICA LLC - SANFORD,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing 
5526677862528057344,110039668437,SANFORD SEACOAST REGIONAL AIRPORT,,
5526686349383434240,110008434471,CHEMLAN CO,325611,Soap and Other Detergent Manufacturing 
5526977582525841408,110009912880,BETHEL WASTEWATER TREATMENT FACILITY,,
5529480723825688576,110043178343,AROOSTOOK WASTE SOLUTIONS,562212,Solid Waste Landfill 
5529481514099671040,110013694742,PRESQUE ISLE LANDFILL,488119,Other Airport Operations 
5529481514099671040,110013694742,PRESQUE ISLE LANDFILL,562212,Solid Waste Landfill 
5529481514099671040,110070697819,AROOSTOOK WASTE SOLUTIONS - PRESQUE ISLE LANDFILL,421930,
5529481514099671040,110070697819,AROOSTOOK WASTE SOLUTIONS - PRESQUE ISLE LANDFILL,562212,Solid Waste Landfill 
5529486805499379712,110038297081,MAINE POTATO GROWERS,325311,Nitrogenous Fertilizer Manufacturing 
5529486805499379712,110038297081,MAINE POTATO GROWERS,325312,Phosphatic Fertilizer Manufacturing 
5529486805499379712,110038297081,MAINE POTATO GROWERS,325320,Pesticide and Other Agricultural Chemical Manufacturing
5529486805499379712,110038297081,MAINE POTATO GROWERS,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
5529496563665076224,110013917280,TRI-COMMUNITY RECYCLING AND SANITARY LANDFILL-FORT FAIRFIELD,421930,
5529496563665076224,110013917280,TRI-COMMUNITY RECYCLING AND SANITARY LANDFILL-FORT FAIRFIELD,562212,Solid Waste Landfill 
5529497079061151744,110039664217,CARIBOU WATER FILTER PLANT,221320,Sewage Treatment Facilities 
5529500377596035072,110064606350,WASHBURN WATER & SEWER DISTRICT,,
5529512266065510400,110008433356,LORING DEVELOPMENT AUTH,221320,Sewage Treatment Facilities 
5529512266065510400,110008433356,LORING DEVELOPMENT AUTH,925120,Administration of Urban Planning and Community and Rural Development 
5529512369144725504,110038330393,LIMESTONE WATER & SEWER DISTRICT,221320,Sewage Treatment Facilities 
5529512369144725504,110038330393,LIMESTONE WATER & SEWER DISTRICT,562910,Remediation Services 
5529512369144725504,110055020409,LORING WWTF,,
5529762989076381696,110008062602,TWIN RIVERS PAPER COMPANY LLC - MADAWASKA,322120,Paper Mills 
5529762989076381696,110008062602,TWIN RIVERS PAPER COMPANY LLC - MADAWASKA,322121,
5529762989076381696,110008062602,TWIN RIVERS PAPER COMPANY LLC - MADAWASKA,322224,
5955987022316306432,110006650338,GRAND MARAIS,,
5957752219515224064,110000426245,CHEMSTAR PRODUCTS COMPANY,311221,Wet Corn Milling and Starch Manufacturing 
5957784689467981824,110008697400,WESTERN LAKE SUPERIOR SANITARY DISTRICT ADMINISTRATIVE OFFICE,221320,Sewage Treatment Facilities 
5957784689467981824,110008697400,WESTERN LAKE SUPERIOR SANITARY DISTRICT ADMINISTRATIVE OFFICE,562112,Hazardous Waste Collection 
5957784689467981824,110008697400,WESTERN LAKE SUPERIOR SANITARY DISTRICT ADMINISTRATIVE OFFICE,562211,Hazardous Waste Treatment and Disposal 
5958171854999912448,110003899327,EQUIPMENT RENTAL CO,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers "
5958171854999912448,110003899327,EQUIPMENT RENTAL CO,441120,Used Car Dealers 
5958171854999912448,110003899327,EQUIPMENT RENTAL CO,532310,General Rental Centers
5958171854999912448,110003899327,EQUIPMENT RENTAL CO,811111,General Automotive Repair 
5958420550786220032,110001849974,OLYMPAK PRINTING & PACKAGING,323110,
5958420550786220032,110001849974,OLYMPAK PRINTING & PACKAGING,323111,Commercial Printing (except Screen and Books) 
5958420550786220032,110006542508,MINNESOTA DIVERSIFIED INDUSTRIES,,
5958420550786220032,110071871562,OLYMPAK PRINTING & PACKAGING,323111,Commercial Printing (except Screen and Books) 
5958420619505696768,110008797597,GRAND RAPIDS CITY MS4,,
5959040572265070592,110069144731,BLISS COLLECTOR WWTP,221320,Sewage Treatment Facilities 
5959049505797046272,110068357682,FIELDS OF SAINT CROIX WWTP,,
5959049505797046272,110068845842,CARRIAGE STATION WWTP,,
5959050845826842624,110069127475,WHISTLING VALLEY DEVELOPMENT WWTP,,
5959122142283956224,110041519639,BECKER PERSONAL,488119,Other Airport Operations 
5959132793802850304,110067935701,ISD 11 - RUM RIVER ELEMENTARY,,
5959133790235262976,110041862106,JJ'S INDUSTRIAL PAINTING INC,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers "
5959133790235262976,110068258799,JJ'S INDUSTRIAL PAINTING INC,,
5959142655047761920,110041519069,LINO AIR PARK,,
5959146606417674240,110008752670,"GREEN LIGHT RECYCLING, INC",,
5959146606417674240,110068970420,SHIELD PATTERN WORKS INC,332997,
5959146606417674240,110068970420,SHIELD PATTERN WORKS INC,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing 
5959156089705463808,110000425549,MACTAC,,
5959156089705463808,110001319519,REICHHOLD CHEMICAL,,
5959156089705463808,110040406940,HAWKINS INC - PSPC FACILITY,325199,All Other Basic Organic Chemical Manufacturing 
5959156605101539328,110000425576,DOUGLAS CORP - MPLS,326121,Unlaminated Plastics Profile Shape Manufacturing 
5959161724702556160,110000425638,VALMONT/APPLIED COATING TECHNOLOGY - 3,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers "
5959162137019416576,110003763357,PIONEER METAL FINISHING,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
5959165607352991744,110041452326,PETERSON,488119,Other Airport Operations 
5959176636829007872,110000594483,AIRGAS NORTH CENTRAL INC,,
5959189693529587712,110023101739,NONIN MEDICAL INC - FERNWOOD,339112,Surgical and Medical Instrument Manufacturing 
5959229482106617856,110068405657,WINDSOR PARK 3RD ADDITION HOME OWNERS,221320,Sewage Treatment Facilities 
5959357918808637440,110041538716,MILLE LACS,,
5959486664748302336,110008805212,SHAMROCK LEATHERS INC,316990,Other Leather and Allied Product Manufacturing 
5960018209900855296,110008803054,WADENA WWTP,23731,"Highway, Street, and Bridge Construction"
5960018209900855296,110041388940,TRI-COUNTY,,
5960154858580344832,110000737070,WAUSAU PAPER MILLS LLC,322121,
5960154858580344832,110064594871,WAUSAU PAPER MILLS LLC,322120,Paper Mills 
5960159737663193088,110064278240,BRAINERD WWTP,,
5960564461021429760,110000760089,BEMIDJI WWTP,221320,Sewage Treatment Facilities 
5965514359290462208,110069059244,THUMPER POND WWTP,221320,Sewage Treatment Facilities 
9282461870495629312,110000472300,MCCULLOCH CORP,333999,
9282461870495629312,110012702183,A & A ELECTRONICS ASSEMBLY INC,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing 
9282461904855367680,110027215109,SCHUSTER FLEXIBLE PACKAGING,323112,
9282461904855367680,110027215109,SCHUSTER FLEXIBLE PACKAGING,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
9283878144551419904,110002595638,HOUSTON INTERNATIONAL LTD,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing "
9716064004715053056,110002606109,LOS REALES MUNICIPAL SOLID WASTE LF,562212,Solid Waste Landfill 
9716064004715053056,110002606109,LOS REALES MUNICIPAL SOLID WASTE LF,56292,Materials Recovery Facilities 
9716075377788452864,110031369114,BROADWAY NORTH LANDFILL,562212,Solid Waste Landfill 
9716077611171446784,110013988195,CATALINA MSW LANDFILL,562212,Solid Waste Landfill 
9716077782970138624,110002599377,ROYAL PLATING,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
9716077954768830464,110002567945,CHROME CO,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
9716080840986853376,110000471917,BAJA PRODS  LTD,32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing"
9716080840986853376,110000471917,BAJA PRODS  LTD,326199,All Other Plastics Product Manufacturing 
9716080840986853376,110002137973,ABRAMS AIRBORNE MFG INC,332322,Sheet Metal Work Manufacturing 
9716080840986853376,110002137973,ABRAMS AIRBORNE MFG INC,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
9716080840986853376,110002137973,ABRAMS AIRBORNE MFG INC,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing "
9716080840986853376,110002137973,ABRAMS AIRBORNE MFG INC,339999,All Other Miscellaneous Manufacturing 
9716080875346591744,110037574693,RAYTHEON,928110,National Security 
9716080875346591744,110039408129,RYAN AIRFIELD,488119,Other Airport Operations 
9716080875346591744,110039408129,RYAN AIRFIELD,488190,Other Support Activities for Air Transportation
9716080875346591744,110071378369,SUNMED,339112,Surgical and Medical Instrument Manufacturing 
9716081803059527680,110002138115,CIRRUS LOGIC INC,334413,Semiconductor and Related Device Manufacturing 
9716083727204876288,110002568613,POLY PRINT,322221,
9716083727204876288,110002568613,POLY PRINT,323112,
9716083727204876288,110002568613,POLY PRINT,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing 
9716083727204876288,110002568613,POLY PRINT,42199,
9716083727204876288,110070133157,TRIANGLE INDUSTRIAL CORP,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring "
9739898908544335872,110007350115,EVERGREEN BUILDERS,562211,Hazardous Waste Treatment and Disposal 
9739899217781981184,110002591534,GRAND CANYON COLOR LAB,325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing "
9739899217781981184,110002591534,GRAND CANYON COLOR LAB,81292,Photofinishing 
9739899904976748544,110001697361,"AMERICAN RECYCLING INDUSTRIES, CORP",334000,
9739899904976748544,110002568622,STEWART AND WALKER CO,325211,Plastics Material and Resin Manufacturing 
9739899904976748544,110002568622,STEWART AND WALKER CO,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
9739899904976748544,110002599331,COLUMBUS CHEMICAL INDS  INC,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing 
