naicsCode,naicsLabel,nFacilities,nCells
322100,,1,1
32212,Paper Mills,1,1
22112,"Electric Power Transmission, Control, and Distribution ",1,1
812990,All Other Personal Services ,1,1
812930,Parking Lots and Garages ,1,1
81293,Parking Lots and Garages ,1,1
212393,,1,1
212399,,1,1
213112,Support Activities for Oil and Gas Operations ,1,1
213114,Support Activities for Metal Mining ,1,1
22111,Electric Power Generation ,1,1
812310,Coin-Operated Laundries and Drycleaners ,1,1
8123,Drycleaning and Laundry Services ,1,1
812210,Funeral Homes and Funeral Services ,1,1
81221,Funeral Homes and Funeral Services ,1,1
221118,Other Electric Power Generation ,1,1
212390,Other Nonmetallic Mineral Mining and Quarrying ,1,1
81142,Reupholstery and Furniture Repair,1,1
811412,Appliance Repair and Maintenance ,1,1
23411,,1,1
234930,,1,1
23499,,1,1
811219,,1,1
23552,,1,1
23599,,1,1
811192,Car Washes ,1,1
23611,Residential Building Construction,1,1
236116,New Multifamily Housing Construction (except For-Sale Builders) ,1,1
236117,New Housing For-Sale Builders ,1,1
11212,Dairy Cattle and Milk Production,1,1
000053,,1,1
002213,,1,1
926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities ",1,1
032541,,1,1
048211,,1,1
053241,,1,1
925110,Administration of Housing Programs ,1,1
056211,,1,1
056299,,1,1
111211,Potato Farming ,1,1
922190,"Other Justice, Public Order, and Safety Activities ",1,1
111419,Other Food Crops Grown Under Cover ,1,1
922160,Fire Protection ,1,1
81112,"Automotive Body, Paint, Interior, and Glass Repair",1,1
112340,Poultry Hatcheries,1,1
92214,Correctional Institutions ,1,1
112390,Other Poultry Production ,1,1
92212,Police Protection ,1,1
922110,Courts ,1,1
115112,"Soil Preparation, Planting, and Cultivating ",1,1
921140,"Executive and Legislative Offices, Combined ",1,1
921120,Legislative Bodies ,1,1
212234,,1,1
212322,Industrial Sand Mining ,1,1
813319,Other Social Advocacy Organizations ,1,1
813312,"Environment, Conservation and Wildlife Organizations ",1,1
311510,,1,1
311224,Soybean and Other Oilseed Processing ,1,1
311225,Fats and Oils Refining and Blending ,1,1
6219,Other Ambulatory Health Care Services,1,1
62161,Home Health Care Services,1,1
311320,,1,1
311351,Chocolate and Confectionery Manufacturing from Cacao Beans ,1,1
311352,Confectionery Manufacturing from Purchased Chocolate ,1,1
621492,Kidney Dialysis Centers ,1,1
62149,Other Outpatient Care Centers,1,1
62141,Family Planning Centers,1,1
311422,Specialty Canning ,1,1
621330,Offices of Mental Health Practitioners (except Physicians) ,1,1
621320,Offices of Optometrists,1,1
