cid,nPts,nObs,nAnalytes
5526651646047682560,4,24,4
5526651886565851136,10,377,26
5526652951717740544,1,340,44
5526654085589106688,2,35,17
5526654119948845056,1,29,29
5526654154308583424,3,90,30
5526656593850007552,1,339,44
5526657487203205120,1,8,6
5526658758513524736,6,96,31
5526658792873263104,10,300,31
5526658827233001472,4,57,31
5526659033391431680,8,503,31
5526659273909600256,1,8,8
5526660132903059456,1,4,4
5526660339061489664,1,340,44
5526660373421228032,1,340,44
5526660407780966400,3,59,29
5526660751378350080,3,22,8
5526660957536780288,1,33,33
5526661026256257024,5,85,48
5526663019121082368,1,341,44
5526665802259890176,1,60,30
5526665836619628544,6,210,30
5526665870979366912,3,598,30
5526665905339105280,2,60,30
5526668344880529408,1,340,44
5526668722837651456,2,16,4
5526669032075296768,1,30,30
5526670646983000064,1,28,7
5526670784421953536,4,377,46
5526671024940122112,1,11,7
5526671437256982528,1,183,40
5526673086524424192,1,25,25
5526673120884162560,4,96,25
5526673498841284608,21,75,19
5526673567560761344,3,89,30
5526673601920499712,12,38,14
5526673636280238080,1,1,1
5526673670639976448,12,91,19
5526674220395790336,1,177,40
5526677690729365504,1,4,4
5526677862528057344,2,12,4
5526679580514975744,4,500,45
5526679821033144320,1,25,25
5526680473868173312,1,26,13
5526680576947388416,1,236,55
5526680611307126784,1,79,40
5526681916977184768,1,42,21
5526684631396515840,1,30,30
5526684803195207680,2,60,30
5526684837554946048,1,30,30
5526684974993899520,9,257,31
5526685009353637888,2,54,27
5526685078073114624,1,27,27
5526685352951021568,3,90,30
5526685662188666880,4,84,30
5526685799627620352,13,835,30
5526685937066573824,3,88,30
5526685971426312192,7,204,30
5526686005786050560,10,566,30
5526686074505527296,2,2,1
5526686349383434240,6,178,30
5526686383743172608,5,145,30
5526686452462649344,17,858,30
5526686486822387712,2,58,29
5526687105297678336,5,416,30
5526687139657416704,2,16,8
5526687174017155072,1,29,29
5526687208376893440,4,114,30
5526698925047676928,1,29,29
5526698959407415296,1,30,30
5526701708186484736,1,92,33
5526707858579652608,1,92,33
5526721361956831232,1,66,33
5526735174571655168,2,62,31
5526736514601451520,1,338,44
5526738438746800128,3,90,30
5526738473106538496,22,1487,36
5526740637770055680,3,90,30
5526740672129794048,6,299,30
5526746478925578240,1,30,30
5526746513285316608,4,118,30
5526749330783862784,1,89,30
5526763109038948352,1,29,29
5526763143398686720,1,28,28
5526763212118163456,5,203,30
5526946109005496320,1,34,17
5526946658761310208,1,30,30
5526953908666105856,1,30,30
5526977582525841408,1,10,4
5527000672270024704,1,209,66
5527140894362304512,2,46,35
5527254247139180544,2,46,35
5527265139176243200,1,13,13
5527282834441502720,1,13,13
5527368493269254144,1,13,13
5527502049572290560,1,13,13
5527772254554816512,2,46,35
5528928803348283392,1,42,21
5528958009125896192,2,26,26
5528962338452930560,3,59,48
5528964881073569792,1,29,29
5528965946225459200,2,455,44
5529086480187654144,1,140,66
5529118675262504960,1,340,44
5529364690989219840,1,111,66
5529365549982679040,2,26,26
5529371562936893440,1,33,33
5529374346075701248,1,29,29
5529383657564798976,1,29,29
5529383691924537344,1,58,29
5529384550917996544,1,333,44
5529388021251571712,3,116,29
5529388055611310080,1,28,28
5529390598231949312,1,60,30
5529399566123663360,2,457,44
5529476497577869312,1,108,65
5529476669376561152,2,456,44
5529480345868566528,1,9,9
5529480517667258368,2,48,31
5529480552026996736,1,9,9
5529480723825688576,17,715,31
5529480792545165312,1,45,27
5529480826904903680,3,12,4
5529481239221764096,1,29,29
5529481307941240832,3,474,31
5529481342300979200,9,1050,31
5529481514099671040,1,120,30
5529481548459409408,5,539,45
5529486083944873984,1,340,44
5529487252175978496,1,107,65
5529488042449960960,1,28,28
5529488935803158528,1,140,66
5529489038882373632,1,4,4
5529489829156356096,4,21,9
5529491066106937344,1,30,30
5529491306625105920,1,30,30
5529491340984844288,2,57,29
5529491444064059392,4,118,30
5529491478423797760,3,115,30
5529491512783536128,2,58,30
5529491547143274496,4,112,28
5529491581503012864,1,30,30
5529491615862751232,1,29,29
5529491650222489600,5,172,30
5529491822021181440,3,85,29
5529491856380919808,1,30,30
5529491925100396544,3,88,30
5529492852813332480,1,29,29
5529492887173070848,5,429,45
5529492921532809216,1,108,65
5529493505648361472,1,29,29
5529496254427430912,3,885,69
5529496323146907648,1,108,65
5529496529305337856,5,174,29
5529496563665076224,1,30,30
5529496598024814592,3,89,30
5529496701104029696,1,30,30
5529497079061151744,1,110,66
5529497353939058688,1,34,17
5529498693968855040,1,64,19
5529500343236296704,1,340,44
5529505016160714752,1,75,19
5529507043385278464,1,111,66
5529511647590219776,3,173,40
5529511681949958144,7,288,20
5529511991187603456,4,111,37
5529512025547341824,15,704,35
5529512059907080192,13,476,37
5529512094266818560,13,615,40
5529512128626556928,16,712,37
5529512162986295296,32,1204,37
5529512197346033664,30,1196,40
5529512231705772032,2,81,27
5529512266065510400,25,941,37
5529512300425248768,6,220,37
5529512334784987136,2,84,23
5529512369144725504,4,239,40
5529512403504463872,5,327,41
5529512437864202240,9,558,41
5529512575303155712,10,709,37
5529512609662894080,3,122,37
5529514327649812480,1,56,19
5529515014844579840,9,365,35
5529515049204318208,28,969,37
5529515083564056576,8,363,37
5529515152283533312,21,858,37
5529515186643271680,1,100,30
5529515598960132096,5,304,37
5529515908197777408,1,190,66
5529516801550974976,1,108,65
5529522264749375488,1,281,23
5529522333468852224,1,74,19
5529522402188328960,1,19,19
5529522436548067328,1,82,23
5529539169740652544,3,59,48
5529540544130187264,1,12,4
5529540990806786048,1,29,29
5529568375518265344,1,29,29
5529571261736288256,1,119,30
5529571433534980096,1,336,44
5529575247465938944,1,60,30
5529579370634543104,1,4,4
5529579886030618624,1,111,66
5529762851637428224,1,8,4
5529762954716643328,1,294,30
5529763676271149056,1,111,66
5533369215416795136,1,13,13
5573302927981805568,1,6,3
5573305573681659904,1,134,27
5573305882919305216,1,9,3
5573305917279043584,1,133,27
5573306398315380736,1,269,27
5573307566546485248,1,27,27
5573307875784130560,1,3,3
5573308631698374656,2,280,27
5573311002520322048,1,3,3
5573315915962908672,2,144,27
5573316431358984192,1,6,3
5573317324712181760,1,9,3
5573317874467995648,1,3,3
5573318286784856064,1,15,3
5573318355504332800,1,9,3
5573319626814652416,1,9,3
5573334092264505344,1,280,40
5573339521103167488,1,9,3
5573339624182382592,1,135,27
5573339692901859328,1,12,3
