param,paramLabel,casRaw,cas,dtxsid,dssLabel,nObs
parameter.PFESA_A_BP2,"7H-PERFLUORO-4-METHYL-3,6-DIOXAOCTANESULFONIC ACID",749836202,749836-20-2,,,12
parameter.8-2_FTC_A,8:2 FLUOROTELOMER CARBOXYLIC ACID,27854315,27854-31-5,,,12
parameter.PFECHS,PERFLUOROETHYLCYCLOHEXANE SULFONATE,133201077,133201-07-7,,,12
parameter.PFOA_A_L,PERFLUOROOCTANOIC ACID-LINEAR,DEP18028,,DTXSID8031865,Perfluorooctanoic acid,12
parameter.PF05DOD_A,"PERFLUORO-3,5,7,9,11-PENTAOXADODECANOIC ACID",39492916,39492-91-6,,,12
parameter.PFOS_A_L,PERFLUOROOCTANE SULFONIC ACID-LINEAR,DEP18026,,DTXSID3031864,Perfluorooctanesulfonic acid,12
parameter.PFEC_A,PERFLUORO-4-ISOPROPOXYBUTANOIC ACID,801212599,801212-59-9,,,12
parameter.6-2_FTC_A,6:2 FLUOROTELOMER CARBOXYLIC ACID,53826123,53826-12-3,,,12
parameter.8-2_FTUC_A,8:2 FLUOROTELOMER UNSATURATED CARBOXYLIC ACID,70887842,70887-84-2,,,12
parameter.6-2_FTUC_A,6:2 FLUOROTELOMER UNSATURATED CARBOXYLIC ACID,70887886,70887-88-6,,,12
parameter.TOTAL-PFC_A,TOTAL PERFLUOROCARBOXYLIC ACIDS,,,,,8
parameter.N-MeFOSAA_A_BR,N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,DEP18021,,,,3
parameter.N-MeFOSAA_A_L,N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,DEP18022,,DTXSID10624392,2-(N-Methylperfluorooctanesulfonamido)acetic acid,3
parameter.PFHXS_A_BR,PERFLUOROHEXANE SULFONIC ACID-BRANCHED,DEP18023,,,,3
parameter.PFHXS_A_L,PERFLUOROHEXANE SULFONIC ACID-LINEAR,DEP18024,,DTXSID7040150,Perfluorohexanesulfonic acid,3
parameter.N-EtFOSAA_A_L,N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,DEP18020,,DTXSID5062760,2-(N-Ethylperfluorooctanesulfonamido)acetic acid,3
parameter.PFRPS_A,PERFLUOROPROPANE SULFONIC ACID,423416,423-41-6,DTXSID30870531,,3
parameter.N-EtFOSAA_A_BR,N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,DEP18019,,,,3
parameter.PFECHS_A,ACETOHYDROXAMIC ACID,646833,646-83-3,DTXSID7022546,,3
