cid	lat	lon	nPtsGeo	layers	nPts	nObs	nAnalytes	nDet	nDetAnalytes	maxNgL	nFac	nPfasFac	nRingFac	nRingPfasFac	stateFips	stateName	countyFips	countyName	nCounties	sameTopWeight	sameTopIndustry	sameTopNaics	sameTopFacilityName	ringTopWeight	ringTopIndustry	ringTopNaics	ringTopFacilityName	c_proximity	detFreq	c_detFreq	c_detIntensity	c_analyteBreadth	c_industryPrior	score	scoreComponentsUsed	tier	window	sourceList	nSources
5959790370475737088	45.3258	-94.8645	1	WQP	1	13	13	1	1	10.3	0	0	6	0	27	Minnesota	27067	Kandiyohi County	1									0.05239995654055677	0.07692307692307693	0.07692307692307693	0.3509753643273232	0.05	0.0	12.646844125564105	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959872352811483136	45.7694	-94.734	1	WQP	1	40	40	0	0		0	0	4	0	27	Minnesota	27145	Stearns County	2									0.043339347763417226	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5959912553705373696	45.973219	-94.86235	1	WQP	1	13	13	7	7	45.7	49	0	58	1	27	Minnesota	27153	Todd County	1					0.6	Printing & related support activities	323111	RR DONNELLEY LONG PRAIRIE	0.25	0.5384615384615384	0.5384615384615384	0.5563584592961678	0.35	0.6	42.92819225163496	5	B	1-ring	sawgraph;spatialkg;fiokg	3
5959915302484443136	46.096536	-94.87041	1	WQP	1	2	2	0	0		1	0	11	0	27	Minnesota	27153	Todd County	1									0.0669141894960796	0.0	0.0		0.0	0.0		4	N	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960018209900855296	46.441995	-95.126102	1	WQP	1	120	53	14	7	2.32	20	2	145	0	27	Minnesota	27159	Wadena County	1	0.3	Other EPA PFAS-flagged industry	23731	WADENA WWTP					0.6131471927654584	0.11666666666666667	0.11666666666666667	0.17368756328145935	0.35	0.3	34.63567416216085	5	A	same-cell	sawgraph;spatialkg;fiokg	3
5960028071145766912	46.556465	-94.905424	1	WQP	1	40	40	0	0		0	0	1	0	27	Minnesota	27159	Wadena County	1									0.018665241123894335	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960052191682101248	46.511692	-94.743076	1	WQP	1	160	53	13	6	7.0	0	0	0	0	27	Minnesota	27021	Cass County	1									0.0	0.08125	0.08125	0.3009864451848362	0.3	0.0	12.149661129620904	5	D	none	sawgraph;spatialkg	2
5960094763397939200	46.123824	-94.447181	1	WQP	1	80	40	0	0		0	0	0	0	27	Minnesota	27097	Morrison County	1									0.0	0.0	0.0		0.0	0.0		4	N	none	sawgraph;spatialkg	2
5960095519312183296	46.181536	-94.425995	1	WQP	1	800	40	88	11		0	0	0	0	27	Minnesota	27097	Morrison County	1									0.0	0.11	0.11		0.55	0.0	10.266666666666667	4	D	none	sawgraph;spatialkg	2
5960099195804188672	46.211481	-94.515933	1	WQP	1	80	40	0	0		0	0	4	0	27	Minnesota	27097	Morrison County	1									0.043339347763417226	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960101600985874432	46.30296	-94.53706	1	WQP	1	33	33	2	2		0	0	0	0	27	Minnesota	27021	Cass County	2									0.0	0.06060606060606061	0.06060606060606061		0.1	0.0	2.94949494949495	4	D	none	sawgraph;spatialkg	2
5960115173082529792	46.425529	-94.324982	1	WQP	1	40	40	0	0		2	0	8	0	27	Minnesota	27021	Cass County	2									0.09021220167863253	0.0	0.0		0.0	0.0		4	N	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960115619759128576	46.379557	-94.300498	1	WQP	1	40	40	1	1	0.14	1	0	1	0	27	Minnesota	27035	Crow Wing County	1									0.05691756217423825	0.025	0.025	0.01896553960761528	0.05	0.0	3.4662531662887206	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960116066435727360	46.360366	-94.287441	1	WQP	1	160	53	7	3	4.19	1	0	5	0	27	Minnesota	27035	Crow Wing County	1									0.05691756217423825	0.04375	0.04375	0.23835463115699376	0.15	0.0	10.325980455023181	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960117612623953920	46.281389	-94.331389	1	WQP	1	200	40	21	7	7.61	0	0	5	0	27	Minnesota	27021	Cass County	2									0.04824894837218527	0.105	0.105	0.31162262769630855	0.35	0.0	15.079278885434197	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960118024940814336	46.303312	-94.28517	1	WQP	1	2	2	0	0		0	0	2	0	27	Minnesota	27035	Crow Wing County	1									0.02958370724829093	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960122972743139328	46.18163	-94.36755	1	WQP	1	13	13	1	1	5.34	0	0	1	0	27	Minnesota	27035	Crow Wing County	2									0.018665241123894335	0.07692307692307693	0.07692307692307693	0.26732440612578706	0.05	0.0	9.374855130942517	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960154549342699520	46.40732	-94.15672	1	WQP	1	160	40	21	7	7.66	0	0	7	0	27	Minnesota	27035	Crow Wing County	1									0.05599572337168301	0.13125	0.13125	0.31246075328039224	0.35	0.0	15.89636915001871	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960154652421914624	46.387222	-94.171944	1	WQP	1	13	13	1	1	5.42	0	0	20	2	27	Minnesota	27035	Crow Wing County	1					1.0	Pulp, paper & paperboard mills	322120	WAUSAU PAPER MILLS LLC	0.27489414599479567	0.07692307692307693	0.07692307692307693	0.26913940023880406	0.05	1.0	28.38824165424949	5	B	1-ring	sawgraph;spatialkg;fiokg	3
5960154858580344832	46.381389	-94.178889	1	WQP	1	13	13	0	0		12	2	31	0	27	Minnesota	27035	Crow Wing County	1	1.0	Pulp, paper & paperboard mills	322120	WAUSAU PAPER MILLS LLC					0.6131471927654584	0.0	0.0		0.0	1.0		4	N	same-cell	sawgraph;spatialkg;fiokg	3
5960157847877582848	46.362597	-94.192657	1	WQP	1	40	40	0	0		26	0	186	4	27	Minnesota	27035	Crow Wing County	1					1.0	Metal coating & electroplating	332813	ACROMETAL - BRAINERD	0.4027126448827438	0.0	0.0		0.0	1.0		4	N	1-ring	sawgraph;spatialkg;fiokg	3
5960157950956797952	46.348577	-94.208054	1	WQP	1	13	13	1	1	6.7	13	0	359	2	27	Minnesota	27035	Crow Wing County	1					1.0	Metal coating & electroplating	332813	ACROMETAL - BRAINERD	0.27489414599479567	0.07692307692307693	0.07692307692307693	0.2954541583920509	0.05	1.0	29.04611060808066	5	B	1-ring	sawgraph;spatialkg;fiokg	3
5960157985316536320	46.360681	-94.211255	1	WQP	1	160	40	15	7	7.64	92	0	229	2	27	Minnesota	27035	Crow Wing County	1					1.0	Metal coating & electroplating	332813	ACROMETAL - BRAINERD	0.27489414599479567	0.09375	0.09375	0.31212608519153456	0.35	1.0	32.79944723960621	5	B	1-ring	sawgraph;spatialkg;fiokg	3
5960158054036013056	46.354729	-94.232018	1	WQP	1	40	40	2	2	2.78	12	0	163	0	27	Minnesota	27035	Crow Wing County	1									0.21062000772931627	0.05	0.05	0.19246941773251	0.1	0.0	14.183435713838822	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960158088395751424	46.350325	-94.229136	1	WQP	1	80	53	11	10	7.24	9	0	168	1	27	Minnesota	27035	Crow Wing County	1									0.1890760488791003	0.1375	0.1375	0.305264901026118	0.5		24.443649151579393	4	B	1-ring	sawgraph;spatialkg;fiokg	3
5960159359706071040	46.2951	-94.2623	1	WQP	1	73	51	7	7	10.1	2	0	5	0	27	Minnesota	27035	Crow Wing County	1									0.09021220167863253	0.0958904109589041	0.0958904109589041	0.348390583426795	0.35	0.0	17.2849998636001	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960159428425547776	46.303931	-94.253508	1	WQP	1	40	40	4	4	10.2	2	0	9	0	27	Minnesota	27035	Crow Wing County	1									0.09021220167863253	0.1	0.1	0.34968874355394447	0.2	0.0	15.899645647600751	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960159737663193088	46.3337585	-94.23663	2	WQP	2	53	42	9	8	8.27	4	1	86	0	27	Minnesota	27035	Crow Wing County	1									0.3868528072345416	0.16981132075471697	0.16981132075471697	0.3223132750701678	0.4		32.21545171673055	4	A	same-cell	sawgraph;spatialkg;fiokg	3
5960159772022931456	46.340112	-94.24612	1	WQP	1	40	40	1	1	25.2	6	0	74	1	27	Minnesota	27035	Crow Wing County	1									0.17343889579073268	0.025	0.025	0.4726987011530239	0.05		20.98647653500138	4	B	1-ring	sawgraph;spatialkg;fiokg	3
5960159806382669824	46.348786	-94.245936	1	WQP	1	40	40	1	1	1.04	27	0	94	1	27	Minnesota	27035	Crow Wing County	1									0.25	0.025	0.025	0.10319512424882896	0.05		13.69986456246747	4	B	1-ring	sawgraph;spatialkg;fiokg	3
5960159840742408192	46.3481975	-94.2380175	2	WQP	2	80	40	15	8	16.7	34	0	107	1	27	Minnesota	27035	Crow Wing County	1									0.25	0.1875	0.1875	0.41593090670741745	0.4		29.886969630761595	4	B	1-ring	sawgraph;spatialkg;fiokg	3
5960159875102146560	46.353907	-94.238488	1	WQP	1	80	40	10	5	4.07	30	0	116	0	27	Minnesota	27035	Crow Wing County	1									0.25	0.125	0.125	0.23496865491063118	0.25	0.0	19.62421637276578	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960160493577437184	46.373028	-94.247172	1	WQP	1	40	40	10	10	15.3	16	0	33	0	27	Minnesota	27035	Crow Wing County	1									0.23264842040175474	0.25	0.25	0.4040040784439841	0.5	0.0	28.24279667516102	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960160527937175552	46.375799	-94.249338	1	WQP	1	40	40	7	7	3.6	3	0	55	0	27	Minnesota	27035	Crow Wing County	1									0.1138351243484765	0.175	0.175	0.22088731649067278	0.35	0.0	16.506412264463496	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960160596656652288	46.366803	-94.239855	1	WQP	1	40	40	2	2	1.86	16	0	79	0	27	Minnesota	27035	Crow Wing County	1									0.23264842040175474	0.05	0.05	0.15210000331433332	0.1	0.0	13.945194796919749	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960160905894297600	46.384089	-94.213981	1	WQP	1	80	53	17	12	7.71	0	0	10	0	27	Minnesota	27035	Crow Wing County	1									0.06457112531348923	0.2125	0.2125	0.31329405370484853	0.6	0.0	20.342340728593335	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960163104917553152	46.45881	-94.226137	1	WQP	1	40	40	1	1	0.437	0	0	1	0	27	Minnesota	27035	Crow Wing County	1									0.018665241123894335	0.025	0.025	0.052477996205970955	0.05	0.0	2.965233344485576	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960163860831797248	46.499445	-94.251055	1	WQP	1	40	40	2	2	3.64	2	0	4	0	27	Minnesota	27035	Crow Wing County	1									0.09021220167863253	0.05	0.05	0.22214051811957367	0.1	0.0	10.710940011741481	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960164479307087872	46.514835	-94.29629	1	WQP	1	2	2	0	0		3	0	30	0	27	Minnesota	27035	Crow Wing County	1									0.1138351243484765	0.0	0.0		0.0	0.0		4	N	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960167399884849152	46.585343	-94.214741	1	WQP	1	40	40	1	1	0.388	4	0	17	1	27	Minnesota	27035	Crow Wing County	1									0.17343889579073268	0.025	0.025	0.04745628880420471	0.05		9.174187303089736	4	B	1-ring	sawgraph;spatialkg;fiokg	3
5960179425793277952	46.559394	-94.121734	1	WQP	1	40	40	0	0		0	0	7	0	27	Minnesota	27035	Crow Wing County	1									0.05599572337168301	0.0	0.0		0.0	0.0		4	N	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960180456585428992	46.643384	-94.134256	1	WQP	1	40	40	4	4	1.73	0	0	10	0	27	Minnesota	27035	Crow Wing County	1									0.06457112531348923	0.1	0.1	0.14536651557003336	0.2	0.0	9.894152275222957	5	C	1-ring (unflagged)	sawgraph;spatialkg;fiokg	3
5960186332100689920	46.738268	-94.0687	1	WQP	1	2	2	0	0		0	0	0	0	27	Minnesota	27035	Crow Wing County	1									0.0	0.0	0.0		0.0	0.0		4	N	none	sawgraph;spatialkg	2
5960187362892840960	46.681513	-94.10434	1	WQP	1	2	2	0	0		17	0	38	0	27	Minnesota	27035	Crow Wing County	1									0.23734196553150333	0.0	0.0		0.0	0.0		4	N	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960187706490224640	46.687283	-94.11996	1	WQP	1	2	2	0	0		5	0	37	0	27	Minnesota	27035	Crow Wing County	1									0.1471297638528708	0.0	0.0		0.0	0.0		4	N	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
5960190661427724288	46.711116	-94.158886	1	WQP	1	40	40	8	8	4.07	0	0	0	0	27	Minnesota	27035	Crow Wing County	1									0.0	0.2	0.2	0.23496865491063118	0.4	0.0	13.87421637276578	5	D	none	sawgraph;spatialkg	2
5960194544078159872	46.608214	-94.311261	1	WQP	1	80	40	2	1	0.842	20	0	59	0	27	Minnesota	27035	Crow Wing County	1									0.25	0.025	0.025	0.08841708199891578	0.05	0.0	11.960427049972894	5	C	same-cell (unflagged)	sawgraph;spatialkg;fiokg	3
