cid,nDet,nDetAnalytes,maxNgL
5526749330783862784,20,8,69.0
5526763212118163456,3,3,0.208
5526946658761310208,6,6,2.33
5527000672270024704,13,13,2.52
5528965946225459200,149,16,28.5
5529086480187654144,14,8,1.56
5529118675262504960,165,20,37.6
5529364690989219840,10,10,5.61
5529384550917996544,156,18,167.0
5529388055611310080,2,2,1.56
5529390598231949312,3,3,0.49
5529399566123663360,179,18,18.9
5529476497577869312,12,12,10.3
5529476669376561152,163,16,36.7
5529480517667258368,16,11,7.3
5529480552026996736,8,8,34.6
5529480723825688576,209,19,http://w3id.org/coso/v1/contaminoso#non-detect
5529480792545165312,32,15,http://w3id.org/coso/v1/contaminoso#non-detect
5529481239221764096,3,3,1.25
5529481307941240832,116,16,56.78
5529481342300979200,219,16,71.2
5529481514099671040,52,15,392.0
5529481548459409408,282,21,4200.0
5529486083944873984,140,15,106.0
5529487252175978496,8,8,4.06
5529488042449960960,2,2,0.526
5529488935803158528,13,8,1.88
5529489829156356096,8,8,82.1
5529491066106937344,5,5,16.5
5529491306625105920,7,7,0.9
5529491444064059392,26,11,15.4
5529491478423797760,9,6,3.45
5529491512783536128,9,8,3.12
5529491547143274496,1,1,1.42
5529491581503012864,7,7,1.17
5529491650222489600,12,6,1.23
5529491822021181440,3,2,0.585
5529491856380919808,10,10,12.2
5529491925100396544,12,8,2.27
5529492887173070848,145,19,54.3
5529492921532809216,8,8,2.09
5529493505648361472,1,1,0.44
5529496254427430912,360,21,204.0
5529496323146907648,6,6,1.35
5529496529305337856,39,11,22.6
5529496563665076224,9,9,50.3
5529496598024814592,39,17,3140.0
5529496701104029696,11,11,5.54
5529497079061151744,5,5,0.694
5529498693968855040,5,5,3.29
5529500343236296704,123,16,11.0
5529505016160714752,4,4,3.12
5529507043385278464,8,8,3.17
5529511647590219776,62,28,5363.4
5529511681949958144,15,5,2850.0
5529511991187603456,24,15,16.3
5529512025547341824,186,22,http://w3id.org/coso/v1/contaminoso#non-detect
5529512059907080192,115,20,174.5
5529512094266818560,235,31,5848.73
5529512128626556928,148,20,124.17
5529512162986295296,433,28,http://w3id.org/coso/v1/contaminoso#non-detect
5529512197346033664,388,32,http://w3id.org/coso/v1/contaminoso#non-detect
5529512231705772032,19,9,http://w3id.org/coso/v1/contaminoso#non-detect
5529512266065510400,298,27,http://w3id.org/coso/v1/contaminoso#non-detect
5529512300425248768,64,21,http://w3id.org/coso/v1/contaminoso#non-detect
5529512334784987136,10,10,114.0
5529512369144725504,71,24,340.3
5529512403504463872,82,24,206.35
5529512437864202240,128,24,82.14
5529512575303155712,220,23,105.05
5529512609662894080,42,20,144.16
5529514327649812480,12,12,42.95
5529515014844579840,97,22,4027.03
5529515049204318208,344,25,http://w3id.org/coso/v1/contaminoso#non-detect
5529515083564056576,83,23,524.03
5529515152283533312,151,24,http://w3id.org/coso/v1/contaminoso#non-detect
5529515186643271680,13,6,1.77
5529515598960132096,44,15,12.94
5529515908197777408,12,12,30.3
5529516801550974976,13,13,14.0
5529522264749375488,23,12,17.96
5529522333468852224,9,9,26.02
5529522402188328960,11,11,10.77
5529522436548067328,8,8,25.88
5529571261736288256,18,7,1.11
5529571433534980096,130,15,23.0
5529575247465938944,8,4,0.665
5529579886030618624,10,10,4.46
5529762954716643328,97,16,215.0
5529763676271149056,8,8,5.21
5573334092264505344,15,5,3.13
5955253029585289216,1,1,4.88
5955276840883978240,9,7,4.34
5955433074614337536,6,6,12.6
5955478773066366976,13,5,4.69
5955480869010407424,4,1,2.38
5955487637878865920,11,4,4.13
5955502309487149056,6,3,3.14
5955502893602701312,16,5,4.02
5955512376890490880,16,5,3.04
5955871539235651584,30,5,1.73
5955882671790882816,15,4,1.9
5955884595936231424,14,4,2.71
5955890196573585408,17,6,2.8
5955892533035794432,20,7,3.11
5955896312607014912,15,5,2.37
5955906002053234688,26,7,2.24
5955949948158607360,21,6,4.56
5956197372634595328,15,5,3.09
5956197681872240640,20,6,7.54
5956200052694188032,3,2,1.42
5956202801473257472,16,4,6.05
5957694151557382144,2,1,0.328
5957749951772491776,7,7,5.47
5957750020491968512,24,8,4.52
5957750089211445248,10,10,7.85
5957752322594439168,4,4,1.03
5957778951391674368,27,14,1960.0
5957779054470889472,118,19,7380.0
5957779088830627840,22,12,73.3
5958171099085668352,19,10,10.9
5958171614481743872,10,10,16.4
5958171683201220608,9,9,5.12
5958171717560958976,19,10,10.6
5958171854999912448,17,9,8.48
5958178486429417472,7,7,168.0
5958200820259356672,2,2,1.74
5958366502917767168,19,6,6.87
5958412270089273344,1,1,12.5
5958420241548574720,22,6,7.14
5958420550786220032,3,3,3.96
5958420619505696768,2,2,6.57
5958422784169213952,50,8,5.21
5958428522245521408,37,9,4.29
5958428762763689984,2,2,11.3
5958432095658311680,25,6,7.33
5958575375767306240,13,6,6.88
5958590975088525312,10,5,4.42
5958600183498407936,21,7,8.28
5958633031408287744,2,1,23.4
5958798679706959872,2,2,1.25
5958799366901727232,24,12,19.2
5958805689093586944,2,1,0.299
5958806101410447360,34,15,16.0
5958809571744022528,1,1,1.81
5958826820332683264,2,2,2.94
5958830840422072320,1,1,2.06
5958892000756367360,4,4,32.2
5958930140065955840,3,1,32.2
5958976525712752640,2,1,5.77
5959028099680043008,9,9,71.0
5959038545040506880,2,2,43.3
5959045520067395584,1,1,6.26
5959048303206203392,11,11,97.1
5959048578084110336,2,2,78.6
5959049093480185856,22,11,89.0
5959049505797046272,7,7,144.0
5959049815034691584,30,15,254.0
5959049849394429952,7,7,145.0
5959050021193121792,9,9,280.0
5959050089912598528,11,7,194.0
5959050158632075264,19,9,122.0
5959050192991813632,10,10,772.0
5959050433509982208,17,11,112.0
5959051464302133248,22,17,107.0
5959051498661871616,19,13,23.0
5959052460734545920,19,10,114.0
5959053216648790016,4,4,60.5
5959056377744719872,7,7,70.9
5959057511616086016,20,10,104.0
5959060947589922816,10,4,468.0
5959065895392247808,4,4,68.9
5959071564749078528,25,12,166.0
5959073282735996928,1,1,8.58
5959074657125531648,2,2,26.9
5959074966363176960,18,8,84000.0
5959078161818845184,6,6,66.8
5959093589341372416,1,1,63.0
5959095376047767552,1,1,3.37
5959109841497620480,3,2,5.58
5959112487197474816,1,1,1.13
5959122073564479488,13,10,17.8
5959122142283956224,2,2,5.74
5959124306947473408,2,2,6.64
5959124959782502400,1,1,3.32
5959128223957647360,7,7,9.46
5959131831730176000,6,3,15.9
5959132072248344576,1,1,6.69
5959132793802850304,6,3,35.2
5959133206119710720,7,7,6.26
5959133790235262976,7,7,88.8
5959136435935117312,3,3,148.0
5959137294928576512,1,1,4.13
5959137466727268352,18,13,21.9
5959137741605175296,3,3,38.8
5959140971420581888,10,10,3900.0
5959141658615349248,12,6,6.86
5959142139651686400,6,6,89.2
5959142655047761920,10,10,23.0
5959146606417674240,23,12,69.3
5959148152605900800,11,11,281.0
5959149973672034304,8,8,14.0
5959152516292673536,13,8,279.0
5959153203487440896,10,10,94.8
5959153684523778048,12,8,89.6
5959156089705463808,8,6,43.6
5959156605101539328,7,7,36.6
5959159869276684288,11,11,49.6
5959160212874067968,10,10,44.7
5959160384672759808,11,11,36.3
5959160762629881856,10,10,29.2
5959160831349358592,32,16,213.0
5959161655983079424,32,16,31.0
5959161724702556160,34,18,142.0
5959162137019416576,43,9,9.53
5959162996012875776,7,7,38.7
5959163133451829248,6,6,25.5
5959163786286858240,23,18,54.5
5959164645280317440,12,9,34.7
5959164851438747648,6,6,22.5
5959166947382788096,30,15,32.4
5959167497138601984,22,16,86.4
5959171070551392256,15,10,95.5
5959171139270868992,11,7,61.1
5959174540884967424,48,14,43.4
5959175915274502144,1,1,8.31
5959176636829007872,10,10,32.4
5959219517782491136,39,8,8.92
5959222369640775680,7,7,476.0
5959222678878420992,1,1,6.14
5959223400432926720,28,9,8.82
5959224018908217344,6,6,20.0
5959224499944554496,3,3,11.4
5959228382594990080,12,8,17.1
5959229482106617856,2,2,15.7
5959266796782485504,23,13,26.8
5959279303727251456,1,1,6.38
5959280059641495552,1,1,3.14
5959328541232332800,1,1,4.1
5959357918808637440,25,18,65.8
5959406331679997952,4,4,0.606
5959430830173454336,14,6,7.65
5959452682967056384,27,8,7.73
5959461101102956544,1,1,3.95
5959480170757750784,10,8,3.83
5959483778530279424,5,3,15.2
5959486355510657024,2,2,0.343
5959486664748302336,23,17,16.3
5959491234593505280,4,4,7.89
5959491612550627328,38,8,8.78
5959491715629842432,1,1,6.87
5959492368464871424,3,3,0.73
5959492849501208576,9,9,11.9
5959492918220685312,7,7,10.2
5959493364897284096,26,17,10.3
5959493433616760832,9,9,7.24
5959493605415452672,10,10,15.7
5959494258250481664,10,10,6.5
5959538788471406592,1,1,6.57
5959540643897278464,29,7,8.56
5959540850055708672,1,1,5.02
5959544938864574464,2,1,7.07
5959545041943789568,41,9,8.28
5959561809496113152,42,9,8.67
5959657879324590080,16,11,11.4
5959663651760635904,10,5,5.39
5959663754839851008,10,3,13.3
5959676742820954112,2,2,1.25
5959790370475737088,1,1,10.3
5959912553705373696,7,7,45.7
5960018209900855296,14,7,2.32
5960052191682101248,13,6,7.0
5960115619759128576,1,1,0.14
5960116066435727360,7,3,4.19
5960117612623953920,21,7,7.61
5960122972743139328,1,1,5.34
5960154549342699520,21,7,7.66
5960154652421914624,1,1,5.42
5960157950956797952,1,1,6.7
5960157985316536320,15,7,7.64
5960158054036013056,2,2,2.78
5960158088395751424,11,10,7.24
5960159359706071040,7,7,10.1
5960159428425547776,4,4,10.2
5960159737663193088,8,8,8.27
5960159772022931456,1,1,25.2
5960159806382669824,1,1,1.04
5960159840742408192,15,8,16.7
5960159875102146560,10,5,4.07
5960160493577437184,10,10,15.3
5960160527937175552,7,7,3.6
5960160596656652288,2,2,1.86
5960160905894297600,17,12,7.71
5960163104917553152,1,1,0.437
5960163860831797248,2,2,3.64
5960167399884849152,1,1,0.388
5960180456585428992,4,4,1.73
5960190661427724288,8,8,4.07
5960194544078159872,2,1,0.842
5960207841296908288,4,2,5.14
5960208253613768704,2,1,0.185
5960209250046181376,2,2,1.27
5960210418277285888,9,8,19.1
5960251272006205440,1,1,0.336
5960328375259103232,1,1,0.442
5960434134533799936,2,1,23.3
5960435508923334656,5,3,0.708
5960500277030158336,3,1,0.558
5960542814386257920,1,1,0.28
5960549170937856000,3,1,2.26
5960553087948029952,1,1,0.884
5960558757304860672,7,2,3.86
5960562846113726464,10,10,33.0
5960563567668232192,25,11,18.2
5960565354374627328,9,5,4.88
5960568893427679232,1,1,0.425
5960569099586109440,8,8,17.5
5960570061658783744,5,5,2.21
5961025809228496896,21,7,4.02
5961032200139833344,3,3,0.742
5961033883767013376,2,2,2.53
5963005342475354112,26,8,20.8
5963116358790021120,13,7,21.2
5963116839826358272,23,8,14.6
5965258241800667136,5,5,2.06
5965258276160405504,3,3,1.36
5965514359290462208,3,1,6.65
5965999140839096320,2,2,5.47
9280279133756063744,8,8,2.4
9281391014889652224,7,7,2.3
9282298249421520896,2,2,0.795
9282461836135890944,3,3,1.42
9282461870495629312,35,9,908.0
9282461904855367680,23,8,119.0
9282461939215106048,4,4,2.51
9282533373111173120,1,1,5.1
9283878144551419904,26,12,291.0
9283878178911158272,34,9,133.0
9716063901635837952,6,6,15.8
9716064004715053056,6,6,9.16
9716075343428714496,2,2,0.517
9716075377788452864,32,11,168.0
9716075583946883072,16,8,8.27
9716077473732493312,256,39,81.0
9716077508092231680,41,38,68.0
9716077611171446784,38,12,617.0
9716077748610400256,21,12,641.0
9716077782970138624,9,8,17.2
9716077954768830464,23,8,26.3
9716080806627115008,20,10,20.0
9716080840986853376,21,11,103.0
9716080875346591744,8,7,37.7
9716080909706330112,28,9,47.4
9716081047145283584,18,9,202.0
9716081287663452160,10,10,5.1
9716081803059527680,19,10,32.2
9716081871779004416,34,10,22.2
9716083727204876288,8,7,12.9
9716130078491934720,1,1,12.5
9716289576397438976,2,2,0.67
9716498311808024576,1,1,0.99
9716635956919926784,1,1,8.3
9738487101254533120,1,1,4.6
9738528195501621248,1,1,2.4
9738914330241400832,1,1,8.3
9739011293423075328,1,1,18.0
9739066921839493120,1,1,22.0
9739255797321302016,32,12,20.6
9739256243997900800,47,15,73.1
9739570120207892480,1,1,2.3
9739891899157708800,15,9,11.2
9739892036596662272,14,11,26.7
9739892139675877376,31,11,59.4
9739892174035615744,21,12,14.2
9739892208395354112,35,9,32.4
9739893548425150464,69,12,72.4
9739893617144627200,39,13,46.6
9739893651504365568,76,16,11400.0
9739893685864103936,27,8,5.09
9739893720223842304,2,2,2.67
9739893823303057408,8,8,3.8
9739893857662795776,7,7,6.6
9739893926382272512,5,5,2.2
9739898908544335872,1,1,0.332
9739899080343027712,53,11,66.1
9739899217781981184,65,12,41.4
9739899252141719552,49,12,20.4
9739899286501457920,66,10,37.2
9739899320861196288,9,9,14.8
9739899423940411392,9,9,12.7
9739899904976748544,7,6,4.5
9739899939336486912,49,9,26.4
9739899973696225280,23,11,17.0
9739900008055963648,31,9,225.0
9739900042415702016,28,12,129.0
9739900076775440384,8,8,7.55
9739901038848114688,2,2,1.7
9739901279366283264,14,9,9.8
9739901313726021632,49,11,17.2
9739938731481104384,6,6,31.0
9739941136662790144,31,10,21.7
9739941445900435456,9,9,19.9
9739998689224556544,6,6,15.4
9740039886550859776,2,2,2.0
9740063629130072064,44,16,14.6
9740063663489810432,11,11,26.4
9740063732209287168,28,11,30.8
9740064453763792896,48,13,168.0
9740065175318298624,22,11,124.0
9740178665534128128,12,12,6.84
9740178768613343232,28,9,17.9
9740178802973081600,3,3,2.38
9740178906052296704,19,11,76.5
9740182788702732288,9,9,4.7
9740378742290644992,16,8,140.0
9740398636579160064,4,2,35.0
9740404202856775680,12,6,25.0
9740447599206334464,46,14,28.1
9740458628682350592,62,15,21.2
9740485188760109056,2,1,5.4
9740493057140195328,44,12,89.9
9740506113840775168,20,10,18.0
9766637863100743680,1,1,6.11
9766723006532419584,4,4,0.818
9766790901375434752,1,1,4.4
9766942943217713152,3,3,27.5
9795559279518810112,1,1,0.289
9795559554396717056,19,13,9.71
9796512453020876800,1,1,3.39
9796516885427126272,1,1,3.05
9796516919786864640,1,1,2.72
9797046025397993472,27,13,15.2
9797046197196685312,12,6,20.4
9797052794266451968,7,7,19.7
9797053962497556480,2,2,15.5
9797053996857294848,6,6,23.4
9797057742068776960,26,16,32.5
9797059872372555776,9,7,15.3
9797060937524445184,7,7,31.9
9797060971884183552,4,4,42.9
9797061212402352128,11,7,68.3
9797061246762090496,29,10,87.6
9797061384201043968,25,8,115.0
9797062174475026432,10,5,61.8
9797063514504822784,1,1,5.51
9797063583224299520,42,11,9.19
9797064201699590144,12,11,75.5
9797065335570956288,35,11,8.63
9797065541729386496,9,9,29.4
9797066400722845696,1,1,3.41
9797067672033165312,18,12,33.4
9797069767977205760,143,20,27.6
9797070420812234752,42,12,52.9
9797070867488833536,12,6,22.0
9797075815291158528,9,9,19.8
9797086672968482816,17,12,17.7
9797099489150894080,4,4,6.75
9797099660949585920,5,5,16.6
9797099832748277760,8,8,39.0
9797102203570225152,2,2,13.0
9797289635943022592,2,2,14.3
9797453600614514688,24,8,16.1
9797457002228613120,4,4,87.5
9797460094605066240,32,8,15.9
9797460884879048704,24,8,15.4
9797487582395760640,1,1,22.0
9797512802443722752,24,8,547.0
9797513008602152960,40,8,19.3
9797515001466978304,3,3,13.5
9797515482503315456,34,13,23.3
9797515826100699136,10,10,408.0
9797519674391396352,9,9,61.1
9797522320091250688,25,10,56.1
9797525446827442176,7,7,59.1
9797526546339069952,62,12,19.5
9797527061735145472,36,12,12.1
9797527164814360576,2,2,9.64
9797527989448081408,1,1,0.851
9797528264325988352,11,11,186.0
9797529673075261440,36,11,9.53
9797529707434999808,30,8,922.0
9797529741794738176,59,11,12.1
9797530291550552064,43,11,11.2
9797532593653022720,20,10,184.0
9797534414719156224,33,10,8.51
9797535376791830528,9,9,191.0
9797536441943719936,9,9,111.0
9797537232217702400,8,8,29.8
9797538091211161600,18,9,25.9
9797539362521481216,1,1,4.57
9797539465600696320,11,11,317.0
9797540255874678784,29,14,325.0
9797545822152294400,9,9,99.2
9797663504256204800,32,8,15.8
9797982190829568000,39,8,12.1
9798053074969821184,5,5,4.98
9798108565947285504,2,2,7.39
9798109218782314496,4,4,3.88
9798109253142052864,2,2,5.29
9798113616828825600,7,3,5.98
9798169588842627072,1,1,2.43
9798696186192855040,40,8,11.7
9798706700272795648,32,8,12.2
9804287683856433152,9,7,1.81
9935671248837148672,144,17,68.4
9935671317556625408,12,12,9.18
9935677433590054912,6,6,0.456
9935680663405461504,10,10,3.3
9935680903923630080,123,14,61.6
9935680938283368448,72,14,223.1
9935681007002845184,22,12,8.27
9935681041362583552,165,19,50.4
9935682553191071744,139,15,37.0
9935688806663454720,3,3,120.0
9935689184620576768,16,16,480.0
9935689390779006976,136,16,29.9
9935690284132204544,134,17,88.6
9935697156079878144,128,14,19.1
9935708529153277952,3,3,9.83
9935709319427260416,3,3,28.7
9935710659457056768,8,5,1.02
9935710762536271872,7,7,0.918
9935713202077696000,171,13,53.1
9935713270797172736,110,17,1610.0
9935713305156911104,70,18,538.0
9935713751833509888,142,17,33.9
9935713854912724992,121,20,148.0
9935713889272463360,60,11,3376.4
9935713923632201728,161,16,8676.9
9935713992351678464,129,13,2107.52
