cid,neighborCid
9797513180400844800,9797513867595612160
9797513180400844800,9797513901955350528
9797513180400844800,9797513936315088896
9797513180400844800,9797514657869594624
9797513180400844800,9797514692229332992
9797513214760583168,9797513111681368064
9797513214760583168,9797513146041106432
9797513214760583168,9797513180400844800
9797513214760583168,9797513249120321536
9797513214760583168,9797513283480059904
9797513214760583168,9797513420919013376
9797513214760583168,9797513867595612160
9797513214760583168,9797513901955350528
9797513661437181952,9797513455278751744
9797513661437181952,9797513592717705216
9797513661437181952,9797513627077443584
9797513661437181952,9797513695796920320
9797513661437181952,9797513730156658688
9797513661437181952,9797513764516397056
9797513661437181952,9797513798876135424
9797513661437181952,9797513833235873792
9797513695796920320,9797513592717705216
9797513695796920320,9797513627077443584
9797513695796920320,9797513661437181952
9797513695796920320,9797513730156658688
9797513695796920320,9797513764516397056
9797513695796920320,9797542695416102912
9797513695796920320,9797542729775841280
9797513695796920320,9797542832855056384
9797513833235873792,9797513420919013376
9797513833235873792,9797513455278751744
9797513833235873792,9797513627077443584
9797513833235873792,9797513661437181952
9797513833235873792,9797513764516397056
9797513833235873792,9797513798876135424
9797513833235873792,9797513867595612160
9797513833235873792,9797513901955350528
9797513867595612160,9797513180400844800
9797513867595612160,9797513214760583168
9797513867595612160,9797513249120321536
9797513867595612160,9797513420919013376
9797513867595612160,9797513455278751744
9797513867595612160,9797513798876135424
9797513867595612160,9797513833235873792
9797513867595612160,9797513901955350528
9797513901955350528,9797513180400844800
9797513901955350528,9797513214760583168
9797513901955350528,9797513798876135424
9797513901955350528,9797513833235873792
9797513901955350528,9797513867595612160
9797513901955350528,9797513936315088896
9797513901955350528,9797514039394304000
9797513901955350528,9797514657869594624
9797513936315088896,9797513180400844800
9797513936315088896,9797513798876135424
9797513936315088896,9797513901955350528
9797513936315088896,9797513970674827264
9797513936315088896,9797514005034565632
9797513936315088896,9797514039394304000
9797513936315088896,9797514623509856256
9797513936315088896,9797514657869594624
9797514039394304000,9797513764516397056
9797514039394304000,9797513798876135424
9797514039394304000,9797513901955350528
9797514039394304000,9797513936315088896
9797514039394304000,9797513970674827264
9797514039394304000,9797514005034565632
9797514039394304000,9797514073754042368
9797514039394304000,9797514176833257472
9797514245552734208,9797514142473519104
9797514245552734208,9797514176833257472
9797514245552734208,9797514211192995840
9797514245552734208,9797514279912472576
9797514245552734208,9797514314272210944
9797514245552734208,9797542145660289024
9797514245552734208,9797542180020027392
9797514245552734208,9797542283099242496
9797514348631949312,9797514211192995840
9797514348631949312,9797514314272210944
9797514348631949312,9797514382991687680
9797514348631949312,9797514417351426048
9797514348631949312,9797514451711164416
9797514348631949312,9797515585582530560
9797514348631949312,9797515688661745664
9797514348631949312,9797515723021484032
9797514589150117888,9797513970674827264
9797514589150117888,9797514417351426048
9797514589150117888,9797514451711164416
9797514589150117888,9797514486070902784
9797514589150117888,9797514520430641152
9797514589150117888,9797514554790379520
9797514589150117888,9797514623509856256
9797514589150117888,9797514726589071360
9797514760948809728,9797514554790379520
9797514760948809728,9797514692229332992
9797514760948809728,9797514726589071360
9797514760948809728,9797514795308548096
9797514760948809728,9797514829668286464
9797514760948809728,9797514864028024832
