cid,neighborCid,frsId,facName,naics
5526231117209796608,5526230739252674560,110028004273,CARRABASSETT VALLEY WASTEWATER TREATMENT FACILITY,562910
5526231151569534976,5526230739252674560,110028004273,CARRABASSETT VALLEY WASTEWATER TREATMENT FACILITY,221320
5526231151569534976,5526230739252674560,110028004273,CARRABASSETT VALLEY WASTEWATER TREATMENT FACILITY,562910
5526336807765016576,5526336842124754944,110037937579,ARCHIE'S INC.,562111
5526336807765016576,5526336842124754944,110037937579,ARCHIE'S INC.,562112
5526336807765016576,5526337254441615360,110006618730,RUMFORD-MEXICO WASTEWATER TREATMENT FACILITY,221320
5526336979563708416,5526337048283185152,110039667045,RUMFORD PAPER COMPANY- FARRINGTON MOUNTAIN LANDFILL,322121
5526337048283185152,5526336842124754944,110037937579,ARCHIE'S INC.,562111
5526337048283185152,5526336842124754944,110037937579,ARCHIE'S INC.,562112
5526337254441615360,5526336842124754944,110037937579,ARCHIE'S INC.,562111
5526337254441615360,5526336842124754944,110037937579,ARCHIE'S INC.,562112
5526345878735945728,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,221112
5526345878735945728,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322110
5526345878735945728,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322120
5526345878735945728,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322121
5526345878735945728,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,322130
5526345878735945728,5526347528003387392,110008053587,VERSO  PAPER - ANDROSCOGGIN MILL,531120
5526345878735945728,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,221112
5526345878735945728,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322110
5526345878735945728,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322120
5526345878735945728,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322121
5526345878735945728,5526347528003387392,110063588844,PIXELLE ANDROSCOGGIN,322130
5526345878735945728,5526347528003387392,110070864488,SPECIALTY MINERALS INC,325180
