cid,nRingFac
5526620928441581568,2
5526620962801319936,4
5526620997161058304,10
5526621340758441984,16
5526621821794779136,4
5526623161824575488,1
5526623196184313856,2
5526625463927046144,9
5526625567006261248,26
5526626838316580864,7
5526627388072394752,6
5526627422432133120,6
5526628075267162112,4
5526631408161783808,19
5526631442521522176,21
5526631545600737280,4
5526635015934312448,3
5526635462610911232,2
5526635634409603072,6
5526636355964108800,8
5526639723218468864,8
5526640376053497856,4
5526640410413236224,4
5526641131967741952,5
5526641956601462784,5
5526642231479369728,3
5526642334558584832,1
5526642643796230144,3
5526642712515706880,1
5526642746875445248,2
5526642781235183616,3
5526643296631259136,5
5526644258703933440,3
5526644293063671808,2
5526644396142886912,2
5526644739740270592,4
5526645804892160000,4
5526646148489543680,5
5526648897268613120,16
5526648931628351488,44
5526648965988089856,68
5526649240865996800,57
5526649412664688640,86
5526649447024427008,92
5526650031139979264,55
5526650409097101312,35
5526650477816578048,20
5526650512176316416,17
5526651371169775616,194
5526651611687944192,124
5526651646047682560,153
5526651852206112768,19
5526651886565851136,42
5526652951717740544,7
5526654085589106688,78
5526654119948845056,118
5526654154308583424,85
5526656593850007552,1
5526657487203205120,2
5526658243117449216,10
5526658758513524736,2
5526658827233001472,3
5526659033391431680,1
5526659273909600256,4
5526660132903059456,9
5526660339061489664,65
5526660373421228032,105
5526660407780966400,122
5526660751378350080,4
5526660957536780288,14
5526661026256257024,80
5526663019121082368,1
5526665802259890176,1
5526665836619628544,3
5526665870979366912,2
5526665905339105280,2
5526668344880529408,6
5526668722837651456,8
5526669032075296768,23
5526670646983000064,4
5526670784421953536,29
5526671024940122112,18
5526671437256982528,25
5526673086524424192,2
5526673120884162560,1
5526677690729365504,23
5526677862528057344,24
5526679580514975744,8
5526679821033144320,50
5526680473868173312,3
5526680576947388416,4
5526680611307126784,2
5526681916977184768,9
5526684631396515840,1
5526684837554946048,2
5526684974993899520,11
5526685009353637888,2
5526685078073114624,13
5526685662188666880,2
5526685937066573824,4
5526686074505527296,3
5526686383743172608,5
5526686452462649344,4
5526686486822387712,1
5526687105297678336,1
5526687139657416704,1
5526687174017155072,1
5526687208376893440,1
5526698925047676928,3
5526698959407415296,4
5526701330229362688,52
5526701502028054528,49
5526701708186484736,63
5526707858579652608,2
5526716620312936448,9
5526735174571655168,3
5526738438746800128,2
5526738473106538496,4
5526740637770055680,6
5526746513285316608,1
5526749330783862784,3
5526763143398686720,1
5526763212118163456,1
5526937450351427584,17
5526946109005496320,13
5526946658761310208,2
5526953908666105856,2
5526963013996773376,1
5526977582525841408,9
5527000672270024704,1
5527000775349239808,1
5527037093592694784,15
5527140894362304512,1
5527254247139180544,4
5527265139176243200,32
5527282834441502720,3
5527368493269254144,1
5527502049572290560,4
5527772254554816512,2
5528928803348283392,31
5528930074658603008,29
5528965946225459200,10
5529118675262504960,16
5529384550917996544,19
5529388021251571712,5
5529388055611310080,3
5529399566123663360,1
5529476497577869312,1
5529476669376561152,1
5529480345868566528,1
5529480517667258368,1
5529480552026996736,1
5529480792545165312,1
5529480826904903680,2
5529481307941240832,2
5529481548459409408,2
5529486083944873984,37
5529488042449960960,1
5529488935803158528,2
5529489038882373632,3
5529491306625105920,1
5529491547143274496,3
5529491581503012864,1
5529491615862751232,1
5529491650222489600,2
5529491822021181440,15
5529491856380919808,9
5529491925100396544,12
5529492852813332480,9
5529492887173070848,14
5529492921532809216,17
5529496323146907648,2
5529496529305337856,2
5529496563665076224,1
5529496598024814592,3
5529496701104029696,2
5529497079061151744,43
5529497353939058688,34
5529498693968855040,7
5529500343236296704,3
5529511647590219776,1
5529511991187603456,1
5529512025547341824,13
5529512059907080192,1
5529512094266818560,2
5529512128626556928,13
5529512162986295296,9
5529512197346033664,15
5529512231705772032,16
5529512266065510400,16
5529512300425248768,9
5529512334784987136,3
5529512369144725504,1
5529512403504463872,6
5529512437864202240,2
5529512575303155712,1
5529512609662894080,2
5529514327649812480,2
5529515014844579840,7
5529515049204318208,16
5529515083564056576,19
5529515152283533312,5
5529515186643271680,2
5529515598960132096,9
5529515908197777408,9
5529522264749375488,1
5529522333468852224,1
5529522402188328960,14
5529522436548067328,2
5529540544130187264,10
5529540990806786048,1
5529571261736288256,1
5529579886030618624,2
5529762851637428224,17
5529762954716643328,20
5529763676271149056,2
5533369215416795136,39
5573308631698374656,2
5573317874467995648,6
5573318286784856064,10
5573318355504332800,8
5573334092264505344,4
5955178881269891072,2
5955253029585289216,2
5955273954665955328,1
5955276840883978240,5
5955480869010407424,1
5955484957819273216,3
5955487637878865920,8
5955502309487149056,4
5955502893602701312,1
5955502927962439680,3
5955516225181188096,5
5955882671790882816,2
5955892533035794432,1
5955906002053234688,1
5955946958861369344,1
5955949948158607360,1
5955950188676775936,1
5955987022316306432,85
5955987159755259904,17
5956197372634595328,1
5956197681872240640,8
5956202801473257472,6
5956202904552472576,9
5956207233879506944,16
5956207508757413888,3
5957689822230347776,4
5957734386811011072,1
5957747168633683968,19
5957749951772491776,156
5957750020491968512,105
5957750089211445248,67
5957752219515224064,26
5957752322594439168,31
5957752528752869376,6
5957752597472346112,48
5957753868782665728,35
5957754452898217984,34
5957778951391674368,41
5957779054470889472,16
5957779088830627840,18
5957779226269581312,12
5957779432428011520,21
5957784070992691200,220
5957784174071906304,68
5957784689467981824,191
5957785033065365504,41
5957789912148213760,143
5957790805501411328,146
5957986552930893824,1
5957988270917812224,8
5957999094235398144,4
5958006137981763584,4
5958006275420717056,7
5958010295510106112,3
5958049603050799104,4
5958053142103851008,38
5958060254569693184,2
5958160207048605696,1
5958168247227383808,2
5958168968781889536,27
5958169140580581376,52
5958170755488284672,49
5958170892927238144,112
5958170927286976512,66
5958171064725929984,51
5958171099085668352,40
5958171477042790400,48
5958171614481743872,17
5958171683201220608,43
5958171717560958976,43
5958171854999912448,48
5958177696155435008,102
5958178486429417472,1
5958200820259356672,2
5958270433089290240,4
5958310084227366912,2
5958327367175766016,1
5958420241548574720,29
5958420550786220032,195
5958420619505696768,209
5958421684657586176,7
5958422784169213952,10
5958428762763689984,1
5958432095658311680,24
5958575375767306240,12
5958590872009310208,2
5958590975088525312,6
5958591009448263680,13
5958600183498407936,4
5958602176363233280,11
5958609735505674240,99
5958633031408287744,6
5958779335174258688,11
5958779472613212160,3
5958782668068880384,1
5958796927360303104,3
5958798679706959872,61
5958799366901727232,58
5958806101410447360,6
5958809571744022528,1
5958826820332683264,1
5958892000756367360,44
5958930140065955840,1
5959024904224374784,46
5959028099680043008,4
5959038545040506880,10
5959040572265070592,9
5959044592354459648,8
5959045520067395584,87
5959048303206203392,4
5959048578084110336,8
5959049093480185856,15
5959049505797046272,44
5959049815034691584,24
5959049849394429952,29
5959050021193121792,31
5959050089912598528,56
5959050158632075264,44
5959050192991813632,42
5959050399150243840,6
5959050433509982208,14
5959050536589197312,26
5959050570948935680,47
5959050845826842624,4
5959050880186580992,12
5959050948906057728,6
5959050983265796096,8
5959051051985272832,10
5959051086345011200,21
5959051292503441408,16
5959051464302133248,18
5959051498661871616,15
5959051704820301824,18
5959052151496900608,12
5959052460734545920,20
5959053216648790016,5
5959054316160417792,20
5959056377744719872,106
5959056652622626816,17
5959056755701841920,95
5959056790061580288,100
5959056858781057024,49
5959056927500533760,92
5959057271097917440,65
5959057511616086016,87
5959058267530330112,227
5959058679847190528,102
5959059435761434624,97
5959060329114632192,39
5959060947589922816,53
5959063971246899200,9
5959064143045591040,90
5959065002039050240,10
5959065895392247808,9
5959073282735996928,1
5959074657125531648,3
5959074966363176960,3
5959078161818845184,33
5959079811086286848,144
5959080807518699520,6
5959086442515791872,6
5959093589341372416,8
5959109841497620480,1
5959112487197474816,4
5959122073564479488,2
5959122142283956224,28
5959124306947473408,2
5959124959782502400,5
5959128223957647360,15
5959131831730176000,14
5959132072248344576,7
5959132793802850304,21
5959133206119710720,122
5959133790235262976,47
5959136435935117312,5
5959137294928576512,21
5959137466727268352,17
5959137741605175296,7
5959140971420581888,14
5959141658615349248,10
5959142139651686400,9
5959142655047761920,63
5959146606417674240,242
5959148152605900800,178
5959149973672034304,99
5959152103975813120,59
5959152344493981696,91
5959152516292673536,185
5959153134767964160,86
5959153203487440896,36
5959153684523778048,457
5959153890682208256,210
5959156089705463808,727
5959156605101539328,940
5959157910771597312,132
5959159869276684288,221
5959160212874067968,172
5959160384672759808,145
5959160762629881856,128
5959160831349358592,195
5959160900068835328,165
5959161037507788800,198
5959161655983079424,200
5959161724702556160,316
5959162137019416576,682
5959162996012875776,311
5959163133451829248,155
5959163373969997824,112
5959163786286858240,170
5959164645280317440,213
5959164851438747648,193
5959165607352991744,78
5959166947382788096,267
5959167497138601984,192
5959171070551392256,53
5959171139270868992,42
5959171242350084096,278
5959174540884967424,34
5959175915274502144,210
5959176636829007872,206
5959179076370432000,6
5959189693529587712,127
5959189934047756288,134
5959190758681477120,18
5959195637764325376,18
5959197664988889088,38
5959199692213452800,4
5959207560593539072,3
5959211821201096704,1
5959219517782491136,2
5959222266561560576,127
5959222369640775680,114
5959222678878420992,116
5959223400432926720,18
5959224018908217344,18
5959224499944554496,10
5959228382594990080,33
5959229482106617856,7
5959266796782485504,85
5959279303727251456,6
5959280059641495552,48
5959283667414024192,1
5959312048557916160,1
5959328541232332800,83
5959357918808637440,20
5959406331679997952,48
5959430830173454336,44
5959452682967056384,12
5959460963664003072,38
5959461101102956544,9
5959480170757750784,47
5959483778530279424,10
5959486355510657024,14
5959486664748302336,12
5959491234593505280,56
5959491612550627328,84
5959491715629842432,254
5959492368464871424,38
5959492849501208576,195
5959492918220685312,196
5959493364897284096,222
5959493433616760832,300
5959493605415452672,323
5959494258250481664,248
5959540643897278464,10
5959540850055708672,61
5959544938864574464,43
5959545041943789568,7
5959561672057159680,14
5959561809496113152,77
5959564901872566272,4
5959594691765731328,3
5959631456685785088,2
5959657879324590080,54
5959663651760635904,11
5959663754839851008,7
5959676742820954112,6
5959790370475737088,6
5959872352811483136,4
5959912553705373696,58
5959915302484443136,11
5960018209900855296,145
5960028071145766912,1
5960099195804188672,4
5960115173082529792,8
5960115619759128576,1
5960116066435727360,5
5960117612623953920,5
5960118024940814336,2
5960122972743139328,1
5960154549342699520,7
5960154652421914624,20
5960154858580344832,31
5960157847877582848,186
5960157950956797952,359
5960157985316536320,229
5960158054036013056,163
5960158088395751424,168
5960159359706071040,5
5960159428425547776,9
5960159737663193088,86
5960159772022931456,74
5960159806382669824,94
5960159840742408192,107
5960159875102146560,116
5960160493577437184,33
5960160527937175552,55
5960160596656652288,79
5960160905894297600,10
5960163104917553152,1
5960163860831797248,4
5960164479307087872,30
5960167399884849152,17
5960179425793277952,7
5960180456585428992,10
5960187362892840960,38
5960187706490224640,37
5960194544078159872,59
5960207841296908288,9
5960208253613768704,2
5960208425412460544,12
5960209215686443008,17
5960209250046181376,9
5960210418277285888,11
5960251272006205440,3
5960414961799790592,3
5960434134533799936,3
5960435508923334656,146
5960435612002549760,93
5960454990894989312,3
5960533640336113664,3
5960553087948029952,1
5960558757304860672,2
5960562846113726464,91
5960563567668232192,82
5960564461021429760,74
5960565354374627328,5
5960568893427679232,45
5960569099586109440,89
5960570061658783744,4
5960582912200933376,1
5961020861426171904,5
5961025809228496896,1
5961028798525734912,3
5961032200139833344,2
5961033883767013376,1
5961472142229897216,4
5963005342475354112,1
5963116839826358272,9
5964561735544209408,9
5964899766650273792,5
5965158151882801152,2
5965258241800667136,11
5965258276160405504,3
5965307307507056640,54
5965498107134214144,8
5965514359290462208,9
5965597784735219712,12
5965907847014252544,2
5965984056913952768,1
5965999140839096320,70
5966048928099991552,2
9280279133756063744,6
9281391014889652224,4
9281427195694153728,37
9281428776242118656,42
9282270108795797504,3
9282298249421520896,61
9282461836135890944,107
9282461870495629312,124
9282461904855367680,114
9282461939215106048,137
9282663287281942528,1
9283266128891609088,5
9283268224835649536,7
9283268912030416896,5
9283272416723730432,1
9283562172397387776,2
9283696553334145024,1
9283703700159725568,53
9283703906318155776,1
9283706242780364800,2
9283706620737486848,40
9283771423204048896,1
9283877113759268864,2
9283877251198222336,7
9283878144551419904,163
9283878178911158272,169
9716062527246303232,13
9716063901635837952,38
9716064004715053056,32
9716075343428714496,144
9716075377788452864,112
9716075583946883072,139
9716077473732493312,423
9716077508092231680,301
9716077576811708416,297
9716077611171446784,263
9716077748610400256,300
9716077782970138624,266
9716077954768830464,197
9716080806627115008,337
9716080840986853376,271
9716080875346591744,163
9716080909706330112,259
9716081047145283584,198
9716081287663452160,292
9716081803059527680,106
9716081871779004416,68
9716083727204876288,180
9716130078491934720,14
9716511712105988096,6
9716512261861801984,36
9716635956919926784,3
9739066921839493120,2
9739255797321302016,59
9739256243997900800,39
9739570120207892480,1
9739891899157708800,98
9739892036596662272,135
9739892139675877376,131
9739892174035615744,115
9739892208395354112,79
9739893548425150464,160
9739893617144627200,129
9739893651504365568,155
9739893685864103936,154
9739893720223842304,158
9739893823303057408,193
9739893857662795776,276
9739893926382272512,167
9739898496227475456,392
9739898908544335872,216
9739899080343027712,193
9739899217781981184,190
9739899252141719552,156
9739899286501457920,155
9739899320861196288,173
9739899423940411392,225
9739899904976748544,354
9739899939336486912,408
9739899973696225280,414
9739900008055963648,486
9739900042415702016,426
9739900076775440384,309
9739901038848114688,174
9739901279366283264,318
9739901313726021632,287
9739901657323405312,89
9739938731481104384,14
9739941136662790144,129
9739941445900435456,100
9739998689224556544,74
9740063629130072064,234
9740063663489810432,284
9740063732209287168,157
9740064453763792896,82
9740065175318298624,140
9740178665534128128,81
9740178768613343232,78
9740178802973081600,84
9740178906052296704,98
9740186465194737664,1
9740254497476706304,4
9740378742290644992,7
9740397468348055552,6
9740397502707793920,4
9740404202856775680,1
9740425231016656896,1
9740447599206334464,54
9740447633566072832,48
9740457185573339136,8
9740458628682350592,79
9740468180689616896,1
9740476461386563584,1
9740477148581330944,2
9740493057140195328,128
9740496390034817024,3
9740502677866938368,36
9740506113840775168,32
9740620016373465088,10
9740629121704132608,2
9740631252007911424,14
9741189357238222848,54
9742145004641452032,1
9742145313879097344,1
9742148956011364352,6
9742149059090579456,4
9742149196529532928,4
9742149265249009664,7
9742149333968486400,1
9742149780645085184,1
9742149815004823552,1
9742150777077497856,1
9742154831526625280,1
9742155518721392640,3
9742155553081131008,2
9742155827959037952,3
9742156034117468160,18
9742156102836944896,4
9742156583873282048,1
9742250592117456896,7
9766637863100743680,14
9766723006532419584,16
9766762588951019520,2
9766790901375434752,69
9766795265062207488,1
9766942943217713152,4
9766980326613057536,4
9767139206043271168,84
9767139240403009536,11
9767141989182078976,116
9781824180264632320,10
9784426208891502592,2
9785113025701740544,38
9785187277096353792,1
9785909003400773632,2
9786965874593234944,3
9787048715922440192,1
9787662552648384512,6
9787931829917974528,4
9790344776904605696,5
9790581034465624064,1
9790613813656027136,2
9790860001181433856,56
9790860035541172224,74
9790951088847847424,1
9790956483326771200,43
9792836991807651840,2
9795559279518810112,66
9795559554396717056,193
9795560379030437888,20
9795562406255001600,12
9796312754221481984,143
9796441156563763200,8
9796475791180038144,4
9796516885427126272,122
9796516919786864640,106
9796575778018689024,5
9796643260544843776,3
9796876975485222912,10
9796877662679990272,200
9796877697039728640,158
9796962153276637184,79
9797001907493928960,4
