param	nObs	nDet	nCells	paramLabel	dtxsid	dssLabel	cas	detFreq	iceLabel	nAssayEndpoints	functionalUse	inICE	inToxCast
characteristic.8091	2184	17	5	Hexafluoropropylene oxide dimer acid	DTXSID70880215	Perfluoro-2-methyl-3-oxahexanoic acid	13252-13-6	0.007783882783882784		506.0		False	True
characteristic.9611	1753	16	8					0.00912721049629207				False	False
characteristic.22382	1762	16	4	Perfluoro(4-methoxybutanoic) acid	DTXSID60500450	Perfluoro(4-methoxybutanoic acid)	863090-89-5	0.009080590238365494		506.0		False	True
characteristic.8096	942	16	9	Perfluorononanesulfonate	DTXSID8071356	Perfluorononanesulfonic acid	474511-07-4	0.016985138004246284	Perfluorononanesulfonate		Emulsion stabilizer; Flame retardant	True	False
characteristic.19739	2441	14	9					0.005735354362965997				False	False
characteristic.8084	186	14	2					0.07526881720430108				False	False
parameter.5-3_FTC_A	643	14	14	5:3 FLUOROTELOMER CARBOXYLIC ACID	DTXSID20874028	2H,2H,3H,3H-Perfluorooctanoic acid	914637-49-3	0.02177293934681182		497.0		False	True
characteristic.16586	41	13	1	Perfluorobutylsulfonamide	DTXSID30880251		30334-69-1	0.3170731707317073	Perfluorobutanesulfonamide		Emulsion stabilizer; Flame retardant	True	False
characteristic.18897	2200	12	7	4,8-Dioxa-3H-perfluorononanoic acid	DTXSID40881350	4,8-Dioxa-3H-perfluorononanoic acid	919005-14-4	0.005454545454545455				False	False
parameter.PFOS_A_L	12	12	3	PERFLUOROOCTANE SULFONIC ACID-LINEAR	DTXSID3031864	Perfluorooctanesulfonic acid		1.0				False	False
characteristic.18785	1658	11	6					0.0066344993968636915				False	False
parameter.FHXSA	421	10	2	PERFLUOROHEXANE SULFONAMIDE	DTXSID50469320		41997-13-1	0.023752969121140142	Perfluorohexanesulfonamide	462.0	Emulsion stabilizer; Flame retardant	True	True
parameter.N-ETFOSA	879	9	0	N-ETHYL PERFLUOROOCTANE SULFONAMIDE	DTXSID1032646	N-Ethylperfluorooctane sulfonamide	4151-50-2	0.010238907849829351	N-Ethylperfluorooctanesulfonamide	1152.0	Emulsion stabilizer; Flame retardant	True	True
parameter.10-2_FTS_A	53	9	2	10:2 FLUOROTELOMER SULFONIC ACID	DTXSID50892578		120226-60-0	0.16981132075471697				False	False
characteristic.9458	2446	9	4					0.003679476696647588				False	False
characteristic.18826	147	9	3	12-H-Perfluorododecanoate	DTXSID60892923		1696259-75-2	0.061224489795918366				False	False
parameter.PFNS	327	8	4	PERFLUORONONANE SULFONATE	DTXSID60873010		474511-07-4	0.024464831804281346	Perfluorononanesulfonate		Emulsion stabilizer; Flame retardant	True	False
parameter.9CL-PF3ONS_A	2147	8	6	9-CHOLOROHEXADECAFLUORO-3-OXANONANE-1-SULFONIC ACID	DTXSID80892506	Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonic acid)	756426-58-1	0.0037261294829995344				False	False
characteristic.9409	1099	8	3					0.007279344858962694				False	False
characteristic.8086	2700	8	3	9-Chlorohexadecafluoro-3-oxanone-1-sulfonic acid	DTXSID80892506	Perfluoro(2-((6-chlorohexyl)oxy)ethanesulfonic acid)	756426-58-1	0.002962962962962963				False	False
