cid,nFac
9739900008055963648,111
9739900042415702016,61
9739900076775440384,16
9739901038848114688,10
9739901279366283264,47
9739901313726021632,71
9739901657323405312,3
9739938731481104384,1
9739941136662790144,16
9739941445900435456,9
9739998689224556544,4
9740063629130072064,53
9740063663489810432,23
9740063732209287168,53
9740064453763792896,53
9740065175318298624,4
9740178665534128128,35
9740178768613343232,23
9740178802973081600,15
9740178906052296704,18
9740235256023220224,1
9740397468348055552,1
9740397502707793920,1
9740398636579160064,1
9740447599206334464,23
9740447633566072832,6
9740457185573339136,1
9740458628682350592,16
9740485188760109056,2
9740493057140195328,35
9740502677866938368,2
9740506113840775168,9
9740620016373465088,8
9741189357238222848,33
9742148956011364352,5
9742149265249009664,1
9742155553081131008,1
9742156034117468160,4
9742156102836944896,1
9742532616849981440,1
9766637863100743680,2
9766723006532419584,1
9766790901375434752,21
9766980326613057536,1
9767139206043271168,3
9767139240403009536,1
9767141989182078976,1
9787048715922440192,1
9787931829917974528,1
9788274705747148800,1
9790779221436530688,1
9790860001181433856,26
9790860035541172224,2
9795559279518810112,3
9795559554396717056,99
9795560379030437888,4
9796312754221481984,28
9796441156563763200,1
9796516885427126272,11
9796516919786864640,2
9796876975485222912,1
9796877662679990272,12
9796877697039728640,33
9796962153276637184,1
9797013830323142656,2
9797020564831862784,4
9797040321681424384,2
9797041970948866048,1
9797045613081133056,2
9797046025397993472,4
9797046197196685312,5
9797047159269359616,18
9797052794266451968,1
9797053962497556480,72
9797053996857294848,71
9797056642557149184,1
9797057742068776960,60
9797059872372555776,35
9797061212402352128,4
9797061246762090496,49
9797061384201043968,1
9797062174475026432,109
9797062414993195008,2
9797062655511363584,4
9797063514504822784,14
9797063583224299520,1
9797064201699590144,44
9797065335570956288,5
9797065541729386496,3
9797066400722845696,2
9797067672033165312,3
9797068531026624512,17
9797069767977205760,13
9797070867488833536,101
9797071485964124160,15
9797075815291158528,16
9797081347209035776,32
9797086672968482816,2
9797099489150894080,11
9797099660949585920,2
9797099832748277760,51
