n,beta,se,ci_lo,ci_hi,rate_elasticity,R2_count,R2_rate,t_vs_1,p_vs_1,classification,series,threshold
139,0.9987276040120873,0.013412045639290892,0.9722062063442567,1.0252490016799178,-0.0012723959879127333,0.9758889076299005,6.569093442383821e-05,-0.09486964346327754,0.9245569872507547,linear (n.s.),asthma,162754.79141900392
562,1.014282932509465,0.006840218089389533,1.0008473132216194,1.0277185517973109,0.014282932509465107,0.975163682229406,0.0077257131859630145,2.0880814504468255,0.03724169387319861,superlinear,asthma,59874.14171519782
1746,1.007106818196548,0.0035457639549082536,1.0001524221394016,1.0140612142536942,0.007106818196547904,0.9788394708622671,0.0022981853466482183,2.0043122686467134,0.04519098525216741,superlinear,asthma,22026.465794806718
4206,0.9961806066545125,0.0019381477279283783,0.9923808129258938,0.9999804003831312,-0.0038193933454875317,0.9843359648876683,0.000922892935553486,-1.9706409838892696,0.048830466624755105,sublinear,asthma,8103.083927575384
8115,0.9910487397643625,0.0011521243443298164,0.9887902806089309,0.993307198919794,-0.008951260235637526,0.9891543837068041,0.00738531257502655,-7.769352570051298,8.853846747259254e-15,sublinear,asthma,2980.9579870417283
13631,0.9881815014625805,0.000743619794673838,0.9867239040006585,0.9896390989245026,-0.011818498537419453,0.9923413272239339,0.018196312848080667,-15.893200560379396,2.2648689817875623e-56,sublinear,asthma,1096.6331584284585
19827,0.989852696764434,0.0005337106582923632,0.9888065792280497,0.9908988143008183,-0.010147303235566008,0.9942695602590138,0.017907247493533104,-19.012742350008274,6.876023368100859e-80,sublinear,asthma,403.4287934927351
24639,0.9935195358996433,0.00042809875013450157,0.9926804365443767,0.9943586352549099,-0.006480464100356742,0.9954465469258504,0.009215432204093845,-15.137778604400706,1.5566716940141513e-51,sublinear,asthma,148.4131591025766
26321,0.9959049311842035,0.00039176456527362577,0.9951370514324313,0.9966728109359758,-0.004095068815796465,0.9959438056366681,0.00413431429331632,-10.452882110295727,1.594857640777099e-25,sublinear,asthma,54.598150033144236
26343,0.9960300157743033,0.00039136224111835155,0.9952629246291155,0.9967971069194911,-0.003969984225696721,0.9959497421355209,0.0038912953453111216,-10.144014441332272,3.902179743318223e-24,sublinear,asthma,20.085536923187668
139,1.0120413471157055,0.023573421681184956,0.9654265273027883,1.0586561669286225,0.01204134711570548,0.9308119255962759,0.0019008944440951875,0.510801837703359,0.6103119566005426,linear (n.s.),cerebrovascular disease,162754.79141900392
562,1.061145035419525,0.012028099117727573,1.0375193324974294,1.0847707383416207,0.061145035419525096,0.9328790823243784,0.04411109115340096,5.083516091865812,5.059141145396495e-07,superlinear,cerebrovascular disease,59874.14171519782
1746,1.0395646019317495,0.006784895740982708,1.0262572152051395,1.0528719886583595,0.03956460193174949,0.9308474224739681,0.01912469700162847,5.831276329386757,6.540428590370105e-09,superlinear,cerebrovascular disease,22026.465794806718
