assayName,sym,dir,log2fc,adjp,region
'Pick disease' vs 'normal',AP003716.1,up,1.0,0.00886414,
'Pick disease' vs 'normal',LINC02754,up,1.0,0.00886414,
'Pick disease' vs 'normal',RP11-119D9.1,up,1.0,0.00886414,
'Pick disease' vs 'normal',AC106881.1,down,-1.6,0.000311754,
'Pick disease' vs 'normal',UNC5C-AS1,down,-1.6,0.000311754,
'Pick disease' vs 'normal',DPYSL4,down,-1.0,0.00332339,
'progressive supranuclear palsy' vs 'normal',USP16,down,-1.6,0.00968076,
'Pick disease' vs 'normal',SH2B2,up,1.0,3.35614e-05,
'Pick disease' vs 'normal',IVNS1ABP,down,-1.1,0.000801706,
'Pick disease' vs 'normal',MYL12A,up,1.0,0.000223658,
'Pick disease' vs 'normal',RASL10A,down,-1.3,0.00102065,
'Pick disease' vs 'normal',IGF2BP2,up,1.0,0.00185438,
'Pick disease' vs 'normal',LINC01616,down,-1.1,0.00980884,
'Pick disease' vs 'normal',RP11-215H22.1,down,-1.1,0.00980884,
'Pick disease' vs 'normal',RNU6-1016P,up,1.5,0.000131984,
'Pick disease' vs 'normal',MTX2,down,-1.4,0.000182418,
'Pick disease' vs 'normal',TBR1,down,-1.6,0.00322291,
'Pick disease' vs 'normal',AP4B1,down,-1.2,6.98756e-05,
'Pick disease' vs 'normal',NFAT5,up,2.8,1.26848e-06,
'Pick disease' vs 'normal',CFL2,down,-1.0,0.00163794,
'Pick disease' vs 'normal',MAP3K2,up,1.2,5.11576e-06,
'Pick disease' vs 'normal',TOB2,up,1.0,0.0070475,
'Pick disease' vs 'normal',ZNF266,down,-1.1,1.22982e-05,
'Pick disease' vs 'normal',AC097376.2,up,1.1,1.66207e-06,
'Pick disease' vs 'normal',RAB33B-AS1,up,1.1,1.66207e-06,
'Pick disease' vs 'normal',PDE10A,down,-1.1,0.000712681,
'Pick disease' vs 'normal',PGRMC1,down,-1.2,0.000337602,
'Pick disease' vs 'normal',CYP46A1,down,-1.1,0.00188404,
'Pick disease' vs 'normal',ME3,down,-1.4,5.51819e-05,
'Pick disease' vs 'normal',PRDX3,down,-1.0,0.000133062,
'Pick disease' vs 'normal',AP3M2,down,-1.0,0.00247461,
'Pick disease' vs 'normal',RAB40B,down,-1.1,0.00926375,
'Pick disease' vs 'normal',RAB31,up,1.0,0.00134154,
'Pick disease' vs 'normal',B4GAT1,down,-1.1,0.00790785,
'Pick disease' vs 'normal',WWP1,up,1.3,1.6324e-05,
'Pick disease' vs 'normal',DUS4L,down,-1.0,8.35408e-05,
'Pick disease' vs 'normal',CHGB,down,-1.7,0.00689382,
'progressive supranuclear palsy' vs 'normal',PLA2G16,down,-1.3,0.00968076,
'progressive supranuclear palsy' vs 'normal',PLAAT3,down,-1.3,0.00968076,
'Pick disease' vs 'normal',LINC00969,up,1.9,8.30249e-05,
'Pick disease' vs 'normal',MUC20-OT1,up,1.9,8.30249e-05,
'Pick disease' vs 'normal',BAZ1A,up,1.5,0.000222393,
'progressive supranuclear palsy' vs 'normal',CHKA,down,-1.0,0.00968076,
'Pick disease' vs 'normal',CHKA,down,-1.4,6.51896e-05,
'Pick disease' vs 'normal',AKAP13,up,1.4,4.38299e-05,
'Pick disease' vs 'normal',CHML,down,-1.6,0.00276863,
'Pick disease' vs 'normal',RASSF8,up,1.1,0.00289749,
'Pick disease' vs 'normal',ERI2,down,-1.2,0.000557177,
'Pick disease' vs 'normal',LYST,up,1.7,0.000186402,
'progressive supranuclear palsy' vs 'normal',SFT2D1,down,-1.1,0.00981457,
'Pick disease' vs 'normal',TRIM9,down,-1.1,0.00406856,
'Pick disease' vs 'normal',EFHC1,up,1.2,0.000761004,
'Pick disease' vs 'normal',TMEM132B,down,-1.5,0.00958423,
'Pick disease' vs 'normal',MYSM1,down,-2.2,1.88867e-06,
'Pick disease' vs 'normal',LENG8,down,-2.2,1.29082e-05,
'Pick disease' vs 'normal',FBXO32,up,1.3,3.99459e-05,
'Pick disease' vs 'normal',ZNF618,up,1.2,0.000557177,
'progressive supranuclear palsy' vs 'normal',DDIT4L,up,1.1,0.00989893,
'Pick disease' vs 'normal',SLC5A11,down,-1.3,0.00614558,
'Pick disease' vs 'normal',AC009041.2,down,-2.1,0.000407069,
'Pick disease' vs 'normal',CEROX1,down,-2.1,0.000407069,
'Pick disease' vs 'normal',RP11-161M6.2,down,-2.1,0.000407069,
'Pick disease' vs 'normal',CMTM5,down,-1.3,0.000280013,
'Pick disease' vs 'normal',ACAP3,down,-2.2,7.14973e-06,
'Pick disease' vs 'normal',GALNT15,up,1.4,0.00467928,
'Pick disease' vs 'normal',AL139393.2,down,-1.5,0.00297242,
'Pick disease' vs 'normal',AL139393.3,down,-1.5,0.00297242,
'Pick disease' vs 'normal',MAP3K4-AS1,down,-1.5,0.00297242,
'Pick disease' vs 'normal',RP3-428L16.2,down,-1.5,0.00297242,
'Pick disease' vs 'normal',ZFYVE27,down,-1.0,9.23575e-06,
'Pick disease' vs 'normal',BORCS7,down,-1.4,1.43705e-05,
'progressive supranuclear palsy' vs 'normal',BORCS7,down,-1.4,0.00787302,
'Pick disease' vs 'normal',CLK1,down,-1.7,0.000518197,
'Pick disease' vs 'normal',AL118516.1,down,-1.1,0.000917324,
'Pick disease' vs 'normal',TBC1D22A-DT,down,-1.1,0.000917324,
'Pick disease' vs 'normal',ADD3,up,1.1,0.000371668,
'Pick disease' vs 'normal',AL050341.2,down,-1.3,8.69876e-07,
'Pick disease' vs 'normal',RP1-39G22.7,down,-1.3,8.69876e-07,
'Pick disease' vs 'normal',ZMPSTE24-DT,down,-1.3,8.69876e-07,
'progressive supranuclear palsy' vs 'normal',AL050341.2,down,-1.4,0.0048395,
'progressive supranuclear palsy' vs 'normal',RP1-39G22.7,down,-1.4,0.0048395,
'progressive supranuclear palsy' vs 'normal',ZMPSTE24-DT,down,-1.4,0.0048395,
'Pick disease' vs 'normal',CYP2R1,down,-1.2,2.83925e-05,
'Pick disease' vs 'normal',LRRK2,down,-1.3,0.00148282,
'Pick disease' vs 'normal',CLPTM1,down,-1.0,0.00164393,
'Pick disease' vs 'normal',FGD4,up,1.5,1.25004e-05,
'Pick disease' vs 'normal',ANO4,down,-1.6,0.000216859,
'Pick disease' vs 'normal',KLHDC1,down,-1.1,0.00153581,
'Pick disease' vs 'normal',JDP2,up,1.0,0.00127161,
'Pick disease' vs 'normal',TTC8,down,-1.1,0.000686355,
'Pick disease' vs 'normal',TARS3,down,-1.1,0.000974796,
'Pick disease' vs 'normal',TARSL2,down,-1.1,0.000974796,
'Pick disease' vs 'normal',METTL23,down,-1.3,0.000201495,
'Pick disease' vs 'normal',MSI2,up,1.2,0.000116894,
'Pick disease' vs 'normal',CPT1C,down,-1.2,0.000166945,
'Pick disease' vs 'normal',ZNF573,up,1.0,0.00327891,
'Pick disease' vs 'normal',CNP,down,-1.1,0.008808,
'progressive supranuclear palsy' vs 'normal',TYW3,down,-1.2,0.00755108,
'Pick disease' vs 'normal',AC108693.1,up,1.2,2.5339e-05,
'Pick disease' vs 'normal',DBTP1,up,1.2,2.5339e-05,
'Pick disease' vs 'normal',TMEM125,down,-1.3,0.00618446,
'Pick disease' vs 'normal',COL4A5,down,-1.7,0.00430849,
'Pick disease' vs 'normal',SGSM1,down,-1.7,0.00530083,
'Pick disease' vs 'normal',DIS3L2,up,1.1,0.000436674,
'Pick disease' vs 'normal',COL9A2,down,-1.1,0.00208942,
'progressive supranuclear palsy' vs 'normal',COL9A3,down,-1.4,0.00979606,
'Pick disease' vs 'normal',COL9A3,down,-1.4,0.000458172,
'Pick disease' vs 'normal',ICA1L,down,-1.4,0.000261938,
'Pick disease' vs 'normal',COL11A1,up,1.5,0.000797839,
'Pick disease' vs 'normal',TTC32,down,-1.2,0.00490534,
'Pick disease' vs 'normal',COL16A1,down,-1.3,0.000107727,
'Pick disease' vs 'normal',AHSA2,down,-2.5,1.69315e-05,
'Pick disease' vs 'normal',AHSA2P,down,-2.5,1.69315e-05,
'Pick disease' vs 'normal',KCNH8,down,-2.6,0.000148159,
'Pick disease' vs 'normal',FAM131A,down,-1.1,0.00327489,
'Pick disease' vs 'normal',AC004951.3,down,-1.2,5.35863e-05,
'Pick disease' vs 'normal',AC004985.12,down,-1.2,5.35863e-05,
'Pick disease' vs 'normal',RASA4EP,down,-1.2,5.35863e-05,
'Pick disease' vs 'normal',SMIM43,down,-1.7,0.00419313,
'Pick disease' vs 'normal',TMEM155,down,-1.7,0.00419313,
'Pick disease' vs 'normal',GNPDA2,down,-1.0,5.78683e-05,
'Pick disease' vs 'normal',AASDH,up,1.7,6.39413e-05,
'Pick disease' vs 'normal',TRAM1L1,down,-1.0,0.00445443,
'Pick disease' vs 'normal',STARD4,down,-1.5,0.000100562,
'Pick disease' vs 'normal',RIPPLY2,down,-1.0,0.000103197,
'Pick disease' vs 'normal',COX15,up,1.4,2.45113e-05,
'Pick disease' vs 'normal',CPM,up,1.1,0.0021997,
'Pick disease' vs 'normal',HGSNAT,down,-1.0,0.00207964,
'Pick disease' vs 'normal',CREB1,up,1.1,0.000113679,
'Pick disease' vs 'normal',CRHBP,down,-1.3,0.000907844,
'Pick disease' vs 'normal',PTCHD1,up,1.5,0.00489049,
'Pick disease' vs 'normal',PNCK,down,-1.0,0.000157099,
'Pick disease' vs 'normal',MIB2,down,-1.0,0.000404837,
'Pick disease' vs 'normal',CRYM,down,-1.7,0.00225299,
'Pick disease' vs 'normal',HECTD2,down,-1.3,0.00249601,
'Pick disease' vs 'normal',CPNE8,up,1.1,0.000108497,
'Pick disease' vs 'normal',ARMH4,up,1.2,0.000247143,
'Pick disease' vs 'normal',C14orf37,up,1.2,0.000247143,
'Pick disease' vs 'normal',ZFP90,up,1.5,1.79651e-05,
'Pick disease' vs 'normal',CMTM4,up,1.1,2.24442e-05,
'Pick disease' vs 'normal',ANKRD29,down,-1.4,1.83655e-06,
'Pick disease' vs 'normal',SMIM17,down,-1.7,0.00756271,
'Pick disease' vs 'normal',C1orf52,down,-1.3,0.000222991,
'Pick disease' vs 'normal',CTBP2,up,1.1,0.000156225,
'Pick disease' vs 'normal',CTPS1,down,-1.4,1.17535e-05,
'Pick disease' vs 'normal',LINC01105,down,-1.6,0.000487798,
'Pick disease' vs 'normal',SILC1,down,-1.6,0.000487798,
'progressive supranuclear palsy' vs 'normal',LINC01105,down,-1.8,0.00897737,
'progressive supranuclear palsy' vs 'normal',SILC1,down,-1.8,0.00897737,
'Pick disease' vs 'normal',LINC00342,down,-2.1,3.78213e-05,
'Pick disease' vs 'normal',GPR155,up,1.8,0.00194258,
'Pick disease' vs 'normal',TTC14,up,1.5,0.00156157,
'Pick disease' vs 'normal',PPM1L,down,-1.4,0.00927343,
'Pick disease' vs 'normal',SLC38A9,up,1.1,0.000145954,
'Pick disease' vs 'normal',CREBRF,up,1.5,1.64025e-06,
'Pick disease' vs 'normal',TMEM161B,down,-1.3,1.95409e-05,
'Pick disease' vs 'normal',CYLD,up,1.5,3.80054e-05,
'Pick disease' vs 'normal',CYP2E1,down,-1.1,8.9599e-06,
'Pick disease' vs 'normal',LINC00599,down,-1.2,0.00151384,
'Pick disease' vs 'normal',MIR124-1HG,down,-1.2,0.00151384,
'Pick disease' vs 'normal',VPS13B,up,1.8,2.65654e-06,
'Pick disease' vs 'normal',PRUNE2,down,-1.3,0.000998249,
'Pick disease' vs 'normal',ADSS,down,-1.3,0.00474455,
'Pick disease' vs 'normal',ADSS2,down,-1.3,0.00474455,
'Pick disease' vs 'normal',DGKB,down,-1.4,0.00623387,
'Pick disease' vs 'normal',PPTC7,up,1.2,0.00030082,
'Pick disease' vs 'normal',DGKQ,down,-1.8,0.000215618,
'Pick disease' vs 'normal',ITPRIPL2,up,1.0,0.00679274,
'Pick disease' vs 'normal',SLFN5,up,1.3,5.11576e-06,
'Pick disease' vs 'normal',DBT,up,1.1,3.31996e-07,
'Pick disease' vs 'normal',ZNF550,down,-1.0,4.12226e-05,
'Pick disease' vs 'normal',DCN,up,1.1,0.00997237,
'Pick disease' vs 'normal',DCX,up,1.7,0.00438003,
'Pick disease' vs 'normal',UBXN2A,up,1.1,3.84837e-06,
'Pick disease' vs 'normal',PAPD4,up,1.6,0.000749328,
'Pick disease' vs 'normal',TENT2,up,1.6,0.000749328,
'Pick disease' vs 'normal',DFFA,up,1.1,4.71573e-06,
'Pick disease' vs 'normal',DFFB,down,-1.1,0.000144257,
'Pick disease' vs 'normal',SNX31,up,1.5,0.00340304,
'Pick disease' vs 'normal',ZCCHC12,down,-1.0,0.00192119,
'Pick disease' vs 'normal',ZNF431,up,1.3,0.000233416,
'Pick disease' vs 'normal',SYNPO2,up,1.9,2.5648e-05,
'Pick disease' vs 'normal',DIO2,down,-1.1,0.00682635,
'Pick disease' vs 'normal',DYNC1I1,down,-1.8,0.00614479,
'Pick disease' vs 'normal',SLC26A2,up,2.6,0.000271332,
'Pick disease' vs 'normal',DTNA,up,1.6,0.000128569,
'Pick disease' vs 'normal',EBF1,up,1.4,0.00446844,
'Pick disease' vs 'normal',AGO3,up,2.1,1.47541e-05,
'Pick disease' vs 'normal',AGO4,down,-1.0,0.00107432,
'Pick disease' vs 'normal',EGFR,up,2.0,0.000281693,
'Pick disease' vs 'normal',AMN1,down,-1.3,0.000130837,
