assayName,sym,dir,log2fc,adjp
'Pick disease' vs 'normal',RP11-433M22.2,up,1.3,1.08524e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',AC036222.1,up,1.4,0.00306748
'Alzheimers disease' vs 'normal' in 'hippocampus',RP11-433M22.2,up,1.4,0.00306748
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC036222.1,up,1.9,4.42431e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-433M22.2,up,1.9,4.42431e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC010761.1,down,-1.2,0.000325679
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC010761.2,down,-1.2,0.000325679
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC010761.8,down,-1.2,0.000325679
'Alzheimers disease' vs 'normal' in 'hippocampus',AC010761.1,down,-1.6,0.000240461
'Alzheimers disease' vs 'normal' in 'hippocampus',AC010761.2,down,-1.6,0.000240461
'Alzheimers disease' vs 'normal' in 'hippocampus',AC010761.8,down,-1.6,0.000240461
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC107993.1,up,1.2,0.00591822
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',RP11-194N12.2,up,1.2,0.00591822
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AC107993.1,up,1.3,0.00109987
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',RP11-194N12.2,up,1.3,0.00109987
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC107993.1,up,1.9,0.000108302
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-194N12.2,up,1.9,0.000108302
'Alzheimers disease' vs 'normal' in 'hippocampus',AC107993.1,up,1.8,7.67625e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',RP11-194N12.2,up,1.8,7.67625e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC107993.1,up,1.8,5.54977e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-194N12.2,up,1.8,5.54977e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC010524.1,up,1.3,0.000262876
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC010524.4,up,1.3,0.000262876
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC005261.1,up,1.0,0.000205624
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC005261.2,up,1.0,0.000205624
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CTC-444N24.11,up,1.0,0.000205624
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC093503.2,up,1.2,0.00143134
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CTB-12A17.3,up,1.2,0.00143134
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC093503.2,up,1.5,0.00219964
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CTB-12A17.3,up,1.5,0.00219964
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC005523.2,down,-1.1,0.00583797
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL049840.4,up,1.3,0.000169976
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AL049840.6,up,1.3,0.000169976
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',RP11-73M18.8,up,1.3,0.000169976
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',AC127502.2,up,1.8,0.00053418
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CTD-3092A11.2,up,1.8,0.00053418
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',AC127502.2,up,1.3,0.00157943
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',CTD-3092A11.2,up,1.3,0.00157943
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AC127502.2,up,2.4,3.28231e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CTD-3092A11.2,up,2.4,3.28231e-06
'Pick disease' vs 'normal',AC127502.2,down,-1.6,0.000190985
'Pick disease' vs 'normal',CTD-3092A11.2,down,-1.6,0.000190985
'Pick disease' vs 'normal',AC090559.2,up,1.4,2.86276e-05
'Pick disease' vs 'normal',RP11-750H9.7,up,1.4,2.86276e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',AC068491.3,up,1.4,0.000830659
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',RP11-803D5.4,up,1.4,0.000830659
'Alzheimers disease' vs 'normal' in 'hippocampus',AC068491.3,up,1.0,0.00164122
'Alzheimers disease' vs 'normal' in 'hippocampus',RP11-803D5.4,up,1.0,0.00164122
