assayName,sym,dir,log2fc,adjp
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',UQCR10,down,-1.1,0.00684512
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UQCR10,down,-1.7,0.00022744
'Pick disease' vs 'normal',GUCY1A1,up,1.2,0.0048334
'Pick disease' vs 'normal',GUCY1A3,up,1.2,0.0048334
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GUCY1A1,down,-1.4,0.00136253
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GUCY1A3,down,-1.4,0.00136253
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GUCY1B1,down,-1.8,0.000615184
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GUCY1B3,down,-1.8,0.000615184
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GUCY1B1,down,-2.5,3.46147e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',GUCY1B3,down,-2.5,3.46147e-05
'Pick disease' vs 'normal',GUCY1B1,down,-1.4,0.00359044
'Pick disease' vs 'normal',GUCY1B3,down,-1.4,0.00359044
'Alzheimers disease' vs 'normal' in 'hippocampus',GUCY1B1,down,-1.4,0.00855355
'Alzheimers disease' vs 'normal' in 'hippocampus',GUCY1B3,down,-1.4,0.00855355
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GRHL1,down,-1.0,0.00502999
'Pick disease' vs 'normal',GRHL1,down,-1.0,0.000135986
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',TFPT,down,-1.1,0.000160625
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',TFPT,down,-1.5,3.85832e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',UBN1,up,1.3,5.25443e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',UBN1,up,1.7,1.71271e-05
'Pick disease' vs 'normal',UBN1,up,1.1,1.17637e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GUK1,down,-1.6,0.00804286
'Pick disease' vs 'normal',GUK1,down,-1.1,1.11489e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ALG5,down,-1.2,0.00292917
'Alzheimers disease' vs 'normal' in 'hippocampus',ALG5,down,-1.1,0.00636534
'Pick disease' vs 'normal',ANAPC2,down,-1.0,0.000326554
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ANAPC2,down,-1.2,0.00072401
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SNX10,down,-2.3,0.000489039
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SNX10,down,-1.5,0.00486228
'Alzheimers disease' vs 'normal' in 'hippocampus',SNX10,down,-1.0,0.000725067
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GNL2,down,-1.3,0.000241638
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GNL2,down,-1.1,0.00488454
'Alzheimers disease' vs 'normal' in 'hippocampus',RBM15B,down,-1.0,0.000139412
'Alzheimers disease' vs 'normal' in 'hippocampus',TRA2A,down,-1.1,0.000249225
'Pick disease' vs 'normal',TRA2A,up,1.2,0.000253842
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SAC3D1,down,-1.7,6.95458e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FAM216A,down,-1.3,0.00559088
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CCDC106,down,-1.1,1.52082e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',EEF2K,up,1.1,0.00213441
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',EEF2K,up,1.5,1.44204e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NME7,down,-2.6,0.000102795
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NME7,down,-3.1,5.01551e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',GMPPA,down,-1.1,0.000136747
'Pick disease' vs 'normal',ALG6,down,-1.0,0.000224089
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NENF,up,1.1,1.16207e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PNMA3,down,-1.1,0.00660806
'Pick disease' vs 'normal',PNMA3,down,-1.7,0.00145367
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DPP7,down,-1.8,2.34347e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CERS2,up,1.2,1.17775e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PSAT1,up,1.5,0.00235299
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',PSAT1,up,2.7,8.85474e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',PSAT1,up,1.8,0.000320368
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UBQLN1,down,-1.5,0.00399343
'Pick disease' vs 'normal',DONSON,down,-1.1,0.000476584
'Alzheimers disease' vs 'normal' in 'hippocampus',NRBF2,down,-1.4,0.00124587
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SLC39A3,down,-1.8,2.0265e-05
'Pick disease' vs 'normal',BAZ2B,down,-1.5,0.000271332
'progressive supranuclear palsy' vs 'normal',BAZ2B,down,-2.1,0.00981457
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',TNPO2,up,1.2,0.00507747
'Alzheimers disease' vs 'normal' in 'hippocampus',TNPO2,up,1.2,1.70192e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ERO1A,down,-1.1,0.000799166
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',EFEMP2,up,1.5,0.00070299
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',EFEMP2,up,1.9,1.79535e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',NXPH1,down,-1.6,0.00614222
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',SH3KBP1,down,-1.0,0.00262327
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SH3KBP1,down,-1.0,0.000488386
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SLC40A1,up,1.9,8.82265e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',ANXA1,up,1.2,0.00121318
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',H2AFX,down,-1.7,2.94251e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',H2AX,down,-1.7,2.94251e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',H2AFZ,down,-1.3,0.00382291
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',H2AZ1,down,-1.3,0.00382291
'Alzheimers disease' vs 'normal' in 'hippocampus',H3-3B,down,-1.0,0.00625355
'Alzheimers disease' vs 'normal' in 'hippocampus',H3F3B,down,-1.0,0.00625355
'Pick disease' vs 'normal',HAGH,down,-1.0,2.35483e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HAGH,down,-1.2,0.000121944
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HAGH,down,-1.2,0.00512595
'Alzheimers disease' vs 'normal' in 'hippocampus',HAGH,down,-1.7,0.000514421
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HAGH,down,-1.5,0.000125518
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HADHA,down,-1.3,1.28396e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',HADHB,down,-1.0,0.00442613
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HARS,down,-1.1,0.000110159
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HARS1,down,-1.1,0.000110159
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HARS,down,-1.6,0.000605347
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HARS1,down,-1.6,0.000605347
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HAS1,down,-1.4,8.94489e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HBQ1,down,-1.3,5.29467e-06
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HCLS1,up,1.0,0.00191534
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ANXA3,up,1.1,0.00350931
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HDAC1,up,2.0,5.32212e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HDAC1,up,1.9,9.34813e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HDAC2,down,-1.1,0.00510692
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HDLBP,down,-1.8,8.76015e-07
'Alzheimers disease' vs 'normal' in 'hippocampus',ANXA4,down,-1.0,0.00630224
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HEXB,down,-1.7,0.000372827
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HEXB,down,-1.6,0.000187881
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ANXA5,up,1.5,0.000982188
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SOX8,up,1.2,3.3875e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',SOX8,up,1.1,0.00766305
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',KCNIP3,down,-1.2,0.00365728
'Pick disease' vs 'normal',KCNIP2,down,-1.2,0.00181029
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HGF,up,1.7,0.00158721
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HGF,up,1.7,0.00254916
'Pick disease' vs 'normal',KCNIP1,down,-1.1,0.00149472
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',CXXC1,up,1.0,0.000245643
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF354C,up,1.1,1.01322e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',NRG1,down,-1.4,0.0015426
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',EHD3,down,-1.1,0.000502806
'Alzheimers disease' vs 'normal' in 'hippocampus',EHD3,down,-1.4,0.000196143
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',EHD3,down,-1.2,0.0015729
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PIK3R4,down,-1.5,0.001989
'Pick disease' vs 'normal',ANXA6,down,-1.0,0.000216083
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ANXA6,down,-1.7,4.80847e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ANXA6,down,-1.4,0.000953161
'Alzheimers disease' vs 'normal' in 'hippocampus',ANXA6,down,-1.3,0.00127814
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ANXA6,down,-1.6,0.0023873
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HIF1A,up,1.3,2.55129e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HIP1,up,1.3,2.4763e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UBE2K,down,-1.3,0.00253126
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HINT1,down,-1.4,0.000132657
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HINT1,down,-1.4,1.72135e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',STOML2,down,-2.0,0.000504011
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HK1,down,-1.1,0.000140719
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HK2,up,1.1,0.000257907
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ACACA,down,-1.0,0.00140513
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZBTB48,down,-1.6,2.19563e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ANXA11,down,-2.2,1.1637e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ANXA11,down,-1.0,0.000169209
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HLA-DPA1,up,1.7,0.00140382
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HLA-DPA1,up,1.0,0.00109514
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HLA-DPA1,down,-1.6,0.00784921
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HLA-DPB1,up,1.4,0.000703656
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HLA-DPB2,down,-1.3,0.00736977
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HLA-DRA,up,1.2,0.000745108
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HLA-E,up,1.0,0.000298502
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HLA-E,up,1.6,3.10065e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HMGB1,up,1.3,0.00247853
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HMGB2,up,1.2,0.00418281
'Alzheimers disease' vs 'normal' in 'hippocampus',HMGB3,down,-1.0,0.000216412
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HMGCR,down,-1.0,0.0088415
'Pick disease' vs 'normal',HMGCS1,down,-1.5,0.00129877
'Alzheimers disease' vs 'normal' in 'hippocampus',HMGCS1,down,-1.5,0.00218241
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HMOX2,down,-1.5,0.00383844
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HMOX2,down,-1.2,0.00677583
'Alzheimers disease' vs 'normal' in 'hippocampus',HMOX2,down,-1.4,0.00747655
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HMOX2,down,-1.6,0.00394653
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HMOX2,down,-1.8,2.9552e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',FOXA3,down,-1.0,0.000556068
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',EIF4E3,down,-1.4,0.000908612
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',EIF4E3,down,-1.4,0.000518047
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FAM149B1,down,-1.8,2.89502e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DDX51,down,-1.3,9.37108e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',NUDT2,down,-1.0,0.00250728
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HNRNPAB,down,-1.0,0.000530764
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HNRNPC,down,-1.1,0.00352579
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HNRNPH1,up,1.4,0.000297394
'Alzheimers disease' vs 'normal' in 'hippocampus',HNRNPH2,down,-1.8,0.00287382
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HNRNPH3,down,-1.0,0.00146291
'Alzheimers disease' vs 'normal' in 'hippocampus',HNRNPL,down,-1.0,1.06814e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',HNRNPU,down,-1.3,0.000242544
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ACACB,up,3.2,4.76833e-07
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ACACB,up,2.4,5.1034e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ACACB,up,2.2,2.47679e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HPCA,down,-2.7,1.49029e-05
'Pick disease' vs 'normal',APBA2,down,-1.2,0.00658202
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HOXB9,down,-1.1,2.38463e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',APC,down,-1.3,0.000124209
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',APC,up,1.5,0.00103166
'Alzheimers disease' vs 'normal' in 'hippocampus',HPRT1,down,-1.3,0.0048559
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HPRT1,down,-2.1,0.000492582
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HPRT1,down,-2.7,8.05324e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',HPRT1,down,-1.0,0.000586366
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',AGFG2,up,1.0,0.00016625
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',PRMT2,down,-1.3,0.000566401
'Alzheimers disease' vs 'normal' in 'hippocampus',PRMT2,down,-1.5,0.000300131
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',PRMT1,down,-1.0,0.00128898
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',APEX1,down,-1.2,0.00186595
'Alzheimers disease' vs 'normal' in 'hippocampus',APEX1,down,-1.2,0.00276338
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HES1,up,1.0,0.00235884
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HSBP1,down,-1.3,0.00105104
'Alzheimers disease' vs 'normal' in 'hippocampus',HSBP1,down,-1.0,7.15023e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HSD17B4,down,-1.1,5.56778e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HSF1,down,-1.0,3.56392e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',DNAJA1,down,-1.0,0.0046127
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HSPA1A,up,2.1,1.18808e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HSPA1A,up,1.6,0.00623625
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HSPA1A,up,1.3,0.00691899
'Alzheimers disease' vs 'normal' in 'hippocampus',HSPA1B,down,-1.2,0.00724044
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HSPA2,up,2.9,1.2857e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',HSPA2,up,1.5,0.0056838
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HSPA2,up,2.0,9.16273e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HSPA4,down,-1.9,6.14653e-05
'Pick disease' vs 'normal',XIAP,up,1.0,1.35999e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',HSPA9,down,-1.3,0.000130626
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HSPA9,down,-1.2,0.000431803
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HSPA9,down,-1.1,0.000278392
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',HSP90AB1,down,-2.4,0.000112369
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HSP90AB1,down,-2.0,3.7986e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',HSP90AB1,down,-2.3,0.000403189
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',DNAJC4,down,-2.1,2.05578e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',APLP2,down,-1.4,1.13122e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',APLP2,down,-1.8,1.48729e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',HTR2A,down,-1.1,0.00224548
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',HTR2A,down,-2.3,0.000281013
'Pick disease' vs 'normal',IARS,down,-1.2,0.000280204
'Pick disease' vs 'normal',IARS1,down,-1.2,0.000280204
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IARS,down,-2.0,8.56271e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IARS1,down,-2.0,8.56271e-06
'Alzheimers disease' vs 'normal' in 'hippocampus',IARS,down,-1.2,0.00635372
'Alzheimers disease' vs 'normal' in 'hippocampus',IARS1,down,-1.2,0.00635372
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IARS,down,-1.5,0.000598992
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IARS1,down,-1.5,0.000598992
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',UBAC2,down,-1.0,0.00278224
'Alzheimers disease' vs 'normal' in 'hippocampus',UBAC2,down,-1.2,0.00334727
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ICA1,down,-1.0,0.000245643
'progressive supranuclear palsy' vs 'normal',CCDC84,down,-1.9,0.00968076
'progressive supranuclear palsy' vs 'normal',CENATAC,down,-1.9,0.00968076
'Pick disease' vs 'normal',CCDC84,down,-2.5,1.00066e-06
'Pick disease' vs 'normal',CENATAC,down,-2.5,1.00066e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CCDC84,down,-1.2,9.37108e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CENATAC,down,-1.2,9.37108e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ANKRD13D,up,1.6,9.16784e-05
'Pick disease' vs 'normal',ANKRD13D,up,1.2,9.77633e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',ANKRD13D,up,1.9,3.4548e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ANKRD13D,up,2.3,6.21663e-08
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',ANKRD13D,up,1.6,0.00149371
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ATP2B1-AS1,down,-1.7,3.95529e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LINC00936,down,-1.7,3.95529e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LINC01089,up,1.0,6.20727e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',FAM19A2,down,-1.0,0.000619588
'Alzheimers disease' vs 'normal' in 'hippocampus',TAFA2,down,-1.0,0.000619588
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',OXLD1,down,-2.7,6.29155e-06
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',KLHL17,up,1.0,0.000174313
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF678,up,1.1,4.88795e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ID2,up,1.6,0.000375975
'Alzheimers disease' vs 'normal' in 'hippocampus',ID2,up,1.3,0.00769295
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ID3,up,1.1,8.8041e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ID3,up,1.6,0.000398527
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ID3,up,1.6,0.00112794
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LINC002481,up,1.0,3.77095e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',LINC02481,up,1.0,3.77095e-05
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',ID4,up,2.2,0.000144567
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ID4,up,2.6,1.46525e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ID4,up,2.3,0.00108247
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',ZDHHC21,down,-1.3,0.00266219
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',NHSL2,down,-1.1,0.00061925
'Alzheimers disease' vs 'normal' in 'hippocampus',BEX5,down,-1.0,0.000586366
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',BEX5,down,-1.9,0.000445682
'Pick disease' vs 'normal',BEX5,down,-1.5,0.0032416
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',BEX5,down,-1.8,0.000592208
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',BEX5,down,-2.4,0.00122609
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',NANOS1,up,1.4,2.604e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IDH2,down,-1.0,0.00140954
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',IDH2,down,-1.1,0.000727548
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IDH3A,down,-1.3,0.000238269
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IDH3A,down,-1.8,0.000260895
'Alzheimers disease' vs 'normal' in 'hippocampus',IDH3A,down,-2.2,0.000831176
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',IDH3B,down,-1.7,0.00139495
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IDH3B,down,-1.3,0.000479475
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IDH3B,down,-1.6,0.000269744
'Alzheimers disease' vs 'normal' in 'hippocampus',IDH3B,down,-1.1,0.00847126
'Pick disease' vs 'normal',GLDN,down,-2.3,0.00883208
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',GLDN,down,-1.3,0.000742005
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',IDH3G,down,-1.1,0.000161238
'Pick disease' vs 'normal',IDI1,down,-1.3,0.000110449
'Alzheimers disease' vs 'normal' in 'hippocampus',IDI1,down,-1.2,0.00180449
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IDI1,down,-1.2,3.69941e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',IDS,up,1.1,0.000665349
'Pick disease' vs 'normal',IDS,up,1.0,9.23541e-05
'Alzheimers disease' vs 'normal' in 'hippocampus',IDS,up,1.1,0.000872461
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IFI16,up,1.0,0.000135969
'Alzheimers disease' vs 'normal' in 'hippocampus',IFI16,up,1.1,0.000714973
'Pick disease' vs 'normal',ZNF404,down,-1.0,0.00150089
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',ZNF677,up,1.6,0.000173575
'Pick disease' vs 'normal',ZNF677,up,1.0,0.00291632
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IFIT1,down,-1.3,0.00639921
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IFIT1,down,-1.5,0.00172433
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',IFIT3,down,-1.1,0.00262327
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',CRACDL,down,-2.4,6.50127e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',KIAA1211L,down,-2.4,6.50127e-06
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',CRACDL,down,-1.8,4.77477e-05
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KIAA1211L,down,-1.8,4.77477e-05
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',IFNAR2,up,1.4,0.000351088
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',IFNAR2,up,1.0,0.000170003
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IFNAR2,up,1.5,4.76713e-06
'Pick disease' vs 'normal',IFNAR2,up,1.4,5.25462e-07
'Alzheimers disease' vs 'normal' in 'hippocampus',IFNAR2,up,1.1,6.75174e-05
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',FBLL1,down,-1.1,0.000197226
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',FAM174A,down,-1.1,0.00520112
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',MTX3,down,-1.4,0.000244329
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IFNGR1,up,1.0,0.00295294
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',IGFBPL1,down,-1.0,0.000251065
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',KRT8P11,down,-1.0,0.000512203
'Alzheimers disease' vs 'normal' in 'superior frontal gyrus',IFRD1,up,1.4,0.00515641
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',IFRD1,up,2.1,0.000484768
'Alzheimers disease' vs 'normal' in 'posterior cingulate cortex',SOX2-OT,down,-1.4,0.00562263
'Alzheimers disease' vs 'normal' in 'middle temporal gyrus',SOX2-OT,up,2.9,7.65734e-06
'Alzheimers disease' vs 'normal' in 'entorhinal cortex',LRRTM1,down,-2.1,0.000818045
