go,goLabel,ns,k,K,expected,fold,p,fdr,n,N
http://purl.obolibrary.org/obo/GO_0140359,ABC-type transporter activity,Molecular Function,3,29,0.6611580217129072,4.537493158182813,0.027583296131276285,0.0479552730125457,189,8290
http://purl.obolibrary.org/obo/GO_0005200,structural constituent of cytoskeleton,Molecular Function,5,75,1.709891435464415,2.9241622574955906,0.02790754869417594,0.04836096386091727,189,8290
http://purl.obolibrary.org/obo/GO_0008217,regulation of blood pressure,Biological Process,4,51,1.162726176115802,3.4401908911712837,0.028445013235759386,0.04901116353644258,189,8290
http://purl.obolibrary.org/obo/GO_0030154,cell differentiation,Biological Process,15,383,8.731845597104945,1.71784989017365,0.028467010399926235,0.04901116353644258,189,8290
http://purl.obolibrary.org/obo/GO_0042470,melanosome,Cellular Component,5,76,1.732689987937274,2.885686438318017,0.029340175482649323,0.05035152695732077,189,8290
http://purl.obolibrary.org/obo/GO_0071346,cellular response to type II interferon,Biological Process,3,30,0.6839565741857659,4.386243386243387,0.030147027645331406,0.05098459273830401,189,8290
http://purl.obolibrary.org/obo/GO_0140311,protein sequestering activity,Molecular Function,3,30,0.6839565741857659,4.386243386243387,0.030147027645331406,0.05098459273830401,189,8290
http://purl.obolibrary.org/obo/GO_0120163,negative regulation of cold-induced thermogenesis,Biological Process,3,30,0.6839565741857659,4.386243386243387,0.030147027645331406,0.05098459273830401,189,8290
http://purl.obolibrary.org/obo/GO_0021766,hippocampus development,Biological Process,3,30,0.6839565741857659,4.386243386243387,0.030147027645331406,0.05098459273830401,189,8290
http://purl.obolibrary.org/obo/GO_0032588,trans-Golgi network membrane,Cellular Component,4,52,1.185524728588661,3.3740333740333743,0.030284081400947495,0.05098459273830401,189,8290
http://purl.obolibrary.org/obo/GO_0030182,neuron differentiation,Biological Process,4,52,1.185524728588661,3.3740333740333743,0.030284081400947495,0.05098459273830401,189,8290
http://purl.obolibrary.org/obo/GO_0007229,integrin-mediated signaling pathway,Biological Process,5,77,1.7554885404101326,2.848209991067134,0.03081851780549501,0.05172066710575188,189,8290
http://purl.obolibrary.org/obo/GO_0005739,mitochondrion,Cellular Component,25,744,16.962123039806997,1.4738721055925357,0.031108663587910715,0.05204342461876887,189,8290
http://purl.obolibrary.org/obo/GO_0032956,regulation of actin cytoskeleton organization,Biological Process,4,53,1.2083232810615199,3.3103723669761407,0.03219191723533737,0.053686833759246017,189,8290
http://purl.obolibrary.org/obo/GO_0140297,DNA-binding transcription factor binding,Molecular Function,6,105,2.393848009650181,2.506424792139078,0.03255229990394338,0.054118198590305866,189,8290
http://purl.obolibrary.org/obo/GO_0030315,T-tubule,Cellular Component,3,31,0.7067551266586248,4.244751664106503,0.03283202871474698,0.054244221354799366,189,8290
http://purl.obolibrary.org/obo/GO_0030097,hemopoiesis,Biological Process,3,31,0.7067551266586248,4.244751664106503,0.03283202871474698,0.054244221354799366,189,8290
http://purl.obolibrary.org/obo/GO_0060090,molecular adaptor activity,Molecular Function,6,106,2.4166465621230397,2.4827792752321054,0.033877150163625615,0.05579765909303042,189,8290
http://purl.obolibrary.org/obo/GO_0010507,negative regulation of autophagy,Biological Process,3,32,0.7295536791314837,4.112103174603175,0.03563756341935408,0.058335949966450376,189,8290
http://purl.obolibrary.org/obo/GO_0030971,receptor tyrosine kinase binding,Molecular Function,3,32,0.7295536791314837,4.112103174603175,0.03563756341935408,0.058335949966450376,189,8290
http://purl.obolibrary.org/obo/GO_0030307,positive regulation of cell growth,Biological Process,4,55,1.2539203860072377,3.18999518999519,0.036214958489268555,0.05909925741193519,189,8290
http://purl.obolibrary.org/obo/GO_0005576,extracellular region,Cellular Component,40,1332,30.36767189384801,1.317190206079095,0.03703418927938023,0.06025134157990913,189,8290
http://purl.obolibrary.org/obo/GO_0071466,cellular response to xenobiotic stimulus,Biological Process,3,33,0.7523522316043426,3.987493987493987,0.038562730273066996,0.06216779547052013,189,8290
http://purl.obolibrary.org/obo/GO_0050766,positive regulation of phagocytosis,Biological Process,3,33,0.7523522316043426,3.987493987493987,0.038562730273066996,0.06216779547052013,189,8290
http://purl.obolibrary.org/obo/GO_0043536,positive regulation of blood vessel endothelial cell migration,Biological Process,3,33,0.7523522316043426,3.987493987493987,0.038562730273066996,0.06216779547052013,189,8290
http://purl.obolibrary.org/obo/GO_0019904,protein domain specific binding,Molecular Function,7,139,3.1689987937273822,2.2088995470290436,0.039457221654857634,0.06341764930629687,189,8290
http://purl.obolibrary.org/obo/GO_0035091,phosphatidylinositol binding,Molecular Function,4,57,1.2995174909529554,3.078065534205885,0.04051565333929434,0.0649226734232066,189,8290
http://purl.obolibrary.org/obo/GO_0043565,sequence-specific DNA binding,Molecular Function,8,173,3.9441495778045836,2.028320641037404,0.044078139616075596,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0016477,cell migration,Biological Process,6,113,2.576236429433052,2.32897878915578,0.044129961252382874,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0007399,nervous system development,Biological Process,11,270,6.155609167671894,1.7869880462473053,0.04454234842957276,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0030183,B cell differentiation,Biological Process,3,35,0.7979493365500603,3.759637188208617,0.04476759132697723,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0046332,SMAD binding,Molecular Function,3,35,0.7979493365500603,3.759637188208617,0.04476759132697723,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0007173,epidermal growth factor receptor signaling pathway,Biological Process,3,35,0.7979493365500603,3.759637188208617,0.04476759132697723,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0140693,molecular condensate scaffold activity,Molecular Function,3,35,0.7979493365500603,3.759637188208617,0.04476759132697723,0.07025474509130351,189,8290
http://purl.obolibrary.org/obo/GO_0043197,dendritic spine,Cellular Component,5,86,1.9606755126658624,2.550141503629876,0.04623045096041647,0.07233705856159282,189,8290
http://purl.obolibrary.org/obo/GO_1902533,positive regulation of intracellular signal transduction,Biological Process,3,36,0.8207478890229192,3.6552028218694885,0.048044750108385645,0.0749554459168949,189,8290
http://purl.obolibrary.org/obo/GO_0043005,neuron projection,Cellular Component,7,147,3.3513872135102534,2.0886873267825647,0.0507285010561775,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0005815,microtubule organizing center,Cellular Component,3,37,0.8435464414957781,3.556413556413556,0.05143648963482738,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0001764,neuron migration,Biological Process,3,37,0.8435464414957781,3.556413556413556,0.05143648963482738,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0045669,positive regulation of osteoblast differentiation,Biological Process,3,37,0.8435464414957781,3.556413556413556,0.05143648963482738,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0032720,negative regulation of tumor necrosis factor production,Biological Process,3,37,0.8435464414957781,3.556413556413556,0.05143648963482738,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0030198,extracellular matrix organization,Biological Process,3,37,0.8435464414957781,3.556413556413556,0.05143648963482738,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0097190,apoptotic signaling pathway,Biological Process,3,37,0.8435464414957781,3.556413556413556,0.05143648963482738,0.07863279449921887,189,8290
http://purl.obolibrary.org/obo/GO_0035556,intracellular signal transduction,Biological Process,9,211,4.810494571773221,1.8709095012412547,0.051961238893981083,0.07920738994727203,189,8290
http://purl.obolibrary.org/obo/GO_0005507,copper ion binding,Molecular Function,3,38,0.866344993968637,3.4628237259816204,0.05494123430641975,0.08325292732222506,189,8290
http://purl.obolibrary.org/obo/GO_0002931,response to ischemia,Biological Process,3,38,0.866344993968637,3.4628237259816204,0.05494123430641975,0.08325292732222506,189,8290
http://purl.obolibrary.org/obo/GO_0019722,calcium-mediated signaling,Biological Process,4,63,1.4363088057901086,2.7849164357100866,0.05508464364177297,0.08325292732222506,189,8290
http://purl.obolibrary.org/obo/GO_0016055,Wnt signaling pathway,Biological Process,6,120,2.7358262967430638,2.1931216931216935,0.05614135348860612,0.08437062162694478,189,8290
http://purl.obolibrary.org/obo/GO_0015629,actin cytoskeleton,Cellular Component,6,120,2.7358262967430638,2.1931216931216935,0.05614135348860612,0.08437062162694478,189,8290
http://purl.obolibrary.org/obo/GO_0000122,negative regulation of transcription by RNA polymerase II,Biological Process,14,385,8.777442702050664,1.594997594997595,0.05652013556234941,0.0847005975187884,189,8290
http://purl.obolibrary.org/obo/GO_0005783,endoplasmic reticulum,Cellular Component,21,640,14.591073582629674,1.4392361111111112,0.05713711251726811,0.0853846737617602,189,8290
http://purl.obolibrary.org/obo/GO_0150104,transport across blood-brain barrier,Biological Process,4,64,1.4591073582629674,2.7414021164021163,0.057754418079875004,0.0860654073347157,189,8290
http://purl.obolibrary.org/obo/GO_0050839,cell adhesion molecule binding,Molecular Function,3,39,0.8891435464414957,3.3740333740333743,0.05855730138712885,0.08677572238983997,189,8290
http://purl.obolibrary.org/obo/GO_0043484,regulation of RNA splicing,Biological Process,3,39,0.8891435464414957,3.3740333740333743,0.05855730138712885,0.08677572238983997,189,8290
http://purl.obolibrary.org/obo/GO_0031012,extracellular matrix,Cellular Component,12,318,7.249939686369119,1.6551861834880703,0.059495410777319936,0.0879209959264839,189,8290
http://purl.obolibrary.org/obo/GO_0050729,positive regulation of inflammatory response,Biological Process,4,65,1.4819059107358263,2.699226699226699,0.060492497660480656,0.08914683865755045,189,8290
http://purl.obolibrary.org/obo/GO_0101003,ficolin-1-rich granule membrane,Cellular Component,3,40,0.9119420989143546,3.2896825396825395,0.062282909287992155,0.091362885985709,189,8290
http://purl.obolibrary.org/obo/GO_0031625,ubiquitin protein ligase binding,Molecular Function,8,186,4.240530759951749,1.8865562951584456,0.062339713557917995,0.091362885985709,189,8290
http://purl.obolibrary.org/obo/GO_0003690,double-stranded DNA binding,Molecular Function,4,66,1.5047044632086852,2.6583293249959916,0.06329849901124944,0.0922597300657115,189,8290
http://purl.obolibrary.org/obo/GO_0042383,sarcolemma,Cellular Component,4,66,1.5047044632086852,2.6583293249959916,0.06329849901124944,0.0922597300657115,189,8290
http://purl.obolibrary.org/obo/GO_0000776,kinetochore,Cellular Component,5,95,2.1658624849215924,2.3085491506544136,0.06552065985894792,0.0952376804507112,189,8290
http://purl.obolibrary.org/obo/GO_0071333,cellular response to glucose stimulus,Biological Process,3,41,0.9347406513872135,3.2094463801780875,0.06611618547460288,0.09558100726219765,189,8290
http://purl.obolibrary.org/obo/GO_0008286,insulin receptor signaling pathway,Biological Process,3,41,0.9347406513872135,3.2094463801780875,0.06611618547460288,0.09558100726219765,189,8290
http://purl.obolibrary.org/obo/GO_0045766,positive regulation of angiogenesis,Biological Process,5,96,2.1886610373944513,2.2845017636684304,0.06790458898316465,0.09790038303263845,189,8290
http://purl.obolibrary.org/obo/GO_0010976,positive regulation of neuron projection development,Biological Process,4,68,1.5503015681544028,2.580143168378463,0.06911250277505898,0.09937257155765238,189,8290
http://purl.obolibrary.org/obo/GO_0050728,negative regulation of inflammatory response,Biological Process,4,69,1.5731001206272617,2.5427497891266007,0.07211951214317903,0.10341665892229447,189,8290
