disease,study,title,tech,pmid
http://purl.obolibrary.org/obo/MONDO_0004979,http://purl.org/okn/wobd/study/E-MTAB-7406,Transcriptional Profiling of Human Airway Smooth muscle cells from subjects with and without asthma-effects of mimicking viral challenge,,22108207.0
http://purl.obolibrary.org/obo/MONDO_0004985,http://purl.org/okn/wobd/study/E-GEOD-53239,"RNA-sequencing of the brain transcriptome implicates dysregulation of neuroplasticity, circadian rhythms, and GTPase binding in bipolar disorder",,24393808.0
http://purl.obolibrary.org/obo/MONDO_0004985,http://purl.org/okn/wobd/study/E-GEOD-5388,Transcription profiling of human brain tissue from subjects with bipolar disorder and healthy controls,,16894394.0
http://purl.obolibrary.org/obo/MONDO_0004985,http://purl.org/okn/wobd/study/E-GEOD-5389,Transcription profiling of human post-mortem brain tissue (orbitofrontal cortex) from patients with bipolar disorder and matched healthy controls,,16894394.0
http://purl.obolibrary.org/obo/MONDO_0004985,http://purl.org/okn/wobd/study/E-GEOD-78936,Systematically characterizing dysfunctional long intergenic non-coding RNAs in multiple brain regions of major psychosis,,27661005.0
http://purl.obolibrary.org/obo/MONDO_0004985,http://purl.org/okn/wobd/study/E-MEXP-1275,Transcriptional profiling of monocytes of bipolar patients and controls,,18391128.0
http://purl.obolibrary.org/obo/MONDO_0004986,http://purl.org/okn/wobd/study/E-GEOD-56037,Effect of increased FOXA1 on gene expression in bladder cancer cells,,
http://purl.obolibrary.org/obo/MONDO_0004986,http://purl.org/okn/wobd/study/E-MTAB-2770,RNA-seq of 1019 human cancer cell lines from the Cancer Cell Line Encyclopedia,,31068700.0
http://purl.obolibrary.org/obo/MONDO_0004986,http://purl.org/okn/wobd/study/E-MTAB-3983,CGP CORE CELL LINES   RNA seq,,
http://purl.obolibrary.org/obo/MONDO_0004992,http://purl.org/okn/wobd/study/E-MTAB-104,Transcription profiling of rat bladder after inoculation with bladder cancer cells,,19647301.0
http://purl.obolibrary.org/obo/MONDO_0004992,http://purl.org/okn/wobd/study/E-MTAB-4842,"Endothelial inhibition of the glycolytic activator PFKFB3 induces tumor vessel normalization, impairs metastasis and improves chemotherapy",,
http://purl.obolibrary.org/obo/MONDO_0004992,http://purl.org/okn/wobd/study/E-MTAB-7509,mRNA-seq of mouse salivary gland cancer cells cultured in adherent or non-adherent culture,,
http://purl.obolibrary.org/obo/MONDO_0004992,http://purl.org/okn/wobd/study/E-MTAB-8482,RNA Sequencing of CD169+ lymph node macrophages isolated from naïve or tumor-bearing mice,,
http://purl.obolibrary.org/obo/MONDO_0004992,http://purl.org/okn/wobd/study/E-PROT-7,Cell type-resolved quantitative proteomics of mouse liver,,25470552.0
http://purl.obolibrary.org/obo/MONDO_0005041,http://purl.org/okn/wobd/study/E-GEOD-3554,"Transcription profiling of mouse model of glaucoma retinal RNA from DBA/2J mice at 3 months before disease onset, and at 8 months, after IOP elevation",,16505032.0
http://purl.obolibrary.org/obo/MONDO_0005090,http://purl.org/okn/wobd/study/E-GEOD-21138,Gene Expression Profiles in BA46 of Subjects with Schizophrenia and Matched Controls,,18778695.0
http://purl.obolibrary.org/obo/MONDO_0005090,http://purl.org/okn/wobd/study/E-GEOD-78936,Systematically characterizing dysfunctional long intergenic non-coding RNAs in multiple brain regions of major psychosis,,27661005.0
http://purl.obolibrary.org/obo/MONDO_0005090,http://purl.org/okn/wobd/study/E-MEXP-3493,Disrupted circadian rhythms in a mouse model of schizophrenia,,
