traitLabel,entrez,sym,weight,scoreType,method
amyloid-beta measurement,255488,RNF144B,1.17,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,27087,B3GAT1,1.85,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,338596,ST8SIA6,1.49,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,25925,ZNF521,1.4,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,27159,CHIA,2.1,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,326624,RAB37,1.28,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,27303,RBMS3,2.17,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,25940,FAM98A,1.18,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,27319,BHLHE22,1.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3778,KCNMA1,1.29,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2752,GLUL,1.18,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2762,GMDS,2.54,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4133,MAP2,1.33,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2768,GNA12,1.84,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2770,GNAI1,1.97,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3786,KCNQ3,1.02,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4311,MME,1.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23167,EFR3A,2.76,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2583,B4GALNT1,1.49,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,25825,BACE2,1.17,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23254,KAZN,1.26,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,25817,FAM19A5,1.41,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,283461,C12orf40,1.53,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,25814,ATXN10,2.56,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4222,MEOX1,1.28,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,302,ANXA2,1.16,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,284353,NKPD1,1.95,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,25797,QPCT,2.06,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2849,GPR26,1.57,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,390181,OR5AK2,3.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4295,MLN,1.03,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,359948,IRF2BP2,1.22,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,353345,GPR141,3.46,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23671,TMEFF2,2.18,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,401097,C3orf80,1.48,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,344,APOC2,1.27,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,26289,AK5,1.41,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,355,FAS,1.09,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,346,APOC4,1.35,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3655,ITGA6,1.87,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,253017,TECRL,2.17,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,238,ALK,1.85,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,260425,MAGI3,2.83,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,343,AQP8,3.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3660,IRF2,1.75,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,253558,LCLAT1,2.31,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,23604,DAPK2,2.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,347730,LRRTM1,2.61,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,348,APOE,2.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,342357,ZKSCAN2,1.46,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3456,IFNB1,1.1,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,346,APOC4,1.11,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3490,IGFBP7,1.5,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3720,JARID2,1.99,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,344,APOC2,1.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,2321,FLT1,1.26,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,340069,FAM170A,1.71,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,26053,AUTS2,1.84,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,342510,CD300E,1.03,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,341,APOC1,1.52,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,26122,EPC2,1.34,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3467,IFNW1,1.24,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,3998,LMAN1,1.36,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,348,APOE,1.94,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,4009,LMX1A,1.48,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,341,APOC1,1.8,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55093,WDYHV1,1.67,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,64388,GREM2,1.56,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,54069,MIS18A,1.42,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55355,HJURP,1.02,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55733,HHAT,3.04,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,48,ACO1,1.01,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,624,BDKRB2,2.42,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,5046,PCSK6,2.42,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,55784,MCTP2,1.3,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57639,CCDC146,1.05,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,494143,CHAC2,1.3,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57705,WDFY4,1.01,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,57167,SALL4,1.68,PIGEANCombinedScore,PIGEAN
amyloid-beta measurement,56776,FMN2,1.26,PIGEANCombinedScore,PIGEAN
