go,K
http://purl.obolibrary.org/obo/GO_0001661,1
http://purl.obolibrary.org/obo/GO_0001662,5
http://purl.obolibrary.org/obo/GO_0001664,27
http://purl.obolibrary.org/obo/GO_0001665,4
http://purl.obolibrary.org/obo/GO_0001666,97
http://purl.obolibrary.org/obo/GO_0001669,42
http://purl.obolibrary.org/obo/GO_0001671,15
http://purl.obolibrary.org/obo/GO_0001673,17
http://purl.obolibrary.org/obo/GO_0001675,4
http://purl.obolibrary.org/obo/GO_0001676,17
http://purl.obolibrary.org/obo/GO_0001678,19
http://purl.obolibrary.org/obo/GO_0001680,3
http://purl.obolibrary.org/obo/GO_0001681,1
http://purl.obolibrary.org/obo/GO_0001682,4
http://purl.obolibrary.org/obo/GO_0001691,1
http://purl.obolibrary.org/obo/GO_0001692,1
http://purl.obolibrary.org/obo/GO_0001695,1
http://purl.obolibrary.org/obo/GO_0001696,5
http://purl.obolibrary.org/obo/GO_0001698,1
http://purl.obolibrary.org/obo/GO_0001701,22
http://purl.obolibrary.org/obo/GO_0001702,1
http://purl.obolibrary.org/obo/GO_0001704,4
http://purl.obolibrary.org/obo/GO_0001707,5
http://purl.obolibrary.org/obo/GO_0001708,2
http://purl.obolibrary.org/obo/GO_0001709,6
http://purl.obolibrary.org/obo/GO_0001711,4
http://purl.obolibrary.org/obo/GO_0001716,1
http://purl.obolibrary.org/obo/GO_0001725,45
http://purl.obolibrary.org/obo/GO_0001726,62
http://purl.obolibrary.org/obo/GO_0001727,3
http://purl.obolibrary.org/obo/GO_0001729,1
http://purl.obolibrary.org/obo/GO_0001731,4
http://purl.obolibrary.org/obo/GO_0001732,14
http://purl.obolibrary.org/obo/GO_0001733,1
http://purl.obolibrary.org/obo/GO_0001734,1
http://purl.obolibrary.org/obo/GO_0001735,1
http://purl.obolibrary.org/obo/GO_0001736,2
http://purl.obolibrary.org/obo/GO_0001738,3
http://purl.obolibrary.org/obo/GO_0001739,6
http://purl.obolibrary.org/obo/GO_0001740,4
http://purl.obolibrary.org/obo/GO_0001741,8
http://purl.obolibrary.org/obo/GO_0001750,25
http://purl.obolibrary.org/obo/GO_0001754,2
http://purl.obolibrary.org/obo/GO_0001755,7
http://purl.obolibrary.org/obo/GO_0001756,6
http://purl.obolibrary.org/obo/GO_0001758,7
http://purl.obolibrary.org/obo/GO_0001759,1
http://purl.obolibrary.org/obo/GO_0001760,1
http://purl.obolibrary.org/obo/GO_0001761,1
http://purl.obolibrary.org/obo/GO_0001762,2
http://purl.obolibrary.org/obo/GO_0001763,2
http://purl.obolibrary.org/obo/GO_0001764,37
http://purl.obolibrary.org/obo/GO_0001765,3
http://purl.obolibrary.org/obo/GO_0001766,1
http://purl.obolibrary.org/obo/GO_0001768,4
http://purl.obolibrary.org/obo/GO_0001770,1
http://purl.obolibrary.org/obo/GO_0001771,5
http://purl.obolibrary.org/obo/GO_0001772,36
http://purl.obolibrary.org/obo/GO_0001773,1
http://purl.obolibrary.org/obo/GO_0001774,20
http://purl.obolibrary.org/obo/GO_0001775,6
http://purl.obolibrary.org/obo/GO_0001776,2
http://purl.obolibrary.org/obo/GO_0001778,9
http://purl.obolibrary.org/obo/GO_0001779,4
http://purl.obolibrary.org/obo/GO_0001780,5
http://purl.obolibrary.org/obo/GO_0001781,2
http://purl.obolibrary.org/obo/GO_0001782,5
http://purl.obolibrary.org/obo/GO_0001783,2
http://purl.obolibrary.org/obo/GO_0001784,26
http://purl.obolibrary.org/obo/GO_0001785,2
http://purl.obolibrary.org/obo/GO_0001786,23
http://purl.obolibrary.org/obo/GO_0001787,1
http://purl.obolibrary.org/obo/GO_0001788,3
http://purl.obolibrary.org/obo/GO_0001790,2
http://purl.obolibrary.org/obo/GO_0001791,3
http://purl.obolibrary.org/obo/GO_0001792,1
http://purl.obolibrary.org/obo/GO_0001805,1
http://purl.obolibrary.org/obo/GO_0001807,1
http://purl.obolibrary.org/obo/GO_0001809,1
http://purl.obolibrary.org/obo/GO_0001811,1
http://purl.obolibrary.org/obo/GO_0001812,1
http://purl.obolibrary.org/obo/GO_0001814,1
http://purl.obolibrary.org/obo/GO_0001815,1
http://purl.obolibrary.org/obo/GO_0001817,11
http://purl.obolibrary.org/obo/GO_0001818,23
http://purl.obolibrary.org/obo/GO_0001819,43
http://purl.obolibrary.org/obo/GO_0001821,2
http://purl.obolibrary.org/obo/GO_0001822,50
http://purl.obolibrary.org/obo/GO_0001823,5
http://purl.obolibrary.org/obo/GO_0001824,1
http://purl.obolibrary.org/obo/GO_0001825,3
http://purl.obolibrary.org/obo/GO_0001826,2
http://purl.obolibrary.org/obo/GO_0001829,2
http://purl.obolibrary.org/obo/GO_0001832,1
http://purl.obolibrary.org/obo/GO_0001836,10
http://purl.obolibrary.org/obo/GO_0001837,35
http://purl.obolibrary.org/obo/GO_0001841,1
http://purl.obolibrary.org/obo/GO_0001843,16
http://purl.obolibrary.org/obo/GO_0001845,1
http://purl.obolibrary.org/obo/GO_0001847,1
http://purl.obolibrary.org/obo/GO_0001848,6
http://purl.obolibrary.org/obo/GO_0001849,7
http://purl.obolibrary.org/obo/GO_0001850,1
http://purl.obolibrary.org/obo/GO_0001851,5
http://purl.obolibrary.org/obo/GO_0001855,2
http://purl.obolibrary.org/obo/GO_0001861,1
http://purl.obolibrary.org/obo/GO_0001865,1
http://purl.obolibrary.org/obo/GO_0001866,1
http://purl.obolibrary.org/obo/GO_0001867,10
http://purl.obolibrary.org/obo/GO_0001869,2
http://purl.obolibrary.org/obo/GO_0001872,2
http://purl.obolibrary.org/obo/GO_0001875,7
http://purl.obolibrary.org/obo/GO_0001878,3
http://purl.obolibrary.org/obo/GO_0001879,1
http://purl.obolibrary.org/obo/GO_0001880,1
http://purl.obolibrary.org/obo/GO_0001881,1
http://purl.obolibrary.org/obo/GO_0001882,3
http://purl.obolibrary.org/obo/GO_0001883,1
http://purl.obolibrary.org/obo/GO_0001885,1
http://purl.obolibrary.org/obo/GO_0001886,4
http://purl.obolibrary.org/obo/GO_0001888,1
http://purl.obolibrary.org/obo/GO_0001889,28
http://purl.obolibrary.org/obo/GO_0001890,9
http://purl.obolibrary.org/obo/GO_0001891,23
http://purl.obolibrary.org/obo/GO_0001892,7
http://purl.obolibrary.org/obo/GO_0001893,2
http://purl.obolibrary.org/obo/GO_0001894,8
http://purl.obolibrary.org/obo/GO_0001895,3
http://purl.obolibrary.org/obo/GO_0001905,2
http://purl.obolibrary.org/obo/GO_0001906,1
http://purl.obolibrary.org/obo/GO_0001909,1
http://purl.obolibrary.org/obo/GO_0001910,1
http://purl.obolibrary.org/obo/GO_0001912,2
http://purl.obolibrary.org/obo/GO_0001913,7
http://purl.obolibrary.org/obo/GO_0001914,2
http://purl.obolibrary.org/obo/GO_0001915,3
http://purl.obolibrary.org/obo/GO_0001916,10
http://purl.obolibrary.org/obo/GO_0001917,18
http://purl.obolibrary.org/obo/GO_0001919,1
http://purl.obolibrary.org/obo/GO_0001920,3
http://purl.obolibrary.org/obo/GO_0001921,11
http://purl.obolibrary.org/obo/GO_0001922,1
http://purl.obolibrary.org/obo/GO_0001923,1
http://purl.obolibrary.org/obo/GO_0001931,11
http://purl.obolibrary.org/obo/GO_0001932,9
http://purl.obolibrary.org/obo/GO_0001933,12
http://purl.obolibrary.org/obo/GO_0001934,31
http://purl.obolibrary.org/obo/GO_0001935,13
http://purl.obolibrary.org/obo/GO_0001936,4
http://purl.obolibrary.org/obo/GO_0001937,14
http://purl.obolibrary.org/obo/GO_0001938,46
http://purl.obolibrary.org/obo/GO_0001939,6
http://purl.obolibrary.org/obo/GO_0001940,4
http://purl.obolibrary.org/obo/GO_0001942,8
http://purl.obolibrary.org/obo/GO_0001944,11
http://purl.obolibrary.org/obo/GO_0001945,3
http://purl.obolibrary.org/obo/GO_0001946,6
http://purl.obolibrary.org/obo/GO_0001947,15
http://purl.obolibrary.org/obo/GO_0001951,4
http://purl.obolibrary.org/obo/GO_0001952,6
http://purl.obolibrary.org/obo/GO_0001953,7
http://purl.obolibrary.org/obo/GO_0001954,18
http://purl.obolibrary.org/obo/GO_0001955,3
http://purl.obolibrary.org/obo/GO_0001956,3
http://purl.obolibrary.org/obo/GO_0001957,1
http://purl.obolibrary.org/obo/GO_0001958,6
http://purl.obolibrary.org/obo/GO_0001959,2
http://purl.obolibrary.org/obo/GO_0001960,5
http://purl.obolibrary.org/obo/GO_0001961,4
http://purl.obolibrary.org/obo/GO_0001963,7
http://purl.obolibrary.org/obo/GO_0001964,4
http://purl.obolibrary.org/obo/GO_0001965,18
http://purl.obolibrary.org/obo/GO_0001966,3
http://purl.obolibrary.org/obo/GO_0001967,1
http://purl.obolibrary.org/obo/GO_0001968,25
http://purl.obolibrary.org/obo/GO_0001970,3
http://purl.obolibrary.org/obo/GO_0001971,2
http://purl.obolibrary.org/obo/GO_0001972,21
http://purl.obolibrary.org/obo/GO_0001973,7
http://purl.obolibrary.org/obo/GO_0001974,16
http://purl.obolibrary.org/obo/GO_0001975,17
http://purl.obolibrary.org/obo/GO_0001976,1
http://purl.obolibrary.org/obo/GO_0001980,1
http://purl.obolibrary.org/obo/GO_0001991,1
http://purl.obolibrary.org/obo/GO_0001994,1
http://purl.obolibrary.org/obo/GO_0001996,1
