go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0006468,protein phosphorylation,Biological Process,5
http://purl.obolibrary.org/obo/GO_0051117,ATPase binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0003676,nucleic acid binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0003700,DNA-binding transcription factor activity,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0030667,secretory granule membrane,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0006979,response to oxidative stress,Biological Process,5
http://purl.obolibrary.org/obo/GO_0030669,clathrin-coated endocytic vesicle membrane,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0051301,cell division,Biological Process,5
http://purl.obolibrary.org/obo/GO_0005200,structural constituent of cytoskeleton,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0055038,recycling endosome membrane,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0060079,excitatory postsynaptic potential,Biological Process,5
http://purl.obolibrary.org/obo/GO_0007283,spermatogenesis,Biological Process,5
http://purl.obolibrary.org/obo/GO_0007229,integrin-mediated signaling pathway,Biological Process,5
http://purl.obolibrary.org/obo/GO_0007220,Notch receptor processing,Biological Process,5
http://purl.obolibrary.org/obo/GO_0006886,intracellular protein transport,Biological Process,5
http://purl.obolibrary.org/obo/GO_0031623,receptor internalization,Biological Process,5
http://purl.obolibrary.org/obo/GO_0004190,aspartic-type endopeptidase activity,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0032436,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,Biological Process,5
http://purl.obolibrary.org/obo/GO_0005777,peroxisome,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0061629,RNA polymerase II-specific DNA-binding transcription factor binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0005178,integrin binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0071300,cellular response to retinoic acid,Biological Process,5
http://purl.obolibrary.org/obo/GO_0032722,positive regulation of chemokine production,Biological Process,5
http://purl.obolibrary.org/obo/GO_0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,Biological Process,5
http://purl.obolibrary.org/obo/GO_0016197,endosomal transport,Biological Process,5
http://purl.obolibrary.org/obo/GO_0045807,positive regulation of endocytosis,Biological Process,5
http://purl.obolibrary.org/obo/GO_0050808,synapse organization,Biological Process,5
http://purl.obolibrary.org/obo/GO_0045766,positive regulation of angiogenesis,Biological Process,5
