gene,n_sources,sources,evidence_types,n_evidence_types,curated,genetic,differential,secondary_support,n_secondary,pigean_score,n_uniprot_variants,de_regions,de_direction,de_conflict,druggable,drugs,biotype,score,tier
WNT3,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,3.86,0,0,,0,0,,protein-coding,15.9,A
GRN,3,digcfdekg;prokn;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,2.73,1,0,,0,0,,protein-coding,15.8,A
MTHFD1L,3,biomarkerkg;prokn;spoke-okn,curated knowledge;genetic association,2,1,1,0,CSF/imaging endophenotype,1,,1,1,down,0,0,,protein-coding,15.75,A
GPR141,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,CSF/imaging endophenotype,1,2.13,0,0,,0,0,,protein-coding,15.6,A
TREML2,3,digcfdekg;prokn;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,1.62,1,0,,0,0,,protein-coding,14.96,A
DSG2,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,2.32,0,0,,0,0,,protein-coding,14.74,A
CHRNE,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,1.73,0,0,,0,0,,protein-coding,14.3,A
PIK3CD,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,1.54,0,0,,0,0,,protein-coding,14.16,A
SPATC1,3,biomarkerkg;digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,1.5,0,0,,0,0,,protein-coding,14.12,A
MPO,3,digcfdekg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,1.45,0,0,,0,0,,protein-coding,14.09,A
HFE,3,prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,,1,0,,0,0,,protein-coding,13.75,A
NOS3,3,prokn;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,,1,0,,0,0,,protein-coding,13.75,A
NECTIN2,3,biomarkerkg;rdkg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,,0,0,,0,0,,protein-coding,13.0,A
SPON1,3,biomarkerkg;digcfdekg;prokn,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype;DE >=2 regions,3,3.77,1,2,up,0,0,,protein-coding,19.58,B
NSG1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,family-history proxy;CSF/imaging endophenotype;DE >=2 regions,3,3.67,0,3,down,0,0,,protein-coding,18.75,B
CCDC6,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,family-history proxy;DE >=2 regions,2,3.95,0,3,down,0,0,,protein-coding,17.96,B
CHRNA7,2,digcfdekg;rdkg,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.38,0,0,,0,1,ABT-126;AQW051;AZD0328;ENCENICLINE;FACINICLINE HYDROCHLORIDE;GTS-21;SSR180711,protein-coding,17.28,B
PPARA,2,gene-expression-atlas-okn;prokn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,1,3,up,0,1,GEMFIBROZIL,protein-coding,16.75,B
NTRK2,2,digcfdekg;prokn,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype;DE >=2 regions,3,3.69,1,2,up,1,0,,protein-coding,16.52,B
RABEP1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,family-history proxy;DE >=2 regions,2,2.02,0,3,down,0,0,,protein-coding,16.52,B
TP53INP1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,3.13,0,3,up,0,0,,protein-coding,16.35,B
BOD1L1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.78,0,4,up,0,0,,protein-coding,16.34,B
MEF2C,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,3.03,0,3,down,0,0,,protein-coding,16.27,B
AGER,2,digcfdekg;prokn,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,4.63,1,0,,0,1,AZELIRAGON,protein-coding,16.22,B
APH1A,2,digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.03,0,1,up,0,0,,protein-coding,16.02,B
MFSD14CP,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,0,5,up,0,0,,non-coding RNA,16.0,B
SLC7A2,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,CSF/imaging endophenotype;DE >=2 regions,2,,0,4,up,0,0,,protein-coding,16.0,B
STX8,2,biomarkerkg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,family-history proxy;DE >=2 regions,2,,0,4,down,0,0,,protein-coding,16.0,B
STMN4,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,2.64,0,3,down,0,0,,protein-coding,15.98,B
ID4,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,CSF/imaging endophenotype;DE >=2 regions,2,1.16,0,3,up,0,0,,protein-coding,15.87,B
PRR11,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.1,0,4,up,0,0,,protein-coding,15.82,B
GSK3A,2,digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,5.08,0,0,,0,0,,protein-coding,15.81,B
ADAMTS1,2,digcfdekg;rdkg,curated knowledge;genetic association,2,1,1,0,DE >=2 regions,1,3.72,0,2,up,0,0,,protein-coding,15.79,B
TRIL,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,2.18,0,3,up,0,0,,protein-coding,15.64,B
GPRC5B,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,2.17,0,3,up,0,0,,protein-coding,15.63,B
CDC42SE2,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,2.13,0,3,down,0,0,,protein-coding,15.6,B
PLD3,2,gene-expression-atlas-okn;prokn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,,2,3,down,0,0,,protein-coding,15.5,B
ADAM17,2,biomarkerkg;digcfdekg,genetic association,1,0,1,0,family-history proxy;CSF/imaging endophenotype,2,5.98,0,1,down,0,0,,protein-coding,15.48,B
TRIM37,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.96,0,3,down,0,0,,protein-coding,15.47,B
PSENEN,2,digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,family-history proxy;CSF/imaging endophenotype,2,4.5,0,0,,0,0,,protein-coding,15.38,B
EIF3K,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.78,0,3,down,0,0,,protein-coding,15.34,B
TSPYL5,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.75,0,3,down,0,0,,protein-coding,15.31,B
TOB1,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.69,0,3,up,0,0,,protein-coding,15.27,B
PSMC3,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.67,0,3,down,0,0,,protein-coding,15.25,B
CTSB,2,digcfdekg;spoke-okn,curated knowledge;genetic association,2,1,1,0,,0,5.64,0,1,down,0,0,,protein-coding,15.23,B
HIP1R,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.61,0,3,up,0,0,,protein-coding,15.21,B
LRP4,2,digcfdekg;gene-expression-atlas-okn,differential molecular activity;genetic association,2,0,1,1,DE >=2 regions,1,1.55,0,3,up,0,0,,protein-coding,15.16,B
