sym,pw,pwLabel
AKT1,https://identifiers.org/reactome/R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells
AKT1,https://identifiers.org/reactome/R-HSA-9856532,Mechanical load activates signaling by PIEZO1 and integrins in osteocytes
ANAPC1,https://identifiers.org/reactome/R-HSA-141430,Inactivation of APC/C via direct inhibition of the APC/C complex
ANAPC1,https://identifiers.org/reactome/R-HSA-174048,APC/C:Cdc20 mediated degradation of Cyclin B
ANAPC1,https://identifiers.org/reactome/R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C
ANAPC1,https://identifiers.org/reactome/R-HSA-174154,APC/C:Cdc20 mediated degradation of Securin
ANAPC1,https://identifiers.org/reactome/R-HSA-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
ANAPC1,https://identifiers.org/reactome/R-HSA-174184,Cdc20:Phospho-APC/C mediated degradation of Cyclin A
ANAPC1,https://identifiers.org/reactome/R-HSA-176407,Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase
ANAPC1,https://identifiers.org/reactome/R-HSA-176408,Regulation of APC/C activators between G1/S and early anaphase
ANAPC1,https://identifiers.org/reactome/R-HSA-176409,APC/C:Cdc20 mediated degradation of mitotic proteins
ANAPC1,https://identifiers.org/reactome/R-HSA-176412,Phosphorylation of the APC/C
ANAPC1,https://identifiers.org/reactome/R-HSA-179409,APC-Cdc20 mediated degradation of Nek2A
ANAPC1,https://identifiers.org/reactome/R-HSA-2467813,Separation of Sister Chromatids
ANAPC1,https://identifiers.org/reactome/R-HSA-2559582,Senescence-Associated Secretory Phenotype (SASP)
ANAPC1,https://identifiers.org/reactome/R-HSA-68867,Assembly of the pre-replicative complex
ANAPC1,https://identifiers.org/reactome/R-HSA-69017,CDK-mediated phosphorylation and removal of Cdc6
ANAPC1,https://identifiers.org/reactome/R-HSA-8853884,Transcriptional Regulation by VENTX
ANAPC1,https://identifiers.org/reactome/R-HSA-9687136,Aberrant regulation of mitotic exit in cancer due to RB1 defects
ANAPC1,https://identifiers.org/reactome/R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation
ANTXR1,https://identifiers.org/reactome/R-HSA-5210891,Uptake and function of anthrax toxins
AP2A2,https://identifiers.org/reactome/R-HSA-167590,Nef Mediated CD4 Down-regulation
AP2A2,https://identifiers.org/reactome/R-HSA-177504,Retrograde neurotrophin signalling
AP2A2,https://identifiers.org/reactome/R-HSA-182218,Nef Mediated CD8 Down-regulation
AP2A2,https://identifiers.org/reactome/R-HSA-2132295,MHC class II antigen presentation
AP2A2,https://identifiers.org/reactome/R-HSA-3928665,EPH-ephrin mediated repulsion of cells
AP2A2,https://identifiers.org/reactome/R-HSA-416993,Trafficking of GluR2-containing AMPA receptors
AP2A2,https://identifiers.org/reactome/R-HSA-437239,Recycling pathway of L1
AP2A2,https://identifiers.org/reactome/R-HSA-5099900,WNT5A-dependent internalization of FZD4
AP2A2,https://identifiers.org/reactome/R-HSA-5140745,"WNT5A-dependent internalization of FZD2, FZD5 and ROR2"
AP2A2,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
AP2A2,https://identifiers.org/reactome/R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis
AP2A2,https://identifiers.org/reactome/R-HSA-8856828,Clathrin-mediated endocytosis
AP2A2,https://identifiers.org/reactome/R-HSA-8866427,VLDLR internalisation and degradation
AP2A2,https://identifiers.org/reactome/R-HSA-8964038,LDL clearance
AP2A2,https://identifiers.org/reactome/R-HSA-9679191,Potential therapeutics for SARS
APCS,https://identifiers.org/reactome/R-HSA-977225,Amyloid fiber formation
APOC4,https://identifiers.org/reactome/R-HSA-8866423,VLDL assembly
APOC4,https://identifiers.org/reactome/R-HSA-8964046,VLDL clearance
APOC4,https://identifiers.org/reactome/R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
APOE,https://identifiers.org/reactome/R-HSA-1251985,Nuclear signaling by ERBB4
APOE,https://identifiers.org/reactome/R-HSA-3000480,Scavenging by Class A Receptors
APOE,https://identifiers.org/reactome/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
APOE,https://identifiers.org/reactome/R-HSA-8864260,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors
APOE,https://identifiers.org/reactome/R-HSA-8957275,Post-translational protein phosphorylation
APOE,https://identifiers.org/reactome/R-HSA-8963888,Chylomicron assembly
APOE,https://identifiers.org/reactome/R-HSA-8963901,Chylomicron remodeling
APOE,https://identifiers.org/reactome/R-HSA-8964026,Chylomicron clearance
APOE,https://identifiers.org/reactome/R-HSA-8964058,HDL remodeling
APOE,https://identifiers.org/reactome/R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
APOE,https://identifiers.org/reactome/R-HSA-975634,Retinoid metabolism and transport
APOE,https://identifiers.org/reactome/R-HSA-977225,Amyloid fiber formation
APP,https://identifiers.org/reactome/R-HSA-114608,Platelet degranulation 
APP,https://identifiers.org/reactome/R-HSA-3000178,ECM proteoglycans
APP,https://identifiers.org/reactome/R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
APP,https://identifiers.org/reactome/R-HSA-416476,G alpha (q) signalling events
APP,https://identifiers.org/reactome/R-HSA-418594,G alpha (i) signalling events
APP,https://identifiers.org/reactome/R-HSA-432720,Lysosome Vesicle Biogenesis
APP,https://identifiers.org/reactome/R-HSA-444473,Formyl peptide receptors bind formyl peptides and many other ligands
APP,https://identifiers.org/reactome/R-HSA-445989,TAK1-dependent IKK and NF-kappa-B activation  
APP,https://identifiers.org/reactome/R-HSA-844456,The NLRP3 inflammasome
APP,https://identifiers.org/reactome/R-HSA-879415,Advanced glycosylation endproduct receptor signaling
APP,https://identifiers.org/reactome/R-HSA-8862803,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
APP,https://identifiers.org/reactome/R-HSA-8957275,Post-translational protein phosphorylation
APP,https://identifiers.org/reactome/R-HSA-933542,TRAF6 mediated NF-kB activation
APP,https://identifiers.org/reactome/R-HSA-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane
APP,https://identifiers.org/reactome/R-HSA-9660826,Purinergic signaling in leishmaniasis infection
APP,https://identifiers.org/reactome/R-HSA-977225,Amyloid fiber formation
APP,https://identifiers.org/reactome/R-HSA-9837999,Mitochondrial protein degradation
ARHGAP45,https://identifiers.org/reactome/R-HSA-6798695,Neutrophil degranulation
