gene,n_primary,primary_sources,n_secondary,secondary_sources,n_total
TRMT10C,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TSPYL5,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
TUSC3,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
UFC1,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
UNC5C-AS1,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
UNC5CL,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
VWA8,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
WDR12,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,1,digcfdekg_family_history,3
WDR7,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ZBTB20,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
ZMAT4,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,1,gxa_DE_ge2_regions,3
ZNF423,2,digcfdekg_core_AD_trait;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ZNRF3,2,biomarkerkg_risk_variant;gxa_DE_ge3_regions,1,gxa_DE_ge2_regions,3
ADAMTS2,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
ADK,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
AKT1,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
APCS,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
ARFGEF2,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
ARHGAP45,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
ATP2C1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
ATP8B4,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
BCAM,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
BCKDK,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
BCL3,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
BLNK,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
C12orf42,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
C17orf107,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
CACNA1G,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
CAMTA1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
CBLC,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
CELF1,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
CELF2,2,prokn_curated_variant;biomarkerkg_risk_variant,0,,2
CENPE,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
CHAT,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
CHID1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
COL25A1,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
CPNE8,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
CRK,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
CTSB,2,spoke-okn_curated_DaG;digcfdekg_core_AD_trait,0,,2
CTSD,2,spoke-okn_curated_DaG;prokn_curated_variant,0,,2
DAB1,2,spoke-okn_curated_DaG;biomarkerkg_risk_variant,0,,2
DEDD,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
DGKQ,2,digcfdekg_core_AD_trait;biomarkerkg_risk_variant,0,,2
