fips,lat,lng
19065,42.82,-91.84
19067,43.05,-92.8
19069,42.74,-93.2
19073,42.01,-94.37
19077,41.5,-94.64
19079,42.46,-93.81
19083,42.36,-93.1
19087,40.96,-91.54
19091,42.72,-94.22
19095,41.73,-92.29
19097,42.06,-90.66
19099,41.63,-92.94
19101,41.0,-91.96
19103,41.72,-91.58
19105,42.16,-91.23
19107,41.33,-92.2
19111,40.5,-91.37
19113,42.02,-91.59
19115,41.17,-91.18
19117,41.01,-93.3
19119,43.34,-96.0
19121,41.33,-94.01
19123,41.38,-92.64
19125,41.4,-92.91
19127,42.07,-92.94
19129,41.11,-95.63
19131,43.36,-92.55
19135,41.02,-92.8
19139,41.52,-91.12
19145,40.74,-95.19
19147,43.11,-94.68
19151,42.84,-94.84
19153,41.61,-93.62
19155,41.24,-95.85
19157,41.66,-92.62
19161,42.42,-94.99
19163,41.57,-90.57
19165,41.65,-95.32
19167,43.19,-96.21
19169,42.07,-93.55
19175,41.02,-94.19
19177,40.87,-91.94
19179,41.01,-92.41
19181,41.27,-93.64
19183,41.38,-91.69
19185,40.75,-93.31
19187,42.5,-94.17
19189,43.41,-93.53
19191,43.3,-91.79
19193,42.49,-96.39
19197,42.78,-93.66
20001,37.88,-95.33
20003,38.32,-95.17
20005,39.56,-95.13
20009,38.36,-98.8
20011,37.83,-94.7
20013,39.75,-95.53
20015,37.69,-97.02
20021,37.16,-94.74
20027,39.46,-97.2
20033,37.2,-99.48
20035,37.16,-97.0
20037,37.46,-94.74
20041,38.92,-97.22
20043,39.76,-94.94
20045,38.9,-95.21
20051,38.87,-99.31
20053,38.64,-98.26
20055,37.97,-100.86
20057,37.75,-100.01
20059,38.6,-95.26
20077,37.22,-98.09
20079,38.08,-97.38
20085,39.58,-95.61
20087,39.19,-95.56
20091,38.96,-94.78
20095,37.64,-98.11
20099,37.33,-95.26
20103,39.26,-94.97
20105,39.04,-98.14
20113,38.36,-97.66
20115,38.34,-97.1
20121,38.57,-94.86
20125,37.13,-95.67
20127,38.66,-96.48
20129,37.11,-101.63
20133,37.57,-95.41
20143,39.12,-97.7
20149,39.29,-96.35
20155,38.03,-97.87
20161,39.27,-96.69
20165,38.46,-99.31
20167,38.88,-98.85
20169,38.81,-97.61
20173,37.68,-97.37
20175,37.04,-100.93
20177,39.07,-95.71
20191,37.35,-97.43
20193,39.38,-101.04
20201,39.81,-97.05
20205,37.47,-95.75
20209,39.1,-94.7
21005,38.03,-84.89
21009,36.99,-85.92
21015,38.99,-84.68
21017,38.2,-84.26
21019,38.44,-82.63
21021,37.64,-84.77
21027,37.82,-86.36
21029,37.97,-85.69
21037,39.07,-84.46
21043,38.3,-83.16
21045,37.25,-84.96
21047,36.94,-87.48
21049,37.99,-84.18
21053,36.69,-85.13
21057,36.79,-85.36
21059,37.74,-87.03
21067,38.06,-84.51
21069,38.42,-83.73
21071,37.67,-82.76
21073,38.19,-84.86
21077,38.73,-85.06
21081,38.63,-84.56
21083,36.78,-88.66
21085,37.48,-86.25
21091,37.91,-86.82
21093,37.84,-85.91
21097,38.38,-84.29
21099,37.17,-85.91
21101,37.83,-87.58
21107,37.3,-87.5
21109,37.32,-83.96
21111,38.21,-85.72
21113,37.87,-84.58
21117,39.02,-84.52
21123,37.56,-85.73
21125,37.11,-84.08
21139,37.04,-88.49
21141,36.83,-86.89
21145,37.04,-88.6
21149,37.49,-87.13
21151,37.65,-84.29
21153,37.74,-83.06
21155,37.56,-85.25
21157,37.03,-88.35
21161,38.62,-83.78
21165,37.95,-83.62
21167,37.76,-84.84
21171,36.7,-85.69
21173,38.06,-83.94
21177,37.29,-87.12
21179,37.81,-85.46
21183,37.4,-86.87
21185,38.39,-85.4
21191,38.67,-84.33
21195,37.17,-82.62
21197,37.84,-83.85
21199,37.07,-84.67
21205,38.19,-83.44
21207,37.05,-85.07
21209,38.2,-84.55
21211,38.21,-85.29
21213,36.78,-86.54
21217,37.34,-85.34
21221,36.86,-87.82
