gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
DOCK10,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,2.62,,,,6,C
VAV2,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,2.62,,,,6,C
JUNB,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,2.56,1.0,"{""up"": 1}",'multiple sclerosis' vs 'normal' in 'no physical activity program',6,C
HLA-DQA2,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,2.5,,,,6,C
IL10,2,2,curated_disease_gene|genetic_association,digcfdekg|spoke-okn,2.43,,,,6,C
ISG20,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,2.43,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',6,C
IKZF2,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,2.41,1.0,"{""down"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',6,C
TNFSF4,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,2.4,,,,6,C
ARHGEF3,2,2,clinical_biomarker|genetic_association,biomarkerkg|digcfdekg,2.37,,,,6,C
PPP4C,2,2,differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn,2.33,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',6,C
