fips,n_chem,n_chem_obs,n_media
19085,141,141,1
19087,140,140,1
19089,139,139,1
19091,139,139,1
19093,139,139,1
19095,140,140,1
19097,140,140,1
19099,140,140,1
19101,141,141,1
19103,144,144,1
19105,141,141,1
19107,141,141,1
19109,139,139,1
19111,143,143,1
19113,147,147,1
19115,144,144,1
19117,140,140,1
19119,140,140,1
19121,139,139,1
19123,141,141,1
19125,141,141,1
19127,140,140,1
19129,141,141,1
19131,140,140,1
19133,139,139,1
19135,141,141,1
19137,141,141,1
19139,145,145,1
19141,140,140,1
19143,140,140,1
19145,142,142,1
19147,142,142,1
19149,140,140,1
19151,140,140,1
19153,146,146,1
19155,143,143,1
19157,140,140,1
19159,139,139,1
19161,139,139,1
19163,147,147,1
19165,140,140,1
19167,140,140,1
19169,142,142,1
19171,140,140,1
19173,139,139,1
19175,140,140,1
19177,140,140,1
19179,142,142,1
19181,142,142,1
19183,140,140,1
19185,140,140,1
19187,142,142,1
19189,142,142,1
19191,142,142,1
19193,143,143,1
19195,139,139,1
19197,140,140,1
20001,144,144,1
20003,143,143,1
20005,141,141,1
20007,144,144,1
20009,147,147,1
20011,144,144,1
20013,144,144,1
20015,146,146,1
20017,143,143,1
20019,143,143,1
20021,147,147,1
20023,141,141,1
20025,143,143,1
20027,143,143,1
20029,143,143,1
20031,144,144,1
20033,142,142,1
20035,145,145,1
20037,144,144,1
20039,143,143,1
20041,147,147,1
20043,141,141,1
20045,146,146,1
20047,142,142,1
20049,143,143,1
20051,144,144,1
20053,144,144,1
20055,146,146,1
20057,147,147,1
20059,144,144,1
20061,143,143,1
20063,143,143,1
20065,143,143,1
20067,144,144,1
20069,141,141,1
20071,140,140,1
20073,143,143,1
20075,141,141,1
20077,144,144,1
20079,145,145,1
20081,141,141,1
20083,143,143,1
20085,142,142,1
20087,142,142,1
20089,140,140,1
20091,147,147,1
20093,143,143,1
20095,144,144,1
20097,143,143,1
20099,145,145,1
20101,144,144,1
20103,144,144,1
20105,140,140,1
20107,145,145,1
20109,141,141,1
20111,144,144,1
20113,145,145,1
20115,143,143,1
20117,142,142,1
20119,144,144,1
20121,143,143,1
20123,140,140,1
20125,147,147,1
20127,142,142,1
20129,143,143,1
20131,143,143,1
20133,150,150,1
20135,143,143,1
20137,143,143,1
20139,142,142,1
20141,143,143,1
20143,140,140,1
20145,146,146,1
20147,142,142,1
20149,144,144,1
20151,144,144,1
20153,143,143,1
20155,147,147,1
20157,141,141,1
20159,145,145,1
20161,143,143,1
20163,144,144,1
20165,143,143,1
20167,143,143,1
20169,145,145,1
20171,141,141,1
20173,162,162,1
20175,145,145,1
20177,146,146,1
20179,143,143,1
20181,141,141,1
20183,141,141,1
20185,143,143,1
20187,140,140,1
20189,143,143,1
20191,146,146,1
20193,142,142,1
20195,144,144,1
20197,142,142,1
20199,141,141,1
20201,141,141,1
20203,143,143,1
20205,146,146,1
20207,143,143,1
20209,141,141,1
21001,143,143,1
21003,142,142,1
21005,141,141,1
21007,146,146,1
21009,144,144,1
21011,140,140,1
21013,144,144,1
21015,150,150,1
21017,145,145,1
21019,147,147,1
21021,145,145,1
21023,140,140,1
21025,143,143,1
21027,144,144,1
21029,143,143,1
21031,143,143,1
21033,140,140,1
21035,142,142,1
21037,143,143,1
21039,140,140,1
21041,144,144,1
21043,142,142,1
21045,142,142,1
21047,146,146,1
21049,147,147,1
21051,142,142,1
21053,147,147,1
21055,140,140,1
21057,142,142,1
21059,145,145,1
21061,144,144,1
21063,142,142,1
21065,143,143,1
21067,146,146,1
21069,140,140,1
21071,143,143,1
21073,144,144,1
21075,143,143,1
21077,140,140,1
21079,140,140,1
21081,141,141,1
21083,141,141,1
21085,146,146,1
21087,142,142,1
21089,145,145,1
21091,146,146,1
21093,145,145,1
21095,143,143,1
21097,141,141,1
21099,148,148,1
21101,145,145,1
21103,146,146,1
21105,140,140,1
21107,147,147,1
21109,141,141,1
21111,171,171,1
21113,142,142,1
21115,143,143,1
21117,146,146,1
21119,143,143,1
21121,143,143,1
21123,143,143,1
21125,147,147,1
21127,143,143,1
21129,142,142,1
21131,142,142,1
21133,142,142,1
21135,141,141,1
21137,144,144,1
21139,141,141,1
21141,144,144,1
21143,140,140,1
21145,143,143,1
21147,142,142,1
21149,142,142,1
21151,142,142,1
21153,143,143,1
21155,145,145,1
21157,147,147,1
21159,142,142,1
21161,141,141,1
21163,145,145,1
21165,140,140,1
21167,141,141,1
21169,143,143,1
21171,146,146,1
21173,144,144,1
21175,144,144,1
21177,144,144,1
21179,144,144,1
21181,140,140,1
21183,144,144,1
21185,141,141,1
21187,140,140,1
21189,143,143,1
21191,142,142,1
