fips,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",adult obesity,air pollution - particulate matter,children in poverty,children in single-parent households,drinking water violations,drug overdose deaths,firearm fatalities,food insecurity,frequent mental distress,homicides,income inequality,life expectancy,limited access to healthy foods,low birthweight,mental health providers,motor vehicle crash deaths,physical inactivity,poor or fair health,premature death,preventable hospital stays,primary care physicians,residential segregation - black/white,rural,severe housing cost burden,severe housing problems,unemployment,uninsured
23017,0.3173,33.6,4.5,20.9,17.273246951,0.0,0.023024895668,0.013523775838000001,12.7,15.9,,4.3187928082,77.426503613,5.4968261182,7.6237054085,360.0,0.015391451786,21.5,13.5,8.538832596499999,2.166,1453.0,,83.111718223,11.16026635,12.160262418,5.5897786904,9.7850833257
23019,0.4249,34.3,4.3,15.7,19.48208042,1.0,0.040008881092,0.013840155432,12.2,14.8,0.0015965919336000001,4.6610045897,77.118998592,5.755577954,7.439049802,160.0,0.01352407285,23.4,12.6,8.1296768197,3.0380000000000003,743.0,71.973961577,57.650253698,10.755126183,13.627222267,4.7331507581,9.5772359129
23021,0.493,33.5,4.8,21.3,21.755994358,0.0,0.033609458097,0.017815361592,15.2,15.4,,4.5648273704,77.167747418,1.6816371374,8.4967320261,429.0,0.018619767422,24.2,14.4,8.1829067057,2.401,1545.0,80.55483368,100.0,11.554192229,14.448398577,5.0134408602,11.229902205
23023,0.0665,30.6,6.8,11.3,21.982821371,0.0,0.0195287072,0.015712770554,9.5,13.8,,3.9853032431,80.46934214,2.8451971636,6.913470116,441.0,0.0072465810228,17.2,10.4,5.8231511979,1.944,1567.0,50.649723607,61.675119712,11.497465228,13.29787234,3.7110496372,8.8868646384
23025,0.4659,33.0,5.6,19.2,18.476668759,0.0,0.031639103295,0.020532907934000002,15.5,15.7,,4.6423630681,76.602521289,3.8989142109,7.8023002798,533.0,0.018282666907,25.8,14.9,8.887940949199999,2.239,1875.0,76.532654934,80.47598989,11.205482096,15.759849906,6.2640021507,10.943987466
23027,0.2693,31.5,5.2,18.2,16.539405509,1.0,0.017597961988000003,0.014607511283,11.2,14.8,,4.3459862848,78.846265936,3.7799372357,7.3767094903,347.0,0.017706534072,20.2,11.5,7.097276795599999,2.1839999999999997,1331.0,45.227439335,91.34223689,11.16915871,13.80910937,4.6965282236,12.526539278
23029,0.6957,34.9,4.5,22.5,22.313220792,0.0,0.046638824702,0.017155383296000002,15.0,16.2,,5.4707765747,75.515855926,4.7455398014,7.1751128951,156.0,0.017661603673999996,23.6,15.1,9.881632054,1.789,2248.0,68.841068498,92.378865352,11.617166972,13.379260334,6.4600059471,13.267222926
23031,0.1719,29.9,7.3,9.9,19.514064536,1.0,0.03130337627,0.0094223241085,9.5,14.1,0.0012575549359,3.9557538128,79.126283689,3.3422944005,6.9840031213,229.0,0.010689216954999999,19.6,9.9,7.082458122899999,2.376,1366.0,73.319197662,56.843418843,11.563741087,13.854539061,4.4981558363,8.4136452146
24001,0.549,35.7,7.2,22.4,26.089900957,1.0,0.050603458061,0.011543020272999999,15.6,16.1,0.0029959674278,4.563140254,75.482068298,9.7444599284,8.5213581599,268.0,0.010386020417,25.2,15.0,9.5380365301,2.731,1946.0,63.773731711,27.252387231,11.125162873,12.828467153,6.445056386,5.4523838806
24003,0.1903,31.3,8.5,7.9,19.946116331,1.0,0.045165766995,0.007778796043799999,8.3,13.3,0.0041708802131,3.6301224976,79.094255137,4.1371283192,7.7280747276,410.0,0.0082168837731,18.9,9.9,6.9365165019,2.834,1461.0,47.619729985,5.3041349859,10.844451865,12.432380907,4.7482414809,4.9478795998
