fips,n_fac
45063,3673
45065,182
45067,397
45069,346
45071,618
45073,850
45075,1199
45077,1221
45079,3894
45081,263
45083,4042
45085,1211
45087,350
45089,1473
45091,3094
46003,33
46005,179
46007,33
46009,44
46011,352
46013,339
46015,53
46017,50
46019,64
46021,14
46023,145
46025,43
46027,79
46029,266
46031,108
46033,81
46035,162
46037,103
46039,70
46041,210
46043,34
46045,50
46047,66
46049,28
46051,109
46053,37
46055,28
46057,53
46059,38
46061,24
46063,57
46065,186
46067,66
46069,43
46071,37
46073,23
46075,21
46077,85
46079,117
46081,328
46083,250
46085,96
46087,61
46089,16
46091,44
46093,203
46095,33
46097,26
46099,1144
46101,95
46103,772
46105,89
46107,42
46109,106
46111,24
46115,82
46117,29
46119,26
46121,173
46123,79
46125,74
46127,120
46129,53
46135,217
46137,48
47001,382
47003,260
47005,118
47007,70
47009,427
47011,463
47013,202
47015,54
47017,153
47019,247
47021,139
47023,62
47025,195
47027,53
47029,140
47031,304
47033,86
47035,293
47037,3936
47039,97
47041,87
47043,266
47045,229
47047,215
47049,69
47051,207
47053,312
47055,152
47057,79
47059,399
47061,73
47063,370
47065,2253
47067,25
47069,150
47071,184
47073,249
47075,121
47077,147
47079,221
47081,110
47083,42
47085,144
47087,43
47089,200
47091,96
47093,1827
47095,24
47097,118
47099,223
47101,43
47103,140
47105,245
47107,414
47109,148
47111,87
47113,568
47115,212
47117,236
47119,537
47121,51
47123,198
47125,602
47127,37
47129,74
47131,220
47133,104
47135,56
47137,34
47139,99
47141,370
47143,184
47145,294
47147,347
47149,1162
47151,116
47153,95
47155,386
47157,3810
47159,108
47161,67
47163,742
47165,823
47167,190
47169,48
47171,104
47173,76
47175,40
47177,359
47179,646
47181,113
47183,205
47185,111
47187,1143
47189,623
48001,429
48003,802
48005,786
48007,209
48009,160
48011,49
48013,535
48015,398
48017,221
48019,206
48021,661
48023,75
48025,326
48027,1999
48029,11285
48031,170
48033,80
48035,201
48037,750
48039,3095
48041,1539
48043,159
48045,56
48047,164
48049,364
48051,329
48053,489
48055,455
48057,313
48059,383
48061,2518
48063,200
48065,223
48067,290
48069,254
48071,865
48073,548
48075,91
48077,127
48079,179
48081,91
48083,162
48085,5758
48087,50
48089,381
48091,1546
48093,254
48095,88
48097,470
48099,418
48101,60
48103,367
48105,243
48107,83
48109,110
48111,261
48113,15192
48115,382
48117,392
48119,81
48121,5450
48123,733
48125,72
48127,851
48129,67
48131,257
48133,413
48135,2272
48137,62
48139,1715
48141,4837
48143,613
48145,359
48147,311
48149,447
48151,100
48153,137
48155,38
48157,4625
48159,181
48161,1207
48163,278
48165,449
48167,2606
48169,154
48171,308
48173,316
48175,150
48177,401
48179,374
48181,1333
48183,1705
48185,377
48187,1069
48189,461
48191,67
48193,144
48195,336
48197,93
48199,737
48201,31688
48203,981
48205,143
48207,141
48209,2213
48211,658
48213,748
48215,3557
48217,517
48219,636
48221,743
48223,566
48225,300
