fips,n_prov
46013,3
46029,1
46035,2
46047,2
46059,1
46079,1
46081,1
46097,1
46099,9
46101,1
46103,6
46105,1
46121,1
46123,1
47001,1
47003,2
47005,1
47009,7
47011,3
47013,3
47017,2
47019,2
47023,1
47025,1
47029,2
47031,1
47035,1
47037,12
47043,1
47045,3
47047,1
47051,3
47053,3
47055,2
47057,1
47059,3
47063,4
47065,9
47067,1
47069,1
47073,1
47075,2
47077,1
47079,1
47085,1
47091,2
47093,20
47095,1
47097,1
47099,3
47103,1
47105,2
47107,4
47109,1
47111,1
47113,3
47115,3
47117,1
47119,5
47123,2
47125,4
47129,2
47131,2
47133,1
47141,6
47143,1
47145,1
47147,2
47149,4
47151,1
47155,4
47157,17
47163,7
47165,4
47167,2
47171,1
47173,1
47177,2
47179,3
47181,1
47183,1
47185,2
47187,2
47189,4
48001,3
48003,1
48021,1
48023,1
48027,3
48029,9
48035,1
48037,1
48039,4
48041,1
48043,1
48051,1
48053,1
48055,2
48061,5
48075,1
48085,10
48091,1
48097,1
48109,1
48111,1
48113,15
48115,1
48117,1
48121,4
48129,1
48135,1
48139,1
48141,3
48143,1
48145,1
48147,1
48149,1
48157,7
48161,1
48163,1
48165,1
48167,7
48177,1
48179,2
48181,2
48185,1
48187,2
48197,2
48199,1
48201,38
48203,1
48207,1
48209,1
48213,1
48215,3
48217,1
48221,1
48225,1
48227,2
48231,3
48233,1
48239,1
48241,1
48245,5
48247,1
48251,2
48255,1
48257,2
48287,1
48289,1
48291,2
48293,1
48303,2
48309,8
48313,1
48321,1
48329,2
48331,1
48333,1
48337,1
48339,5
48341,1
48347,1
48349,1
48355,4
48357,1
48361,1
48363,1
48365,1
48367,2
48371,1
48373,1
48375,4
48377,1
48379,1
48395,1
48399,1
48401,1
48405,1
48409,1
48423,1
48427,1
48439,9
48445,1
48451,5
48453,9
48463,1
48467,1
48469,2
48471,2
48475,1
48477,1
48479,1
48485,3
48487,1
48491,4
48493,1
48495,1
48497,1
48499,1
48501,1
48503,1
48505,2
49003,8
49005,9
49007,2
49011,18
49013,2
49015,1
49019,2
49021,2
49027,2
49033,1
49035,65
49037,2
49039,1
49041,2
49043,2
49045,4
49047,1
49049,37
49053,9
49055,1
49057,12
50003,1
50007,8
50015,1
50019,2
50021,4
50023,4
50025,1
50027,1
51001,1
51011,1
51013,2
51015,1
51019,2
51025,1
51027,1
51031,1
51047,1
51051,1
51059,7
51063,1
51065,1
51067,1
51069,1
51071,1
51073,1
51075,1
51077,1
51079,1
51083,2
51085,2
51087,1
51093,1
51103,2
51105,2
51107,3
51109,1
51117,1
51121,3
51125,1
51141,1
51143,1
51145,1
51147,1
51149,1
51155,1
51159,1
51161,2
51167,2
51169,1
51171,1
51173,1
51183,2
51185,4
51191,3
51195,1
51197,2
51510,2
51520,4
51540,5
51550,1
51580,1
51590,3
51595,1
51600,4
51620,1
51640,1
51650,5
51660,4
51670,1
51678,1
51680,7
51683,1
51690,3
51700,2
51710,7
51720,1
51730,2
51740,2
51750,2
51760,10
51770,8
51775,2
51790,3
51800,3
51810,3
51830,5
51840,2
53001,1
53003,1
53005,4
53007,9
53009,3
53011,11
53013,1
53015,6
53017,1
53021,3
53023,1
53025,5
53027,8
53029,3
53031,1
53033,65
53035,2
53037,3
53039,2
53041,8
53045,2
53047,1
53049,2
53053,15
53055,1
53057,7
53059,1
53061,19
53063,19
53067,7
53073,5
53075,1
53077,8
54001,1
54003,5
54005,1
54007,1
54011,4
54019,1
54021,1
54023,1
54027,1
54029,5
54031,1
54033,5
54035,1
54037,1
54039,4
54041,1
54043,2
54045,2
54047,1
54049,5
54051,1
54053,1
54055,4
54057,1
54059,2
54061,1
54063,1
54067,1
54069,5
54071,1
54075,2
54077,1
54079,1
54081,3
54083,3
54085,1
54087,1
54089,1
54093,1
54097,2
54099,2
54103,2
54107,3
54109,1
55001,1
55003,2
55005,2
55007,1
55009,15
55013,5
55015,1
55017,2
55019,1
55021,2
55023,3
55025,25
55027,1
55029,1
55031,1
55033,3
55035,7
55039,3
55043,3
55045,1
55047,1
55049,1
55051,1
55053,2
55055,2
55059,5
55061,1
55063,6
55065,1
55067,1
55069,2
55071,2
55073,11
55075,2
55078,1
55079,36
55081,7
55083,2
55085,2
55087,10
55089,2
55093,2
55095,3
55097,2
55101,7
55105,9
55107,1
55109,2
55111,4
55113,3
55115,3
55117,3
55119,2
55121,2
55123,2
55125,1
55127,3
55129,3
55133,24
55135,4
55137,1
55139,10
55141,6
56001,3
56003,2
56005,2
56009,2
56011,1
56013,2
56017,1
56019,1
56021,4
56025,2
56027,1
56029,1
