fips,n_case
46063,1
46065,69
46071,3
46073,2
46075,2
46077,1
46079,9
46081,18
46083,24
46085,21
46087,1
46089,2
46091,2
46093,28
46095,6
46097,2
46099,321
46101,7
46103,326
46105,1
46109,34
46111,2
46115,2
46117,1
46119,2
46121,135
46123,5
46125,3
46127,12
46129,6
46135,28
46137,25
47001,254
47003,52
47005,11
47007,28
47009,106
47011,103
47013,69
47015,5
47017,22
47019,50
47021,14
47023,6
47025,26
47027,6
47029,68
47031,69
47033,16
47035,32
47037,4417
47039,14
47041,4
47043,44
47045,45
47047,12
47049,11
47051,42
47053,42
47055,17
47057,22
47059,108
47061,11
47063,95
47065,777
47067,5
47069,67
47071,20
47073,53
47075,19
47077,34
47079,26
47081,25
47083,3
47085,17
47087,4
47089,59
47091,40
47093,613
47095,18
47097,48
47099,20
47101,7
47103,34
47105,36
47107,58
47109,16
47111,5
47113,337
47115,37
47117,32
47119,74
47121,9
47123,54
47125,172
47127,5
47129,50
47131,21
47133,20
47135,2
47137,5
47139,11
47141,67
47143,22
47145,55
47147,44
47149,208
47151,18
47153,15
47155,140
47157,2280
47159,15
47161,5
47163,176
47165,124
47167,27
47169,23
47171,15
47173,8
47175,8
47177,32
47179,184
47181,42
47183,12
47185,25
47187,198
47189,80
48001,4645
48003,10
48005,244
48007,15
48009,5
48011,1
48013,19
48015,22
48017,4
48019,11
48021,113
48025,170
48027,333
48029,2746
48031,3
48033,2
48035,7
48037,347
48039,302
48041,114
48043,198
48045,2
48047,1020
48049,14
48051,3
48053,16
48055,17
48057,16
48059,5
48061,2128
48063,11
48065,62
48067,30
48069,1
48071,38
48073,86
48075,11
48077,2
48079,3
48083,9
48085,1713
48087,2
48089,6
48091,72
48093,3
48095,20
48097,37
48099,183
48101,1
48103,1
48105,6
48109,52
48111,18
48113,5355
48115,26
48117,6
48119,5
48121,466
48123,42
48125,4
48127,691
48129,2
48131,54
48133,8
48135,163
48137,16
48139,66
48141,5247
48143,12
48145,37
48147,52
48149,11
48151,1
48153,4
48157,343
48159,14
48161,45
48163,55
48165,22
48167,326
48169,45
48171,8
48173,2
48175,15
48177,6
48179,32
48181,218
48183,195
48185,38
48187,66
48189,26
48191,2
48193,5
48195,4
48197,4
48199,35
48201,6086
48203,472
48205,11
48207,26
48209,92
48211,4
48213,52
48215,4106
48217,25
48219,17
48221,21
48223,53
48225,131
48227,82
48229,399
48231,33
48233,10
48237,2
48239,11
48241,33
48243,80
48245,1002
48247,91
48249,64
48251,79
48253,55
48255,108
48257,45
48259,32
48261,560
48265,30
48267,1
48269,2
48271,268
48273,77
48275,1
48277,44
48279,57
48281,10
48283,46
48285,16
48287,6
48289,23
48291,55
48293,22
48295,2
48297,93
48299,10
48303,389
48305,1
48307,3
48309,284
48311,8
48313,38
48315,6
48317,4
48319,2
48321,15
48323,1184
48325,20
48327,2
48329,627
48331,9
48335,21
48337,10
48339,269
48341,11
48343,18
48347,48
48349,19
48351,3
48353,18
48355,717
48357,6
48359,10
48361,80
48363,9
48365,25
48367,39
48369,7
48371,99
48373,121
48375,522
48377,387
48379,4
48381,64
48383,4
48387,9
48389,105
48391,27
48395,14
48397,41
48399,3
48401,55
48403,5
48405,5
48407,6
48409,51
48415,28
48417,5
48419,19
48421,53
48423,509
48425,4
48427,669
48429,8
48435,3
48437,8
48439,2439
48441,267
48443,34
48445,11
48447,1
48449,32
48451,142
48453,1793
48455,5
48457,51
48459,36
48461,2
48463,186
48465,763
48467,29
48469,148
48471,311
48473,26
48475,7
48477,6
48479,2353
48481,27
48483,9
48485,340
48487,6
48489,35
48491,212
48493,14
48495,14
48497,23
48499,27
48501,3
48503,2
48505,61
48507,71
49001,8
49003,30
49005,56
49007,13
49009,4
49011,196
49013,27
49015,15
49017,11
49019,50
49021,36
49023,40
49025,7
49027,15
49029,7
49031,1
49035,2360
49037,22
49039,25
49041,25
49043,76
49045,60
49047,44
49049,699
49051,22
49053,222
49055,1
49057,220
50001,27
50003,18
50005,11
50007,215
50009,9
50011,36
50013,6
50015,18
50017,14
50019,50
50021,88
50023,62
50025,51
50027,68
51001,121
51003,59
51005,6
51007,2
51009,28
51011,9
51013,208
51015,103
51017,2
51019,51
51021,13
51023,14
51025,68
51027,55
51029,61
51031,41
51033,21
51035,24
51036,2
51037,13
51041,128
51043,12
51045,3
51047,32
51049,1
51051,27
51053,33
51057,5
51059,931
51061,39
51063,5
51065,24
51067,41
51069,39
51071,11
51073,5
51075,25
51077,78
51079,6
51081,65
51083,39
51085,44
51087,137
51089,54
51091,1
51093,8
51095,17
51097,3
51099,12
51101,5
51103,6
51105,100
51107,195
51109,16
51111,36
51113,3
51115,2
51117,35
51119,14
51121,43
51125,6
51127,11
51131,3
51133,3
51135,57
