fips,var,val,year
12117,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3358(0.3743,0.2409,0.8011,0.2444)",2020
13295,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6948(0.8892,0.6229,0.3046,0.4074)",2020
13121,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.69(0.5761,0.2807,0.9268,0.8695)",2020
48009,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2301(0.394,0.584,0.3736,0.0321)",2020
21225,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2101(0.219,0.1544,0.5137,0.2919)",2020
39099,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6378(0.5582,0.7629,0.6184,0.5172)",2020
24510,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8682(0.8393,0.5633,0.9704,0.8635)",2020
26159,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.6887(0.6057,0.7428,0.5391,0.6652)",2020
27015,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0767(0.015,0.2635,0.1983,0.2906)",2020
18155,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7002(0.8428,0.7148,0.0773,0.5738)",2020
18127,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1655(0.147,0.1384,0.5115,0.3011)",2020
20083,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0824(0.1824,0.2327,0.3889,0.0239)",2020
42041,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1961(0.1108,0.1709,0.4605,0.4815)",2020
50003,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3167(0.2852,0.3119,0.1655,0.6034)",2020
51840,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8635(0.7721,0.8899,0.7377,0.7963)",2020
46003,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1569(0.1213,0.5083,0.3657,0.1521)",2020
45019,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.4519(0.4529,0.1053,0.7406,0.6362)",2020
13199,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8943(0.9443,0.7218,0.8256,0.7559)",2020
29027,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.2362(0.4208,0.0617,0.3355,0.3001)",2020
40109,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.825(0.7425,0.8399,0.837,0.6808)",2020
01059,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7298(0.704,0.8463,0.606,0.4908)",2020
05065,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5563(0.7489,0.2626,0.3421,0.5302)",2020
37089,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.3832(0.352,0.5232,0.5022,0.3135)",2020
12003,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.437(0.4962,0.1502,0.5656,0.5506)",2020
28037,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.5595(0.5563,0.8469,0.761,0.1754)",2020
48507,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9357(0.8943,0.9892,0.9978,0.4911)",2020
22117,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.9736(0.957,0.9796,0.732,0.8526)",2020
51013,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.1929(0.071,0.0124,0.7855,0.8405)",2020
19075,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.0025(0.0013,0.0764,0.0201,0.0181)",2020
40005,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.8036(0.7393,0.6645,0.6817,0.8396)",2020
48043,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.7849(0.7884,0.5993,0.8778,0.6429)",2020
29003,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.042(0.1528,0.099,0.1359,0.0309)",2020
21031,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)","0.684(0.6814,0.8291,0.1127,0.675)",2020
