rank,instr,k,category,tier,riskClass,criticality,footprint_score,footprint_frac_score,rank_gap,corroboration,DB,IR,nPlat,nDs,fracDs,allPubs,nKeywords,nProjects,nDaacs,firstStartYear,lastStartYear,R1_cmMentionPapers,R1b_platMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R4_modelTitlePubs,R5_nModelVars,R5_nSoleVars,R5_soleVars,soleKeyword,nSources
72,SMAP L-BAND RADAR,smap l-band radar,science instrument,B,—,20.5762,49.4623,43.0543,12.0,3,0.2105,0.0,1,61,15.25,836.0,16,2,4,2011,2025,0.0,4.0,0.0,0.0,1.0,11.0,0,0.0,,,2
73,AMR,amr,science instrument,B,—,20.5513,57.851,51.7585,-17.0,3,0.21,0.0,5,110,23.8194,124.0,26,12,4,1950,2022,1.0,16.0,0.0,0.0,0.0,5.0,0,0.0,,,2
74,ATMS,atms,science instrument,B,—,20.2074,88.4218,89.232,-68.0,3,0.2038,0.0,4,926,152.702,686.0,54,24,13,1978,2025,0.0,4.0,0.0,0.0,1.0,9.0,0,0.0,,,2
75,TMR,tmr,science instrument,B,—,19.9411,37.4885,15.4912,68.0,3,0.1989,0.0,1,26,3.25,72.0,10,8,3,1950,2021,1.0,12.0,0.0,0.0,0.0,5.0,0,0.0,,,2
76,CERES-FM6,ceres-fm6,science instrument,B,—,19.4859,74.017,66.0498,-50.0,3,0.1907,0.0,2,340,48.75,229.0,39,18,11,1978,2025,0.0,4.0,0.0,0.0,1.0,6.0,0,0.0,,,2
77,AMSR2,amsr2,science instrument,B,—,19.3123,52.769,75.2917,-15.0,3,0.1875,0.0,1,77,77.0,549.0,25,11,6,1978,2024,0.0,1.0,0.0,0.0,1.0,17.0,0,0.0,,,2
78,ATLAS,atlas,science instrument,C,"B: narrow, irreplaceable",19.1758,44.8463,63.9875,26.0,1,0.0592,0.4307,1,44,44.0,524.0,19,1,1,1985,2025,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,,BATHYMETRY/SEAFLOOR TOPOGRAPHY,1
79,OCO-2,oco-2,science instrument,B,—,18.6015,42.0268,46.2675,33.0,3,0.1746,0.0,1,36,18.0,159.0,6,3,1,2014,2019,6.0,2.0,2.0,11.0,0.0,0.0,0,0.0,,,2
80,SeaWiFS,seawifs,science instrument,B,—,18.3928,48.7479,66.5597,9.0,2,0.2253,0.0,2,58,50.0,77.0,14,5,4,1978,2005,20.0,0.0,8.0,4.0,0.0,0.0,0,0.0,,,2
81,C-SAR,c-sar,science instrument,B,—,18.3539,38.0123,56.6572,60.0,3,0.1701,0.0,5,27,30.5,842.0,16,1,3,1972,2024,0.0,4.0,0.0,0.0,1.0,3.0,0,0.0,,,2
82,ACE-FTS,ace-fts,science instrument,B,—,18.325,24.5548,35.0352,120.0,3,0.1695,0.0,1,10,10.0,19.0,3,1,1,1979,2004,6.0,0.0,2.0,27.0,0.0,2.0,0,0.0,,,2
83,IIR,iir,science instrument,B,—,18.1539,52.5831,52.9754,-20.0,2,0.221,0.0,1,76,25.3333,260.0,17,3,2,1979,2020,0.0,26.0,0.0,0.0,0.0,9.0,0,0.0,,,2
84,WFC,wfc,science instrument,B,—,18.1539,52.5831,52.9754,-20.0,2,0.221,0.0,1,76,25.3333,260.0,17,3,2,1979,2020,0.0,26.0,0.0,0.0,0.0,9.0,0,0.0,,,2
85,CALIOP,caliop,science instrument,B,—,18.1539,52.5831,52.9754,-20.0,2,0.221,0.0,1,76,25.3333,260.0,17,3,2,1979,2020,0.0,26.0,0.0,0.0,0.0,9.0,0,0.0,,,2
86,TIM,tim,science instrument,B,—,18.0586,35.1789,30.9111,74.0,3,0.1647,0.0,3,22,8.0,22.0,2,3,1,2003,2018,3.0,3.0,2.0,2.0,0.0,0.0,0,0.0,,,2
87,GOES-15 Imager,goes-15 imager,science instrument,B,—,16.6856,39.9357,38.7302,40.0,2,0.1943,0.0,2,31,12.1667,170.0,12,10,6,1966,2023,0.0,7.0,0.0,0.0,0.0,18.0,0,0.0,,,2
88,GOES N-P Imager,goes n-p imager,science instrument,B,—,16.6856,40.3789,35.6486,36.0,2,0.1943,0.0,3,32,10.3333,166.0,12,13,6,1966,2021,0.0,7.0,0.0,0.0,0.0,18.0,0,0.0,,,2
89,VAS,vas,science instrument,B,—,16.5762,31.6483,17.4133,83.0,2,0.1923,0.0,2,17,3.6667,163.0,16,8,4,1966,2015,0.0,7.0,0.0,0.0,0.0,17.0,0,0.0,,,2
90,GOES-16 Imager,goes-16 imager,science instrument,B,—,16.5762,43.5054,37.9346,18.0,2,0.1923,0.0,2,40,11.6667,218.0,21,16,7,1966,2022,0.0,7.0,0.0,0.0,0.0,17.0,0,0.0,,,2
91,SIM,sim,science instrument,B,—,16.3582,33.8686,25.7462,76.0,3,0.1338,0.0,2,20,6.0,22.0,2,2,1,2003,2018,2.0,3.0,1.0,1.0,0.0,0.0,0,0.0,,,2
92,SOLSTICE,solstice,science instrument,B,—,16.3582,30.825,18.8312,85.0,3,0.1338,0.0,1,16,4.0,20.0,2,1,1,2003,2003,2.0,3.0,1.0,1.0,0.0,0.0,0,0.0,,,2
93,SAGE II,sage ii,science instrument,B,—,16.2646,46.3639,28.4904,0.0,3,0.1321,0.0,1,49,7.0,57.0,7,5,2,1979,1985,5.0,1.0,1.0,1.0,0.0,0.0,0,0.0,,,2
94,ECOSTRESS,ecostress,science instrument,B,—,16.0714,60.3467,38.3242,-51.0,3,0.1286,0.0,1,131,11.9091,350.0,37,10,6,1979,2022,2.0,2.0,0.0,0.0,0.0,2.0,0,0.0,,,2
95,ABI,abi,science instrument,B,—,15.5456,49.2281,52.9754,-8.0,3,0.119,0.0,4,60,25.3333,59.0,17,20,5,1982,2023,1.0,4.0,0.0,0.0,0.0,1.0,0,0.0,,,2
