k,instr,nPlat,nDs,nKeywords,nProjects,nDaacs,allPubs,dsWithPubs,firstStartYear,lastStartYear,nDsDated,R1_cmMentionPapers,R2_cmModelPapers,R2_cmDistinctModels,R3_doiPapers,R3_doiDatasets,R4_modelTitlePubs,R4_modelTitleDatasets,R1b_platMentionPapers,R5_nSoleVars,R5_soleVars,fracDs,R5_nModelVars,category,soleKeyword
erb-scanner,ERB-SCANNER,3,129,32,15,7,644.0,26.0,1970,2016,129,0.0,0.0,0.0,1.0,1.0,19.0,4.0,5.0,0.0,,22.6,0,science instrument,
erbe,ERBE,3,129,32,15,7,644.0,26.0,1970,2016,129,8.0,4.0,3.0,1.0,1.0,19.0,4.0,5.0,0.0,,22.6,0,science instrument,
erbe wfov nonscanner,ERBE WFOV Nonscanner,2,72,23,13,5,189.0,13.0,1978,1992,72,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,,11.9,0,science instrument,
ers-1 altimeter,ERS-1 ALTIMETER,1,25,26,8,4,738.0,19.0,1985,2021,25,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,,2.08333,0,science instrument,
ers-2 altimeter,ERS-2 Altimeter,1,24,27,9,5,744.0,19.0,1985,2021,24,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,,2.66667,0,science instrument,
esmr,ESMR,2,27,12,3,2,49.0,4.0,1970,1978,27,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,4.83333,0,science instrument,
etm+,ETM+,2,61,33,4,4,648.0,36.0,1948,2013,61,5.0,1.0,1.0,1.0,1.0,15.0,4.0,48.0,0.0,,60.0,0,science instrument,
gedi,GEDI,1,131,37,10,6,350.0,47.0,1979,2022,131,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,TOTVEGC_ABG,11.9091,0,science instrument,
geos-3 altimeter,GEOS-3 ALTIMETER,1,2,5,2,2,0.0,0.0,1975,1975,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,science instrument,
gfc radiometer,GFC RADIOMETER,3,6,3,1,1,0.0,0.0,1984,1994,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0,science instrument,
gfo altimeter,GFO Altimeter,1,3,2,1,1,32.0,3.0,1993,2021,3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,,3.0,0,science instrument,
gis,GIS,1,7,9,1,2,181.0,5.0,2002,2012,7,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,3.5,0,platform/bus subsystem,
glas,GLAS,2,24,22,1,2,242.0,22.0,1958,2007,24,2.0,0.0,0.0,1.0,1.0,9.0,3.0,17.0,0.0,,5.57143,0,science instrument,
glm,GLM,4,45,17,13,5,57.0,12.0,1982,2023,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,21.0,0,science instrument,
gmi,GMI,1,51,13,9,3,166.0,33.0,1982,2022,51,1.0,1.0,1.0,1.0,1.0,13.0,6.0,7.0,0.0,,25.5,0,science instrument,
gnss,GNSS,1,49,12,4,3,24.0,7.0,1992,2020,49,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.44444,0,generic GCMD class,
