clade,species,records,individuals,places_n,first,last
Bird,Dryocopus pileatus,16,20,16,2018-02-09,2024-04-22
Bird,Dumetella carolinensis,12,13,12,2014-03-01,2023-01-19
Bird,Egretta caerulea,44,85,44,2005-12-22,2024-04-16
Bird,Egretta rufescens,8,12,8,2012-11-08,2024-02-11
Bird,Egretta thula,29,48,29,2014-04-11,2024-03-09
Bird,Egretta tricolor,42,67,42,2010-03-17,2024-03-27
Bird,Elanoides forficatus,19,19,19,2011-05-03,2024-03-09
Bird,Empidonax minimus,1,1,1,2022-10-10,2022-10-10
Bird,Eudocimus albus,79,136,79,2012-03-19,2024-03-26
Bird,Falco columbarius,2,2,2,2018-10-24,2023-12-03
Bird,Falco peregrinus,3,4,3,2019-12-17,2021-10-13
Bird,Falco sparverius,11,11,11,2019-01-21,2024-02-13
Bird,Falco sparverius paulus,1,1,1,2022-06-10,2022-06-10
Bird,Fregata magnificens,9,9,9,1986-04-30,2024-01-27
Bird,Fulica americana,11,19,11,2015-05-10,2023-10-21
Bird,Gallinago delicata,4,4,4,2022-11-27,2023-02-18
Bird,Gallinula galeata,40,63,40,2011-12-29,2024-04-22
Bird,Gallinula galeata cachinnans,1,1,1,2023-05-01,2023-05-01
Bird,Gallus gallus f. domesticus,5,9,5,2013-07-02,2024-03-02
Bird,Gavia immer,1,1,1,2022-02-06,2022-02-06
Bird,Gelochelidon nilotica,2,2,2,2013-07-11,2023-06-18
Bird,Geothlypis formosa,1,1,1,2023-09-10,2023-09-10
Bird,Geothlypis trichas,13,14,13,2013-01-08,2024-04-21
Bird,Grus americana,2,2,2,2017-03-10,2023-01-04
Bird,Haematopus palliatus,1,1,1,2023-03-15,2023-03-15
Bird,Haemorhous mexicanus,9,9,9,2013-04-20,2024-05-12
Bird,Haemorhous mexicanus frontalis,1,1,1,2018-12-05,2018-12-05
Bird,Haemorhous purpureus,1,1,1,2020-11-21,2020-11-21
Bird,Haliaeetus leucocephalus,18,24,18,2010-02-10,2024-04-15
Bird,Haliaeetus leucocephalus leucocephalus,1,1,1,2019-12-06,2019-12-06
Bird,Helmitheros vermivorum,2,2,2,2017-08-17,2024-04-23
Bird,Himantopus mexicanus,6,7,6,2020-02-16,2024-04-01
Bird,Hirundo rustica,4,4,4,2010-04-20,2021-05-30
Bird,Hydroprogne caspia,2,2,2,2019-04-14,2021-02-02
Bird,Icteria virens,1,1,1,2009-03-12,2009-03-12
Bird,Icterus galbula,6,7,6,2016-01-10,2023-01-16
Bird,Icterus pectoralis,4,5,4,2012-12-08,2023-04-16
Bird,Ictinia mississippiensis,4,4,4,2020-05-22,2023-06-24
Bird,Ixobrychus exilis,1,1,1,2015-05-16,2015-05-16
Bird,Lanius ludovicianus,18,23,18,2015-04-28,2024-03-28
Bird,Larus argentatus,5,5,5,2021-03-16,2022-11-14
Bird,Larus delawarensis,10,11,10,2016-12-26,2024-03-02
Bird,Larus fuscus graellsii,3,3,3,2022-11-12,2024-03-20
Bird,Larus fuscus,1,1,1,2020-02-21,2020-02-21
Bird,Larus marinus,1,1,1,2020-06-01,2020-06-01
Bird,Leiothlypis celata,2,2,2,2020-11-06,2024-02-22
Bird,Leiothlypis peregrina,2,2,2,2022-10-01,2023-09-14
Bird,Leiothlypis ruficapilla,1,1,1,2023-01-29,2023-01-29
Bird,Leucophaeus atricilla,30,40,30,2005-06-30,2024-04-28
Bird,Limnodromus griseus,6,7,6,2022-03-05,2024-03-28
Bird,Limnodromus scolopaceus,2,3,2,2013-02-16,2016-04-03
Bird,Limosa fedoa,5,5,5,2007-03-12,2023-10-01
Bird,Lonchura punctulata,1,1,1,2022-12-26,2022-12-26
Bird,Lophodytes cucullatus,8,10,8,2018-11-17,2024-01-26
Bird,Mareca americana,2,2,2,1991-02-03,2023-01-28
Bird,Megaceryle alcyon,11,14,11,2018-12-22,2023-03-23
Bird,Megascops asio,6,6,6,2020-04-18,2024-01-28
Bird,Melanerpes carolinus,33,47,33,2007-09-11,2024-05-02
Bird,Melanerpes erythrocephalus,2,2,2,2023-07-01,2023-12-02
Bird,Meleagris gallopavo,11,12,11,2018-03-17,2024-01-28
Bird,Meleagris gallopavo osceola,1,1,1,2023-05-17,2023-05-17
Bird,Melospiza georgiana,4,5,4,2020-03-15,2023-01-20
Bird,Mergus serrator,11,12,11,2011-12-24,2024-03-24
Bird,Mimus polyglottos,42,67,42,2016-05-21,2024-04-28
Bird,Mniotilta varia,11,16,11,2014-03-11,2024-04-26
Bird,Molothrus aeneus,2,2,2,2020-07-20,2021-01-17
Bird,Molothrus ater,1,1,1,2020-02-01,2020-02-01
Bird,Mycteria americana,34,50,34,2007-02-10,2024-04-28
Bird,Myiarchus cinerascens,2,2,2,2021-01-15,2023-12-20
Bird,Myiarchus crinitus,11,14,11,2016-04-23,2024-04-07
Bird,Myiarchus sagrae,1,1,1,2023-01-26,2023-01-26
Bird,Myiopsitta monachus,5,5,5,2019-12-29,2023-12-12
Bird,Nannopterum auritum,29,46,29,2013-10-26,2024-05-13
Bird,Nannopterum brasilianum,1,1,1,2024-04-27,2024-04-27
Bird,Nomonyx dominicus,1,1,1,2006-12-03,2006-12-03
Bird,Nyctanassa violacea,24,36,24,2007-01-26,2024-04-26
Bird,Nyctanassa violacea violacea,1,1,1,2021-11-27,2021-11-27
Bird,Nycticorax nycticorax,12,19,12,2009-12-26,2024-03-06
Bird,Nycticorax nycticorax hoactli,1,1,1,2021-12-18,2021-12-18
Bird,Onychoprion anaethetus,1,1,1,2024-04-30,2024-04-30
Bird,Oporornis agilis,1,1,1,2022-05-10,2022-05-10
Bird,Oxyura jamaicensis,3,3,3,2021-12-03,2023-01-28
Bird,Pandion haliaetus,47,63,47,2013-12-20,2024-05-12
Bird,Pandion haliaetus carolinensis,3,3,3,2010-01-09,2024-01-11
Bird,Parkesia noveboracensis,2,2,2,2021-05-02,2021-09-18
Bird,Passer domesticus,15,19,15,2020-07-06,2024-04-27
Bird,Passerculus sandwichensis,5,8,5,2016-12-28,2023-12-23
Bird,Passerina caerulea,2,2,2,2022-02-20,2023-05-05
Bird,Passerina ciris,7,8,7,2020-04-18,2024-04-02
Bird,Passerina ciris ciris,1,1,1,2015-01-20,2015-01-20
Bird,Passerina cyanea,2,2,2,2021-05-15,2022-03-25
Bird,Patagioenas leucocephala,2,2,2,2018-02-23,2023-12-24
Bird,Pavo cristatus,13,15,13,2016-11-12,2024-01-20
Bird,Pelecanus erythrorhynchos,9,13,9,2013-01-21,2024-02-20
Bird,Pelecanus occidentalis,31,46,31,2006-08-09,2024-03-18
Bird,Peucaea aestivalis,1,1,1,2023-02-19,2023-02-19
Bird,Pheucticus ludovicianus,2,2,2,2011-10-17,2023-05-01
Bird,Phoenicopterus ruber,1,2,1,2022-01-26,2022-01-26
Bird,Pipilo erythrophthalmus,7,8,7,2020-04-11,2023-05-30
Bird,Pipilo erythrophthalmus alleni,1,1,1,2024-03-13,2024-03-13
Bird,Piranga ludoviciana,1,1,1,2023-12-23,2023-12-23
Bird,Piranga olivacea,2,2,2,2019-10-17,2023-04-22
Bird,Piranga rubra,3,3,3,2018-10-14,2024-05-09
Bird,Platalea ajaja,20,30,20,2017-10-27,2024-01-07
Bird,Plegadis chihi,1,1,1,2008-12-14,2008-12-14
Bird,Plegadis falcinellus,17,21,17,2017-01-14,2024-03-30
Bird,Pluvialis squatarola,9,15,9,2009-12-26,2024-02-28
Bird,Podiceps auritus,2,3,2,2021-12-14,2022-12-06
Bird,Podilymbus podiceps,16,20,16,2011-12-04,2024-01-20
Bird,Poecile carolinensis,6,6,6,2018-02-04,2024-01-01
Bird,Polioptila caerulea,17,22,17,2013-11-15,2024-04-12
Bird,Porphyrio martinica,12,24,12,2013-12-01,2024-04-04
Bird,Porphyrio poliocephalus,9,10,9,2018-03-05,2024-02-03
Bird,Porphyrio poliocephalus poliocephalus,1,1,1,2015-01-15,2015-01-15
Bird,Porzana carolina,3,4,3,2017-02-21,2024-04-26
Bird,Progne subis,4,6,4,2018-05-13,2024-04-27
Bird,Protonotaria citrea,1,1,1,2023-04-11,2023-04-11
Bird,Psittacara erythrogenys,2,2,2,2023-02-20,2024-02-22
Bird,Psittacara mitratus,1,1,1,2022-02-03,2022-02-03
Bird,Psittacara sp.,1,1,1,2023-02-20,2023-02-20
Bird,Psittacula krameri,1,1,1,2024-03-16,2024-03-16
Bird,Pycnonotus jocosus,1,1,1,2024-03-09,2024-03-09
Bird,Pyrocephalus rubinus,1,1,1,2022-11-29,2022-11-29
Bird,Quiscalus major torreyi,1,1,1,2006-10-26,2006-10-26
Bird,Quiscalus major,44,68,44,2007-04-01,2024-04-30
Bird,Quiscalus major westoni,7,8,7,2021-05-30,2023-09-18
Bird,Quiscalus quiscula,12,14,12,2019-03-20,2024-05-01
Bird,Rallus crepitans,2,2,2,2017-02-22,2017-09-21
Bird,Recurvirostra americana,2,2,2,2023-04-18,2023-12-14
Bird,Rostrhamus sociabilis,8,14,8,2009-11-20,2023-05-02
Bird,Rostrhamus sociabilis plumbeus,1,1,1,2022-12-11,2022-12-11
Bird,Rynchops niger,7,10,7,2019-12-14,2024-01-22
Bird,Sayornis phoebe,19,26,19,2017-01-01,2024-03-17
Bird,Seiurus aurocapilla,7,7,7,2018-02-27,2023-12-05
Bird,Selasphorus calliope,1,1,1,2022-12-21,2022-12-21
Bird,Setophaga americana,13,14,13,2017-08-19,2024-05-05
Bird,Setophaga caerulescens,4,5,4,2019-10-17,2023-10-24
Bird,Setophaga castanea,1,1,1,2020-10-02,2020-10-02
Bird,Setophaga citrina,4,4,4,2016-09-11,2022-09-15
Bird,Setophaga coronata,14,18,14,2010-03-14,2024-03-20
