county,fips5,bridge,county_name,individuals_amphibian,individuals_bird,records_amphibian,records_bird,species_n_amphibian,species_n_bird,sentinel_species,best_tier_w,sentinel_records,best_tier,host_species,frs_facilities,spoke_chemicals_found,spoke_sdoh_measures,adult_asthma_pct,per_capita_income,cm_cities,rcms,climate_papers,lat,lon,total_species,total_records,pfas_samples_in_county,log_facilities,n_sentinel_species,n_best_tier_w,n_host_species,n_log_facilities,n_total_species,n_adult_asthma_pct,priority,rank,conf_tier,evidence,sources_n,sources
Gadsden County,12039,verified L8,Gadsden,27.0,5.0,15.0,4.0,15.0,4.0,0.0,0.0,0.0,none,0.0,402,146,983,10.4,21087,0,0,0,30.54571566514775,-84.53430424051304,19.0,19.0,0,2.60422605308447,0.0,0.0,0.0,0.3539104548779188,0.1651376146788991,1.0,0.11393714449360713,43,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 19 spp. observed (4 bird / 15 amphibian); 402 EPA FRS facilities; adult asthma 10.4%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Saint Lucie County,12111,repaired Saint->St.,St. Lucie,11.0,5.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,none,0.0,1706,143,1106,8.4,28426,2,3,0,27.44682143438291,-80.51948770224774,10.0,10.0,0,3.231979026831504,0.0,0.0,0.0,0.6513669512029187,0.08256880733944955,0.31034482758620696,0.10441522047778902,44,C,"0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 10 spp. observed (4 bird / 6 amphibian); 1,706 EPA FRS facilities; adult asthma 8.4%; contaminant samples in county: 0",6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Levy County,12075,verified L8,Levy,40.0,9.0,16.0,7.0,16.0,7.0,0.0,0.0,0.0,none,0.0,326,141,971,9.5,22772,0,0,0,29.1524113491336,-82.94070012870873,23.0,23.0,0,2.513217600067939,0.0,0.0,0.0,0.31078671560087556,0.2018348623853211,0.689655172413793,0.09801569660288646,45,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 23 spp. observed (7 bird / 16 amphibian); 326 EPA FRS facilities; adult asthma 9.5%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Walton County,12131,verified L8,Walton,26.0,6.0,11.0,6.0,11.0,6.0,0.0,0.0,0.0,none,0.0,788,141,1027,8.5,35996,1,3,0,30.240197150846896,-86.32236411121448,17.0,17.0,0,2.8965262174895554,0.0,0.0,0.0,0.4924149087241145,0.14678899082568808,0.3448275862068965,0.09541373716457802,46,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 17 spp. observed (6 bird / 11 amphibian); 788 EPA FRS facilities; adult asthma 8.5%; contaminant samples in county: 0,6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Columbia County,12023,verified L8,Columbia,11.0,3.0,9.0,3.0,9.0,3.0,0.0,0.0,0.0,none,0.0,434,143,1040,9.7,24569,0,0,0,30.269742937978908,-82.58522833564639,12.0,12.0,0,2.637489729512511,0.0,0.0,0.0,0.36967222273719896,0.10091743119266056,0.758620689655172,0.09541096726626835,47,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 12 spp. observed (3 bird / 9 amphibian); 434 EPA FRS facilities; adult asthma 9.7%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Washington County,12133,verified L8,Washington,30.0,1.0,12.0,1.0,12.0,1.0,0.0,0.0,0.0,none,0.0,426,142,970,9.5,19375,0,0,0,30.687086436053985,-85.65498721979255,13.0,13.0,0,2.629409599102719,0.0,0.0,0.0,0.3658435076501171,0.11009174311926606,0.689655172413793,0.09269590614420829,48,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 13 spp. observed (1 bird / 12 amphibian); 426 EPA FRS facilities; adult asthma 9.5%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Nassau County,12089,verified L8,Nassau,11.0,10.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,none,0.0,616,146,1041,8.5,37787,0,0,0,30.492469589551472,-81.53918408848806,15.0,15.0,0,2.7895807121644256,0.0,0.0,0.0,0.4417395051145748,0.12844036697247707,0.3448275862068965,0.08694736763051583,49,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 15 spp. observed (8 bird / 7 amphibian); 616 EPA FRS facilities; adult asthma 8.5%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Flagler County,12035,verified L8,Flagler,13.0,2.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,none,0.0,605,142,1070,8.5,32722,1,3,0,29.441752960549007,-81.37840920315203,8.0,8.0,0,2.781755374652469,0.0,0.0,0.0,0.438031521917023,0.06422018348623854,0.3448275862068965,0.07815378579359859,50,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 8 spp. observed (2 bird / 6 amphibian); 605 EPA FRS facilities; adult asthma 8.5%; contaminant samples in county: 0,6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Gulf County,12045,verified L8,Gulf,27.0,5.0,11.0,4.0,11.0,4.0,0.0,0.0,0.0,none,0.0,170,141,928,9.5,27626,0,0,0,29.80367220010124,-85.19096920056063,15.0,15.0,0,2.230448921378274,0.0,0.0,0.0,0.1767986917267398,0.12844036697247707,0.689655172413793,0.07239584933432044,51,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 15 spp. observed (4 bird / 11 amphibian); 170 EPA FRS facilities; adult asthma 9.5%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Sumter County,12119,verified L8,Sumter,11.0,4.0,7.0,4.0,7.0,4.0,0.0,0.0,0.0,none,0.0,550,142,1029,7.9,35879,1,3,0,28.53545531224325,-82.1186953043933,11.0,11.0,0,2.7403626894942437,0.0,0.0,0.0,0.41841787830948013,0.09174311926605505,0.13793103448275873,0.0690333026258627,52,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 11 spp. observed (4 bird / 7 amphibian); 550 EPA FRS facilities; adult asthma 7.9%; contaminant samples in county: 0,6,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn', 'climatemodelskg']"
Taylor County,12123,verified L8,Taylor,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,none,0.0,210,147,949,9.8,19492,0,0,0,29.867772491664454,-83.38071940996305,3.0,3.0,0,2.322219294733919,0.0,0.0,0.0,0.22028346179778915,0.01834862385321101,0.7931034482758622,0.06847450893044524,53,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 3 spp. observed (2 bird / 1 amphibian); 210 EPA FRS facilities; adult asthma 9.8%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Suwannee County,12121,verified L8,Suwannee,6.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,none,0.0,303,142,1003,9.1,23389,0,0,0,30.017704714660187,-82.79762265632753,5.0,5.0,0,2.481442628502305,0.0,0.0,0.0,0.2957303604611725,0.03669724770642202,0.5517241379310343,0.06784449235372728,54,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 5 spp. observed (1 bird / 4 amphibian); 303 EPA FRS facilities; adult asthma 9.1%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Baker County,12003,verified L8,Baker,32.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,none,0.0,150,140,951,9.3,24051,0,0,0,30.45721609635384,-82.25650767548719,13.0,13.0,0,2.1760912590556813,0.0,0.0,0.0,0.15104168147096433,0.11009174311926606,0.6206896551724139,0.063471411140641,55,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 13 spp. observed (0 bird / 13 amphibian); 150 EPA FRS facilities; adult asthma 9.3%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
DeSoto County,12027,verified L8,DeSoto,3.0,4.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,none,0.0,263,141,975,8.8,18193,0,0,0,27.15938340081132,-81.74374798691413,6.0,6.0,0,2.419955748489758,0.0,0.0,0.0,0.2665952186723293,0.045871559633027525,0.4482758620689657,0.060368522096421386,56,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 6 spp. observed (4 bird / 2 amphibian); 263 EPA FRS facilities; adult asthma 8.8%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Holmes County,12059,verified L8,Holmes,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,none,0.0,126,141,925,10.1,19028,0,0,0,30.858910952458704,-85.8772468924296,1.0,1.0,0,2.100370545117563,0.0,0.0,0.0,0.11516193384855539,0.0,0.8965517241379308,0.05864701826872319,57,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 1 spp. observed (0 bird / 1 amphibian); 126 EPA FRS facilities; adult asthma 10.1%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Madison County,12079,verified L8,Madison,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,none,0.0,166,143,926,9.6,18909,0,0,0,30.43237542370881,-83.48353451957558,2.0,2.0,0,2.220108088040055,0.0,0.0,0.0,0.17189875786341263,0.009174311926605505,0.7241379310344825,0.05802740804579236,58,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 2 spp. observed (0 bird / 2 amphibian); 166 EPA FRS facilities; adult asthma 9.6%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Hamilton County,12047,verified L8,Hamilton,4.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,none,0.0,122,141,919,9.9,15532,0,0,0,30.523784623728403,-82.96235429911742,4.0,4.0,0,2.0863598306747484,0.0,0.0,0.0,0.10852305167123401,0.027522935779816515,0.8275862068965517,0.05798005819675181,59,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 4 spp. observed (1 bird / 3 amphibian); 122 EPA FRS facilities; adult asthma 9.9%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Glades County,12043,verified L8,Glades,7.0,1.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,none,0.0,200,140,917,9.0,22128,0,0,0,26.997203195715787,-81.37816793850926,6.0,6.0,0,2.3010299956639813,0.0,0.0,0.0,0.21024305589846773,0.045871559633027525,0.5172413793103448,0.05705453842562694,60,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 6 spp. observed (1 bird / 5 amphibian); 200 EPA FRS facilities; adult asthma 9.0%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Hardee County,12049,verified L8,Hardee,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,none,0.0,203,140,968,8.9,20181,0,0,0,27.446500416457276,-81.72937125003942,5.0,5.0,0,2.307496037913213,0.0,0.0,0.0,0.21330694623906685,0.03669724770642202,0.48275862068965525,0.05450540678500565,61,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 5 spp. observed (2 bird / 3 amphibian); 203 EPA FRS facilities; adult asthma 8.9%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Gilchrist County,12041,verified L8,Gilchrist,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,none,0.0,123,140,903,9.5,22775,0,0,0,29.70267721799804,-82.79035312255256,1.0,1.0,0,2.089905111439398,0.0,0.0,0.0,0.11020295895776812,0.0,0.689655172413793,0.047707113695621826,62,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 1 spp. observed (0 bird / 1 amphibian); 123 EPA FRS facilities; adult asthma 9.5%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Calhoun County,12013,verified L8,Calhoun,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,none,0.0,117,140,924,9.1,19512,0,0,0,30.3946890531829,-85.27724460622655,3.0,3.0,0,2.0681858617461617,0.0,0.0,0.0,0.09991143954369791,0.01834862385321101,0.5517241379310343,0.041960900742712894,63,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 3 spp. observed (0 bird / 3 amphibian); 117 EPA FRS facilities; adult asthma 9.1%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
Lafayette County,12067,verified L8,Lafayette,3.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,none,0.0,83,140,853,9.2,17022,0,0,0,29.98566043741613,-83.05917885028005,4.0,4.0,0,1.919078092376074,0.0,0.0,0.0,0.029257732581673367,0.027522935779816515,0.5862068965517239,0.036399254388763146,64,C,0 sentinel-capable sp. (best tier none); 0 pathogen-host sp.; 4 spp. observed (1 bird / 3 amphibian); 83 EPA FRS facilities; adult asthma 9.2%; contaminant samples in county: 0,5,"['wildlifekn', 'spatialkg', 'sawgraph', 'fiokg', 'spoke-okn']"
