comid,s2
10266126,9829587686929727488
10266146,9829352460160860160
10266182,9829199387526430720
10266202,9829352322721906688
10266242,9829190935030792192
10266244,9829190935030792192
10266272,9829197463381082112
10266276,9829197463381082112
10266282,9829190935030792192
10266288,9829197429021343744
10266290,9829197429021343744
10266290,9829197463381082112
10266300,9829197429021343744
10266312,9829197463381082112
10266334,9829191553506082816
10266350,9829191553506082816
10266350,9829191656585297920
10266352,9829191553506082816
10266352,9829191656585297920
10266358,9829190144756809728
10266360,9829191656585297920
10266480,9829392111298936832
10266482,9829392111298936832
10266484,9829392111298936832
10266486,9829392111298936832
10266488,9829392111298936832
10266490,9829392111298936832
10266496,9829392592335273984
10266536,9829197463381082112
10266538,9829197463381082112
10266540,9829197463381082112
10266558,9829392557975535616
10266628,9829197429021343744
10283700,9830625179229749248
10299573,9829153104958849024
10299603,9818552816434675712
10299603,9829152623922511872
10299663,9829142006763356160
10299663,9829142144202309632
10299663,9829142178562048000
10300083,9829620878436990976
10300085,9829620878436990976
10300087,9829620878436990976
10300089,9829620672278560768
10300091,9829620672278560768
10300097,9829621222034374656
10300099,9829621222034374656
10300107,9829620672278560768
10300179,9829619366608502784
10300187,9829619366608502784
10300189,9829619366608502784
10300201,9829619366608502784
10300201,9829619813285101568
10300281,9829199387526430720
10300295,9829164649830940672
10300363,9829199387526430720
10300483,9829199112648523776
10300613,9829163069282975744
10300633,9829196810546053120
10300661,9829196570027884544
10300711,9829190076037332992
10300777,9829196501308407808
10300791,9829196295149977600
10300791,9829196329509715968
10300795,9829190247836024832
10300797,9829190076037332992
10300799,9829196295149977600
10300801,9829196295149977600
10300801,9829196329509715968
10300803,9829156747091116032
10300825,9829196295149977600
10300825,9829196329509715968
10300913,9829195882833117184
10300913,9829196295149977600
10300923,9829192378139803648
10300923,9829192549938495488
10300953,9829156884530069504
10301007,9829160148705214464
10301009,9829156884530069504
10301027,9829157606084575232
10301033,9829196192070762496
10301171,9829160114345476096
10301171,9829160148705214464
10301455,9829182516894892032
10301475,9829182516894892032
10301619,9829170147389079552
10301679,9829170147389079552
10301965,9829172208973381632
10302023,9829172758729195520
10302167,9829144480664518656
10302187,9829144480664518656
10302209,9829144480664518656
10302221,9829171453059137536
10302231,9829176503940677632
10302233,9829144480664518656
10302235,9829144480664518656
10302293,9829176503940677632
10302609,9829619366608502784
10302647,9829157606084575232
10302647,9829157674804051968
10302647,9829158052761174016
10302649,9829157606084575232
10302651,9829156884530069504
10302651,9829156918889807872
10302655,9829159152272801792
10302655,9829160114345476096
10302655,9829160148705214464
10302655,9829160870259720192
10302753,9829176503940677632
10302843,9829163069282975744
10302857,9829196810546053120
10302957,9829176503940677632
10302959,9829176503940677632
10356698,9829501993742237696
10356770,9829504776881045504
10357098,9830990079651217408
10357100,9830990079651217408
10357592,9830990079651217408
10358082,9829350261137604608
10358084,9829350261137604608
10358086,9829348165193564160
10358086,9829350089338912768
10358524,9829348165193564160
10358534,9831117176323440640
10358716,9831117176323440640
10358724,9829348165193564160
10597142,9797237958896517120
10597146,9797237958896517120
10597222,9797237958896517120
10597224,9797237958896517120
10597226,9797237958896517120
10609192,9791444632129765376
10609192,9791445353684271104
10609194,9791443670057091072
10609196,9791443670057091072
10609198,9791443670057091072
10609200,9791443670057091072
10609206,9791443670057091072
10609500,9791443670057091072
10609508,9791443670057091072
10969157,9802648689976541184
1099824,5959063490210562048
1099824,5959149973672034304
1099830,5959149973672034304
1099866,5959146915655319552
1099918,5959171482868252672
1099920,5959171482868252672
1099922,5959171482868252672
1099932,5959171482868252672
1099988,5959171551587729408
1099992,5959171551587729408
1100012,5959185673440198656
1100012,5959186566793396224
1100014,5959159628758515712
1100016,5959159628758515712
1100018,5959159628758515712
1100022,5959159628758515712
1100026,5959186566793396224
1100030,5959167909455462400
1100042,5959168081254154240
1100056,5959158254368980992
1100058,5959152035256336384
1100062,5959160419032498176
1100064,5959152035256336384
1100078,5959158151289765888
1100078,5959158254368980992
1100080,5959152035256336384
1100086,5959161106227265536
1100086,5959161278025957376
1100092,5959161243666219008
1100092,5959161278025957376
1100100,5959058473688760320
1100102,5959058473688760320
1100106,5959058473688760320
1100116,5959060226035417088
1100118,5959057889573208064
1100118,5959058301890068480
1100120,5959164026805026816
1100138,5959188594017959936
1100390,5959146881295581184
