s2_l13,n_buildings,max_depth,mean_depth,lat,lng
6004673637712396288,1,0.131,0.131,43.2483,-112.122
6004702740410793984,1,0.141,0.141,43.2532,-112.165
6004723631131721728,2,1.205,1.1895,43.17145,-112.374
6004723665491460096,8,1.805,0.403625,43.17685,-112.3635
6004723699851198464,17,0.323,0.2103529411764706,43.177829411764705,-112.3615294117647
6004723837290151936,120,0.323,0.30983333333333335,43.173415,-112.33782500000001
6004723871649890304,4,1.635,0.53,43.17335,-112.356
6004724318326489088,1,1.521,1.521,43.1717,-112.359
6004724352686227456,3,1.799,1.3630000000000002,43.17113333333333,-112.37366666666667
6004724421405704192,4,1.399,1.22425,43.163575,-112.40625
6004725074240733184,10,0.953,0.7767999999999999,43.165459999999996,-112.4069
6004734660607737856,5,0.323,0.323,43.184219999999996,-112.3022
6004734694967476224,3,0.323,0.253,43.1772,-112.30966666666666
6004734798046691328,13,0.323,0.11107692307692307,43.175376923076925,-112.3280769230769
6004735347802505216,9,0.323,0.2767777777777778,43.19202222222222,-112.29533333333333
6089663550077272064,1,1.107,1.107,48.8218,-119.502
6089663584437010432,25,1.107,0.19788,48.81662,-119.51799999999999
6089663618796748800,33,1.107,0.9922121212121213,48.81250303030303,-119.50666666666666
6089663756235702272,1,0.16,0.16,48.8337,-119.525
6090292367649144832,2,0.115,0.0785,48.5291,-121.999
6090312021419491328,1,0.302,0.302,48.4666,-121.843
6090314220442746880,1,0.091,0.091,48.3991,-121.773
6090374143826460672,19,2.224,1.190736842105263,48.20966315789474,-122.27757894736841
6090374178186199040,1,2.007,2.007,48.2141,-122.291
6090374727942012928,16,1.708,0.5635,48.22554375,-122.3373125
6090374762301751296,29,3.691,2.3221379310344825,48.21763793103448,-122.32906896551725
6090374831021228032,5,2.751,1.8652000000000002,48.21136,-122.2982
6090374865380966400,6,6.208,3.465833333333333,48.206050000000005,-122.28366666666666
6090374899740704768,1,2.99,2.99,48.2072,-122.303
6090374934100443136,32,3.882,2.4043437500000002,48.210146875,-122.31465625
6090374968460181504,8,4.112,3.107875,48.2089,-122.32525
6090375140258873344,21,2.943,2.4619999999999997,48.21479047619047,-122.33385714285714
6090375243338088448,9,2.137,1.9154444444444445,48.22877777777778,-122.37166666666667
6090375277697826816,30,2.138,1.3784333333333334,48.23009666666667,-122.3597
6090375312057565184,37,2.138,1.3562432432432432,48.237275675675676,-122.36702702702702
6090375346417303552,1,1.843,1.843,48.2294,-122.374
6090375380777041920,5,7.003,6.2863999999999995,48.2418,-122.3854
6090375483856257024,189,9.51,1.1604179894179896,48.242402645502644,-122.37391005291006
6090375724374425600,2,0.441,0.3045,48.22845,-122.3445
6090475298896216064,1,0.186,0.186,48.9441,-122.465
6090492650564091904,1,1.224,1.224,48.9728,-122.713
6093519159398760448,1,0.006,0.006,47.4421,-121.747
6095665749693562880,1,0.077,0.077,46.3434,-120.179
6095665784053301248,1,0.077,0.077,46.3431,-120.187
6095982134164455424,1,0.149,0.149,47.1598,-119.26
6095982271603408896,15,0.149,0.149,47.16612666666666,-119.24406666666667
6095982305963147264,64,0.149,0.149,47.16400625,-119.254234375
6095982340322885632,19,0.149,0.149,47.170615789473686,-119.25578947368422
6095982443402100736,20,0.149,0.149,47.173610000000004,-119.2542
6095991617452244992,1,0.14,0.14,47.3127,-119.335
6095991926689890304,1,0.14,0.14,47.3324,-119.335
6095991995409367040,4,0.14,0.14,47.320425,-119.34
6096391289928941568,1,0.242,0.242,47.907,-121.733
6096391427367895040,1,0.242,0.242,47.9224,-121.745
6096392801757429760,2,2.051,1.2375,47.86865,-121.7175
6101065073340448768,1,1.736,1.736,42.4692,-114.172
6102284191217483776,1,0.091,0.091,43.6843,-116.399
6102284294296698880,35,2.588,1.5755142857142856,43.683145714285715,-116.40602857142856
6102284397375913984,13,2.251,1.3114615384615385,43.67406153846154,-116.42238461538462
6102284431735652352,1,1.742,1.742,43.6761,-116.425
6105161475708420096,1,0.064,0.064,43.5399,-119.572
9260901821864476672,6,1.15,0.5095,38.045233333333336,-121.64
9260901856224215040,65,1.99,1.0075076923076922,38.04211230769231,-121.63300000000001
9260901890583953408,164,2.215,1.2248780487804878,38.03816768292683,-121.62993902439025
9260942297636274176,1,0.143,0.143,37.953,-122.27
9263905721991299072,1,0.047,0.047,37.9916,-121.539
