fips,rucc,pop
20031,6,8601
20033,9,1891
20035,4,36311
20037,4,39134
20039,9,2961
20041,7,19754
20043,3,7945
20045,3,110826
20047,9,3037
20049,8,2882
20051,5,28452
20053,7,6497
20055,5,36776
20057,5,33848
20059,6,25992
20061,4,34362
20063,9,2695
20065,9,2597
20067,7,7829
20069,9,6006
20071,9,1247
20073,6,6689
20075,9,2690
20077,8,6034
20079,2,34684
20081,9,4256
20083,9,1916
20085,3,13462
20087,3,19126
20089,9,3077
20091,1,544179
20093,9,3977
20095,2,7858
20097,9,2553
20099,7,21607
20101,9,1750
20103,1,76227
20105,9,3241
20107,1,9656
20109,9,2756
20111,4,33690
20113,7,29180
20115,6,12660
20117,6,10117
20119,9,4575
20121,1,32787
20123,7,6373
20125,5,35471
20127,8,5923
20129,9,3233
20131,6,10178
20133,7,16512
20135,9,3107
20137,7,5671
20139,3,16295
20141,9,3858
20143,9,6091
20145,7,6973
20147,7,5642
20149,3,21604
20151,7,9656
20153,9,2519
20155,4,64511
20157,9,4980
20159,7,10083
20161,3,71115
20163,9,5181
20165,9,3307
20167,7,6970
20169,5,55606
20171,7,4936
20173,2,498365
20175,5,22952
20177,3,177934
20179,9,2556
20181,7,6010
20183,9,3853
20185,9,4437
20187,9,2235
20189,7,5724
20191,2,24132
20193,7,7900
20195,9,3001
20197,3,7053
20199,9,1485
20201,9,5799
20203,9,2234
20205,7,9409
20207,9,3309
20209,1,157505
21001,7,18656
21003,3,19956
21005,6,21421
21007,9,8249
21009,6,42173
21011,8,11591
21013,7,28691
21015,1,118811
21017,2,19985
21019,2,49542
21021,7,28432
21023,1,8488
21025,7,13878
21027,8,20059
21029,1,74319
21031,3,12690
21033,7,12984
21035,7,37191
21037,1,90336
21039,9,5104
21041,6,10811
21043,6,27720
21045,9,15955
21047,2,73955
21049,2,35613
21051,7,21730
21053,9,10272
21055,7,9315
21057,9,6856
21059,3,96656
21061,3,12161
21063,9,7852
21065,6,14672
21067,2,295803
21069,7,14348
21071,7,39451
21073,4,49285
21075,9,6813
21077,1,8589
21079,6,16912
21081,1,24662
21083,7,37121
21085,6,25746
21087,8,11258
21089,2,36910
21091,3,8565
21093,3,105543
21095,7,29278
21097,6,18846
21099,8,18199
21101,2,46250
21103,1,15416
21105,9,4902
21107,5,46920
21109,9,13494
21111,1,741096
21113,2,48586
21115,7,23356
21117,1,159720
21119,9,16346
21121,7,31883
21123,3,14193
21125,5,58849
21127,6,15860
21129,9,7887
21131,9,11310
21133,9,24519
21135,8,13870
21137,7,24742
21139,9,9519
21141,6,26835
21143,9,8314
21145,5,65565
21147,9,18306
21149,3,9531
21151,4,82916
21153,9,13333
21155,7,19820
21157,7,31448
21159,9,12929
21161,6,17490
21163,3,28602
21165,9,6306
21167,6,21331
21169,9,10099
21171,8,10963
21173,6,26499
21175,9,13923
21177,6,31499
21179,6,43437
21181,8,7135
21183,6,23842
21185,1,60316
21187,8,10841
21189,9,4755
21191,1,14877
21193,7,28712
21195,7,65024
21197,6,12613
21199,5,63063
21201,8,2282
21203,7,17056
21205,7,23333
21207,9,17565
21209,2,47173
21211,1,42074
21213,6,17327
21215,1,17061
21217,7,24512
21219,8,12460
21221,2,14339
21223,1,8809
21225,6,15007
21227,3,113792
21229,9,11717
21231,7,20813
21233,8,13621
21235,7,35637
21237,9,7355
21239,2,24939
22001,2,61773
22003,6,25764
22005,2,107215
22007,6,23421
22009,6,42073
22011,6,35654
22013,6,14353
22015,2,116979
22017,2,254969
22019,3,192768
22021,8,10132
22023,3,6839
22025,9,10407
22027,6,17195
22029,7,20822
22031,2,26656
22033,2,440171
22035,7,7759
22037,2,20267
22039,6,33984
22041,7,20767
22043,3,22309
22045,2,73240
22047,2,33387
22049,6,16274
22051,1,432552
22053,6,31594
22055,2,221578
22057,3,96318
22059,6,14890
22061,4,46735
22063,2,128026
22065,7,12093
22067,6,27979
22069,6,39566
22071,1,343829
22073,3,153720
22075,1,23042
22077,2,22802
22079,3,131613
22081,8,9091
22083,6,20725
22085,6,24233
22087,1,35897
22089,1,52780
22091,2,11203
22093,1,22102
22095,1,45924
22097,4,83384
22099,2,52160
22101,4,54650
22103,1,233740
22105,3,121097
22107,9,5252
22109,3,111860
22111,3,22721
22113,2,57999
22115,5,52334
22117,6,47168
22119,2,41207
22121,2,23788
22123,9,11604
22125,2,15625
22127,6,15313
23001,3,107702
23003,7,71870
23005,2,281674
23007,6,30768
23009,6,54418
23011,4,122151
23013,7,39736
23015,8,34457
23017,6,57833
23019,3,153923
23021,8,17535
23023,2,35293
23025,6,52228
23027,6,38786
23029,7,32856
23031,2,197131
24001,3,75087
24003,1,537656
24005,1,805029
24009,1,88737
24011,6,33066
24013,1,167134
24015,1,101108
24017,1,146551
24019,6,32618
24021,1,233385
24023,6,30097
24025,1,244826
24027,1,287085
24029,6,20197
24031,1,971777
24033,1,863420
24035,1,47798
24037,3,105151
24039,2,26470
24041,6,37782
24043,2,147430
24045,2,98733
24047,2,51454
24510,1,620961
25001,3,215888
25003,3,131219
25005,1,548285
25007,7,16535
25009,1,743159
25011,4,71372
25013,2,463490
25015,2,158080
25017,1,1503085
25019,7,10172
25021,1,670850
25023,1,494919
25025,1,722023
25027,2,798552
26001,9,10942
26003,7,9601
26005,4,111408
26007,7,29598
26009,9,23580
26011,8,15899
26013,9,8860
26015,2,59173
26017,3,107771
26019,9,17525
26021,3,156813
26023,6,45248
26025,3,136146
26027,2,52293
26029,7,25949
26031,7,26152
26033,7,38520
26035,6,30926
26037,2,75382
26039,7,14074
26041,5,37069
26043,7,26168
26045,2,107759
26047,7,32694
26049,2,425790
26051,6,25692
26053,7,16427
26055,5,86986
26057,6,42476
26059,6,46688
26061,5,36628
26063,7,33118
26065,2,280895
26067,4,63905
26069,7,25887
26071,7,11817
26073,4,70311
