feat,cell,ftype,s2
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022227476905984,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022227476905984,,5529022227476905984
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022261836644352,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022261836644352,,5529022261836644352
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022296196382720,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022296196382720,,5529022296196382720
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022330556121088,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022330556121088,,5529022330556121088
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022364915859456,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022364915859456,,5529022364915859456
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022399275597824,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022399275597824,,5529022399275597824
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022433635336192,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022433635336192,,5529022433635336192
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022467995074560,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022467995074560,,5529022467995074560
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022502354812928,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022502354812928,,5529022502354812928
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022536714551296,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022536714551296,,5529022536714551296
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022571074289664,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022571074289664,,5529022571074289664
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022605434028032,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022605434028032,,5529022605434028032
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022639793766400,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022639793766400,,5529022639793766400
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022674153504768,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022674153504768,,5529022674153504768
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022708513243136,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022708513243136,,5529022708513243136
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022742872981504,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022742872981504,,5529022742872981504
http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022777232719872,http://stko-kwg.geog.ucsb.edu/lod/resource/s2.level13.5529022777232719872,,5529022777232719872
