chemical,disease,doid,mondo,corroboration_score,n_independent_sources,aop_anchored,mediating_targets,sources,ehr_phenotypes_in_oard
BPAP,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,diabetes mellitus,DOID_9351,MONDO_0005015,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,liver disease,DOID_409,MONDO_0005154,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,major depressive disorder,DOID_1470,MONDO_0002009,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,migraine,DOID_6364,MONDO_0005277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,nervous system disease,DOID_863,MONDO_0005071,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,nutrition disease,DOID_374,MONDO_0005137,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,obesity,DOID_9970,MONDO_0011122,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,ovarian cancer,DOID_2394,MONDO_0008170,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,polycystic ovary syndrome,DOID_11612,MONDO_0008487,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
BPB,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPB,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,diabetes mellitus,DOID_9351,MONDO_0005015,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,liver disease,DOID_409,MONDO_0005154,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,major depressive disorder,DOID_1470,MONDO_0002009,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,migraine,DOID_6364,MONDO_0005277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,nervous system disease,DOID_863,MONDO_0005071,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPC,nutrition disease,DOID_374,MONDO_0005137,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
