assay	gene	symbol	taxonomy	log2fc	adj_p_value	group_mean_1	group_mean_2	osd	entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83961	Nrg4	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.50277	0.0800173	9.49787	8.9951	OSD-25	83961
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/83997	Slmap	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.231505	0.078437	9.08	8.84849	OSD-25	83997
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/84035	Kremen1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.38809	0.00511792	7.97609	7.588	OSD-25	84035
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/85030	Tnfrsf25	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.264075	0.0587009	5.82097	6.08504	OSD-25	85030
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/85305	Kars	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.315457	0.0288604	8.58208	8.26663	OSD-25	85305
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93673	Nat8f2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.47654	0.00159658	12.1076	11.631	OSD-25	93673
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93683	Glce	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.256013	0.0440953	7.95729	7.70128	OSD-25	93683
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93686	Rbfox2	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.323894	0.0601941	8.34391	8.66781	OSD-25	93686
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93687	Csnk1a1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.418291	0.00275525	9.90339	9.48509	OSD-25	93687
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93692	Glrx	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.639556	3.66105e-05	10.0371	9.39754	OSD-25	93692
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93694	Clec2d	http://purl.obolibrary.org/obo/NCBITaxon_10090	-0.719276	0.000470309	10.9894	11.7086	OSD-25	93694
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93696	Chrac1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.308783	0.0664325	7.36673	7.05794	OSD-25	93696
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93697	Ice2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.325024	0.0100769	7.68486	7.35983	OSD-25	93697
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93732	Acox2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.415725	0.00085898	11.0918	10.6761	OSD-25	93732
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93734	Mpv17l	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.935717	0.0258582	8.379	7.44329	OSD-25	93734
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93736	Aff4	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.352111	0.00870094	10.5164	10.1643	OSD-25	93736
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93739	Gabarapl2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.859296	0.000334629	6.14669	5.28739	OSD-25	93739
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93747	Echs1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.402621	0.00538567	10.5753	10.1727	OSD-25	93747
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93757	Immp2l	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.338423	0.0149208	9.85949	9.52107	OSD-25	93757
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93762	Smarca5	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.671713	0.0041521	8.38633	7.71462	OSD-25	93762
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93790	Nipa2	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.548399	0.00416541	6.98073	6.43233	OSD-25	93790
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/93887	Pcdhb16	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.235876	0.0781982	5.33762	5.10175	OSD-25	93887
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/94044	Bcl2l13	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.636649	0.00033168	9.53528	8.89863	OSD-25	94044
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/94061	Mrpl1	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.277977	0.0467502	8.10671	7.82874	OSD-25	94061
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-25-e4263b3370f6c7cfbb04a37d79742f3f	http://www.ncbi.nlm.nih.gov/gene/94062	Mrpl3	http://purl.obolibrary.org/obo/NCBITaxon_10090	0.449785	0.00255346	8.81785	8.36807	OSD-25	94062
