category	K	k	n	N	expected	fold	p	fdr	label	id	family	threshold
http://purl.obolibrary.org/obo/GO_0045739	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of DNA repair	GO_0045739	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0045787	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of cell cycle	GO_0045787	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0043525	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of neuron apoptotic process	GO_0043525	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0010613	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of cardiac muscle hypertrophy	GO_0010613	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0042178	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	xenobiotic catabolic process	GO_0042178	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0010212	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	response to ionizing radiation	GO_0010212	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1905168	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of double-strand break repair via homologous recombination	GO_1905168	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_2000234	7	7	1560	2160	5.06	1.38	0.1021099517608663	0.9999561234632744	positive regulation of rRNA processing	GO_2000234	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0016567	56	45	1560	2160	40.44	1.11	0.10763111037101296	0.9999561234632744	protein ubiquitination	GO_0016567	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0071560	12	11	1560	2160	8.67	1.27	0.1124168918525767	0.9999561234632744	cellular response to transforming growth factor beta stimulus	GO_0071560	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006950	12	11	1560	2160	8.67	1.27	0.1124168918525767	0.9999561234632744	response to stress	GO_0006950	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0008202	30	25	1560	2160	21.67	1.15	0.11958209743304428	0.9999561234632744	steroid metabolic process	GO_0008202	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0007420	21	18	1560	2160	15.17	1.19	0.12348945224239047	0.9999561234632744	brain development	GO_0007420	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1902600	34	28	1560	2160	24.56	1.14	0.1256539225908453	0.9999561234632744	proton transmembrane transport	GO_1902600	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0009060	16	14	1560	2160	11.56	1.21	0.1355184959987473	0.9999561234632744	aerobic respiration	GO_0009060	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0000209	16	14	1560	2160	11.56	1.21	0.1355184959987473	0.9999561234632744	protein polyubiquitination	GO_0000209	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0010467	16	14	1560	2160	11.56	1.21	0.1355184959987473	0.9999561234632744	gene expression	GO_0010467	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006401	16	14	1560	2160	11.56	1.21	0.1355184959987473	0.9999561234632744	RNA catabolic process	GO_0006401	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0010288	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	response to lead ion	GO_0010288	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0006821	6	6	1560	2160	4.33	1.38	0.1415346435604286	0.9999561234632744	chloride transport	GO_0006821	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
