disease	disease_label	phenotype	phenotype_label	mondo	hp
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0007430	Generalized edema	MONDO_0001382	HP_0007430
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0008682	Renal tubular epithelial necrosis	MONDO_0001382	HP_0008682
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0010450	Esophageal stenosis	MONDO_0001382	HP_0010450
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0010741	Pedal edema	MONDO_0001382	HP_0010741
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0011105	Hypervolemia	MONDO_0001382	HP_0011105
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0011712	Right bundle branch block	MONDO_0001382	HP_0011712
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0011713	Left bundle branch block	MONDO_0001382	HP_0011713
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0011854	Hemoperitoneum	MONDO_0001382	HP_0011854
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012027	Laryngeal edema	MONDO_0001382	HP_0012027
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012050	Anasarca	MONDO_0001382	HP_0012050
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012115	Hepatitis	MONDO_0001382	HP_0012115
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012116	Abnormal circulating albumin concentration	MONDO_0001382	HP_0012116
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012164	Asterixis	MONDO_0001382	HP_0012164
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012212	Abnormal glomerular filtration rate	MONDO_0001382	HP_0012212
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012235	Drug-induced agranulocytosis	MONDO_0001382	HP_0012235
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012378	Fatigue	MONDO_0001382	HP_0012378
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012387	Bronchitis	MONDO_0001382	HP_0012387
http://purl.obolibrary.org/obo/MONDO_0001382	hepatorenal syndrome	http://purl.obolibrary.org/obo/HP_0012398	Peripheral edema	MONDO_0001382	HP_0012398
