hEntrez,humanSymbol,n_assays,n_studies,n_tissues,tissues,studies,organisms,n_up,n_down,max_abs_log2fc,min_adj_p,mean_log2fc,ambiguous,consistent_direction,net_direction
4317,MMP8,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-2.7654,0.00242703,-2.531633333333333,False,consistent,down
440503,PLIN5,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.5749,5.11054e-06,1.3415666666666668,False,consistent,up
442721,LMOD2,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-665; OSD-666; OSD-770,Mus musculus,3,0,1.5383,4.50927e-16,1.4158333333333335,False,consistent,up
4654,MYOD1,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665,Mus musculus,1,2,-1.2713,1.51608e-14,-0.4408,False,mixed,down
5105,PCK1,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-326; OSD-770; OSD-99,Mus musculus,1,2,-3.1104,0.00148768,-1.3521999999999998,False,mixed,down
51473,DCDC2,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-666; OSD-770,Mus musculus,3,0,4.4358,0.00333597,3.3782333333333336,False,consistent,up
5295,PIK3R1,3,3,3,gastrocnemius; quadriceps femoris; tibialis anterior,OSD-422; OSD-576; OSD-666,Mus musculus; Rattus norvegicus,3,0,1.766,3.19234e-13,1.3416,False,consistent,up
5346,PLIN1,3,3,3,extensor digitorum longus; gastrocnemius; soleus,OSD-101; OSD-770; OSD-99,Mus musculus,1,2,1.3293,0.0211885,-0.33410000000000006,False,mixed,down
54058,C21orf58,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-103; OSD-770; OSD-99,Mus musculus,2,1,2.4011,1.65948e-08,0.8599333333333333,False,mixed,up
5507,PPP1R3C,3,3,3,extensor digitorum longus; gastrocnemius; tibialis anterior,OSD-105; OSD-422; OSD-99,Mus musculus; Rattus norvegicus,3,0,2.6908,5.74241e-16,1.7013999999999998,False,consistent,up
55106,SLFN12,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.9708,0.0333875,-1.5939000000000003,True,consistent,down
55281,TMEM140,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.6982,8.21742e-18,1.4605,False,consistent,up
55567,DNAH3,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.5179,0.00463861,-1.1977,False,consistent,down
5580,PRKCD,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.6866,1.47821e-14,1.5261000000000002,False,consistent,up
55800,SCN3B,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.4167,2.76951e-13,1.3215333333333332,False,consistent,up
56204,FAM214A,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.7236,1.7554e-24,1.5465333333333333,False,consistent,up
570,BAAT,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.6751,0.00207722,-1.6036000000000001,False,consistent,down
57348,TTYH1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.9985,0.00010741,-1.8817333333333333,False,consistent,down
57476,GRAMD1B,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,2.2374,1.65116e-19,1.7715333333333334,False,consistent,up
57633,LRRN1,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-104; OSD-576; OSD-665,Mus musculus,3,0,1.413,4.56157e-28,1.2474666666666667,False,consistent,up
5889,RAD51C,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-2.0276,1.6538e-09,-1.9372,False,consistent,down
5979,RET,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.2175,3.75697e-10,-1.1390333333333333,False,consistent,down
604,BCL6,3,3,3,extensor digitorum longus; gastrocnemius; quadriceps femoris,OSD-422; OSD-665; OSD-666,Mus musculus; Rattus norvegicus,1,2,1.7999,3.18281e-07,-0.1048666666666666,False,mixed,down
6236,RRAD,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-666; OSD-99,Mus musculus,1,2,-1.9938,4.23182e-08,-0.8546333333333335,False,mixed,down
6248,RSC1A1,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.8624,4.94893e-23,1.661266666666667,False,consistent,up
63908,NAPB,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.5761,3.87415e-18,1.2857,False,consistent,up
64344,HIF3A,3,3,3,quadriceps femoris; soleus; tibialis anterior,OSD-576; OSD-666; OSD-770,Mus musculus,3,0,1.9556,2.2222e-05,1.4139333333333333,False,consistent,up
6570,SLC18A1,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-665; OSD-666; OSD-770,Mus musculus,1,2,2.0614,2.6156e-06,-0.42740000000000017,False,mixed,down
6622,SNCA,3,3,3,extensor digitorum longus; soleus; tibialis anterior,OSD-576; OSD-665; OSD-770,Mus musculus,3,0,1.2048,2.79178e-06,1.0811333333333335,False,consistent,up
6790,AURKA,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.6139,1.25627e-10,-1.538433333333333,False,consistent,down
7007,TECTA|TBCEL-TECTA,3,3,3,extensor digitorum longus; quadriceps femoris; soleus,OSD-666; OSD-770; OSD-99,Mus musculus,1,2,-2.5953,4.39317e-16,-0.8718,False,mixed,down
7352,UCP3,3,3,3,extensor digitorum longus; gastrocnemius; soleus,OSD-422; OSD-770; OSD-99,Mus musculus; Rattus norvegicus,2,1,3.0521,1.05274e-18,0.8816999999999999,False,mixed,up
7422,VEGFA,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.4618,1.00246e-29,-1.2440333333333333,False,consistent,down
7851,MALL,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-1.5113,1.89794e-07,-1.3607666666666667,False,consistent,down
79751,SLC25A22,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,3,0,1.6645,3.41429e-06,1.2825,False,consistent,up
8013,NR4A3,3,3,3,extensor digitorum longus; quadriceps femoris; tibialis anterior,OSD-576; OSD-665; OSD-666,Mus musculus,0,3,-4.0641,1.04547e-06,-3.3363,False,consistent,down
8227,AKAP17A,3,3,3,bone marrow; quadriceps femoris; soleus,OSD-326; OSD-690; OSD-770,Mus musculus,1,2,1.6888,8.45139e-14,-0.2452,False,mixed,down
