humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
TXN	Txn1	7295	↑	0.64419	4.73474e-08	0.521496	1.45874e-05	2	True	False		gwas_strong	fracture		False			44.3	B
INPP4B	Inpp4b	8821	↑	0.642802	0.00337816	0.485688	0.0319852	2	True	False		gwas_strong	BMD|fracture		False			44.3	B
PAXIP1	Paxip1	22976	↓	-0.441806	0.000369224	-0.640967	1.02194e-07	2	True	False		gwas_strong	osteoporosis		False			44.3	B
OSTC	Ostc	58505	↑	0.638121	1.67622e-06	0.60016	6.61726e-06	2	True	False		gwas_strong	osteoporosis		False			44.3	B
TCF20	Tcf20	6942	↑			0.199496	0.0166777	1		True		mendelian		Osteoporosis|Osteopenia	False			44.3	B
APOL2	Apol11a	23780	↓	-2.1317	2.53484e-07	-0.970842	0.0115916	2	True	False		none			False	intermediate	2.0	44.2	C
APOL4	Apol11a	80832	↓	-2.1317	2.53484e-07	-0.970842	0.0115916	2	True	False		none			False	intermediate	2.0	44.2	C
APOL3	Apol11a	80833	↓	-2.1317	2.53484e-07	-0.970842	0.0115916	2	True	False		none			False	intermediate	2.0	44.2	C
APOL1	Apol11a	8542	↓	-2.1317	2.53484e-07	-0.970842	0.0115916	2	True	False		none			False	intermediate	2.0	44.2	C
IFT80	Ift80	57560	↓	-0.634563	0.000518813	-0.548673	0.0030892	2	True	False		gwas_strong	BMD|fracture		False			44.2	B
SOX4	Sox4	6659	↓	-0.627047	0.00020083	-0.609744	0.000398557	2	True	False		gwas_strong	BMD|fracture|osteoporosis		False			44.2	B
CALCOCO1	Calcoco1	57658	↓	-0.385762	0.0378518	-0.625209	0.000389791	2	True	False		gwas_strong	BMD|fracture		False			44.2	B
RB1	Rb1	5925	↓	-0.621304	0.000106129	-0.525995	0.00134333	2	True	False		gwas_strong	BMD|fracture|osteoporosis		False			44.1	B
RPL38	Rpl38	6169	↑	0.600391	1.32777e-05	0.554785	6.73235e-05	2	True	False		gwas_strong	BMD|fracture		False			44.0	B
TREM1	Trem1	54210	↑	0.572244	0.0222114	0.599281	0.0153705	2	True	False		gwas_strong	osteoporosis		False			44.0	B
KMT2A	Kmt2a	4297	↓	-0.597404	0.00856739	-0.470184	0.0466837	2	True	False		gwas_strong	BMD|fracture		False			44.0	B
OLFM4	Olfm4	10562	↑	0.593619	0.00129677	0.539188	0.00393254	2	True	False		gwas_strong	BMD|fracture		False			44.0	B
BRCA1	Brca1	672	↓	-0.591899	6.18758e-05	-0.574801	0.000104969	2	True	False		gwas_strong	BMD|fracture		False			43.9	B
TFEC	Tfec	22797	↑	0.430106	0.00338133	0.591508	1.70705e-05	2	True	False		gwas_strong	BMD|osteoporosis		False			43.9	B
ORC1	Orc1	4998	↓	-0.444225	0.0234261	-0.588662	0.00149684	2	True	False		gwas_strong	BMD|fracture		False			43.9	B
CDKL1	Cdkl1	8814	↓	-0.582091	0.00712363	-0.455392	0.0338824	2	True	False		gwas_strong	osteoporosis		True			43.9	B
TNNT3	Tnnt3	7140	↓			-2.67037	0.0387068	1		True		gwas_bmd	BMD		False			43.8	C
RPS12	Rps12	6206	↑	0.518661	0.0045559	0.573662	0.00139502	2	True	False		gwas_strong	BMD|fracture		False			43.8	B
HSPE1	Hspe1	3336	↑	0.429493	0.0114397	0.573602	0.000366496	2	True	False		gwas_strong	BMD|fracture|osteoporosis		False			43.8	B
S100A10	S100a10	6281	↑	0.571037	0.00190518	0.540827	0.00335728	2	True	False		gwas_strong	fracture		False			43.8	B
FOXO1	Foxo1	2308	↓	-0.568918	0.0140452	-0.558697	0.017633	2	True	False		gwas_strong	BMD|fracture		False			43.8	B
JDP2	Jdp2	122953	↑	0.491906	0.0113238	0.56417	0.00294183	2	True	False		gwas_strong	BMD|fracture		False			43.8	B
SLC20A2	Slc20a2	6575	↓	-0.376466	0.013276	-0.555554	0.000107332	2	True	False		gwas_strong	fracture		False			43.7	B
TLR2	Tlr2	7097	↑	0.45161	0.0257697	0.549146	0.00516766	2	True	False		gwas_strong	osteoporosis		False			43.7	B
NRIP1	Nrip1	8204	↓	-0.547758	0.00104916	-0.416857	0.016246	2	True	False		gwas_strong	osteoporosis		False			43.7	B
WIF1	Wif1	11197	↓	-1.58491	0.0216655	-1.26572	0.0402627	2	True	False		gwas_bmd	BMD		False	systemic	5.0	43.6	C
DHRS11	Dhrs11	79154	↓	-0.544147	0.000620742	-0.499451	0.00185357	2	True	False		gwas_strong	osteoporosis		False			43.6	B
DAPK2	Dapk2	23604	↓	-0.499828	0.00100277	-0.542526	0.000256323	2	True	False		gwas_strong	osteoporosis		False			43.6	B
MED13L	Med13l	23389	↓	-0.442814	0.00206762	-0.540678	0.000118337	2	True	False		gwas_strong	BMD|osteoporosis		False			43.6	B
MCPH1	Mcph1	79648	↓	-0.517128	0.000164564	-0.495714	0.000292906	2	True	False		gwas_strong	osteoporosis		False			43.4	B
CCDC6	Ccdc6	8030	↓	-0.360757	0.0190678	-0.516412	0.000442735	2	True	False		gwas_strong	fracture		False			43.4	B
TACSTD2	Tacstd2	4070	↑	0.514175	0.00323171	0.44774	0.0100317	2	True	False		gwas_strong	osteoporosis		False			43.4	B
HGF	Hgf	3082	↑	0.512563	7.11944e-06	0.35475	0.00283898	2	True	False		gwas_strong	BMD|fracture		False			43.4	B
RPL37A	Rpl37a	6168	↑	0.43383	0.0109677	0.503555	0.00248388	2	True	False		gwas_strong	osteoporosis		False			43.4	B
AGPAT4	Agpat4	56895	↓	-0.473732	0.00144179	-0.500605	0.000560349	2	True	False		gwas_strong	fracture		False			43.3	B
PIK3R1	Pik3r1	5295	↓	-0.499225	1.51225e-07	-0.226838	0.0310599	2	True	False		gwas_strong	BMD|osteoporosis		False			43.3	B
DDHD1	Ddhd1	80821	↓	-0.472625	0.0022666	-0.495137	0.00118556	2	True	False		gwas_strong	BMD|fracture		False			43.3	B
BMPR1A	Bmpr1a	657	↑	0.449118	0.0150573	0.490065	0.00643399	2	True	False		gwas_strong	BMD|fracture		False			43.3	B
