geneEntrez	digcfde_bonecats
22858	BMD|fracture
22862	BMD|osteoporosis
22863	BMD
22865	BMD
22871	BMD
22879	osteoporosis
2289	BMD
22891	osteoporosis
22897	osteoporosis
2290	BMD|fracture
22903	osteoporosis
22904	BMD|fracture
22908	osteoporosis
22931	BMD
22933	BMD|fracture
22934	BMD
2294	BMD
22943	BMD|fracture|osteoporosis
22948	BMD
22955	BMD|fracture
2296	BMD|fracture
2297	BMD|osteoporosis
22976	osteoporosis
22979	BMD
22982	BMD
22986	osteoporosis
22987	fracture
22998	BMD
230	BMD
2300	BMD|osteoporosis
23002	BMD
23013	BMD
23026	osteoporosis
23028	BMD|fracture
2303	BMD|fracture|osteoporosis
23033	BMD
23034	BMD
23042	BMD
23047	fracture
23049	BMD|fracture
23051	BMD|fracture
23054	BMD|fracture
23072	BMD
2308	BMD|fracture
23081	BMD
23087	BMD
23090	BMD
23105	fracture
23109	osteoporosis
23111	BMD
23112	fracture|osteoporosis
23116	osteoporosis
23120	osteoporosis
23126	fracture
23129	BMD|fracture
23135	BMD
23136	fracture
23139	BMD|fracture
2315	BMD
23150	BMD
23161	fracture
23167	osteoporosis
23168	BMD
2317	BMD|fracture
23172	BMD
23181	fracture
23184	BMD|OI
23187	BMD|fracture
23196	BMD|fracture
23198	BMD
23200	osteoporosis
2321	BMD
23213	BMD
23216	BMD|fracture
23225	osteoporosis
23240	fracture
23242	osteoporosis
23244	BMD
23254	osteoporosis
23259	BMD
23268	BMD
23279	fracture
23281	fracture
23291	BMD
23293	BMD|fracture
23294	BMD|fracture
23301	osteoporosis
23302	BMD
23314	BMD|fracture
23322	BMD
23328	fracture|osteoporosis
23331	BMD
23333	BMD
23345	BMD|fracture
23348	BMD|fracture
2335	BMD|fracture
23353	BMD
23359	fracture
23362	BMD|fracture|osteoporosis
23367	BMD
23384	BMD
23387	BMD|fracture
23389	BMD|osteoporosis
23401	BMD
23404	osteoporosis
23405	BMD|fracture
23411	BMD|fracture
23414	BMD
23426	BMD
23428	osteoporosis
23429	BMD
23431	BMD|fracture
23451	BMD
2346	BMD
23462	BMD
2348	BMD
23493	BMD|fracture|osteoporosis
23495	BMD
23498	BMD
23499	BMD|fracture
23500	BMD
23509	BMD
23513	BMD
23516	BMD|fracture
23517	BMD
23519	BMD
23523	BMD
23529	BMD|fracture
2353	BMD|fracture
23543	BMD|fracture|osteoporosis
23545	BMD
2355	BMD|fracture
23552	BMD
23554	BMD|fracture
23556	BMD
23562	BMD
23566	BMD|fracture
23586	BMD
23592	BMD
23593	BMD
23598	fracture
23604	osteoporosis
23620	BMD
23625	BMD
23632	BMD
23660	BMD
23677	osteoporosis
23683	fracture
23705	BMD|osteoporosis
23742	BMD
23760	BMD
23764	fracture
23767	BMD
23770	BMD
23779	osteoporosis
240	BMD|fracture
24147	BMD
2444	BMD
245802	BMD
245940	BMD|fracture
245973	BMD
246269	fracture
246744	BMD|fracture
2475	BMD|fracture
2487	BMD|fracture
249	BMD|fracture
25	BMD|fracture|osteoporosis
2520	BMD
2530	BMD
2535	BMD|fracture|osteoporosis
253738	BMD
253959	osteoporosis
254102	BMD
254251	BMD
2550	BMD
255061	fracture
255119	osteoporosis
255220	fracture
255231	osteoporosis
255488	osteoporosis
2555	osteoporosis
255743	BMD|fracture
2560	BMD|fracture|osteoporosis
256076	osteoporosis
256227	osteoporosis
256297	BMD
256536	osteoporosis
2566	BMD
256691	osteoporosis
257	BMD|fracture
257194	osteoporosis
257415	BMD
25770	BMD
25776	BMD|fracture
25791	BMD
25805	BMD|fracture
25806	BMD
25817	BMD
25836	BMD|fracture|osteoporosis
25841	BMD
25842	BMD
25884	BMD
25891	BMD
25894	BMD
25898	fracture
25902	BMD
25907	osteoporosis
2591	BMD|osteoporosis
259217	BMD
25925	BMD|fracture
25926	BMD
25928	BMD|fracture
25937	BMD|fracture
25950	BMD
2596	fracture
25960	BMD
25976	BMD
25987	BMD
25998	fracture
26011	BMD
26031	BMD|fracture
26034	BMD
26035	BMD
26040	BMD|osteoporosis
26053	BMD
26059	BMD
26063	fracture
26108	BMD
26122	BMD
26128	BMD
26147	BMD
26154	osteoporosis
26160	BMD|fracture
2619	BMD|fracture
26207	BMD|fracture
2623	BMD|fracture
26230	BMD
26231	BMD
26235	BMD
