hEntrez,humanSymbol,mouse_symbols,log2fc,log2fc_mean,adj_p_value,n_mouse_map,sign_flip,assay,osd,tissue,organism
83538,ODAD4,Odad4,1.82,1.82,0.0036255,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
148523,CIART,Ciart,-1.7191,-1.7191,7.24053e-09,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
79081,LBHD1,Lbhd1,-1.536,-1.536,0.00264192,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
121952,METTL21EP,Mettl21e,1.5165,1.5165,1.52919e-12,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
646643,SBK2,Sbk2,1.4966,1.4966,0.00656387,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
8864,PER2,Per2,-1.4827,-1.4827,1.96717e-05,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
112399,EGLN3,Egln3,1.4544,1.4544,0.00262052,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4862,NPAS2,Npas2,1.4506,1.4506,0.000307047,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
11279,KLF8,Klf8,1.4072,1.4072,0.0424731,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4501,MT1X,Mt1|Mt2,1.3773,1.2624,8.66702e-06,2,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
4502,MT2A,Mt2,1.3773,1.3773,8.66702e-06,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
5997,RGS2,Rgs2,1.3738,1.3738,0.000676933,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
27063,ANKRD1,Ankrd1,-1.3721,-1.3721,0.0299927,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
51673,TPPP3,Tppp3,1.3687,1.3687,3.20916e-05,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
84842,HPDL,Hpdl,1.3441,1.3441,0.0185741,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
284451,ODF3L2,Odf3l2,1.3222,1.3222,0.000976496,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
58516,SINHCAF,Sinhcaf,1.2779,1.2779,0.00309693,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
341676,NEK5,Nek5,-1.2612,-1.2612,0.00156919,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
2645,GCK,Gck,-1.2292,-1.2292,0.0493002,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
79805,VASH2,Vash2,1.2025,1.2025,0.0448379,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
91543,RSAD2,Rsad2,1.1876,1.1876,0.00492354,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
57475,PLEKHH1,Plekhh1,1.179,1.179,0.045899,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
5409,PNMT,Pnmt,1.1711,1.1711,0.00574842,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
10165,SLC25A13,Slc25a13,1.1672,1.1672,0.0182417,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-103-f007f036b41857967d769f4df2450e35,OSD-103,quadriceps femoris,Mus musculus
