hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
79733	E2F8	E2f8	108961	-0.579513	-0.579513	6.37429e-06	1			False	False	True
7975	MAFK	Mafk	17135	-0.427188	-0.427188	0.00153036	1			False	False	True
79751	SLC25A22	Slc25a22	68267	-0.571738	-0.571738	0.0347371	1			False	False	True
79767	ELMO3	Elmo3	234683	-1.13414	-1.13414	0.000516162	1			False	False	False
79770	TXNDC15	Txndc15	69672	0.460213	0.460213	0.00293593	1			False	False	True
79772	MCTP1	Mctp1	78771	0.440526	0.440526	6.50147e-05	1			False	False	True
79774	GRTP1	Grtp1	66790	-0.751666	-0.751666	0.0340937	1			False	False	True
79778	MICALL2	Micall2	231830	-0.738014	-0.738014	1.89227e-07	1			False	False	True
7978	MTERF1	Mthfs	107885	0.431346	0.431346	0.000366102	1			False	False	True
7979	SEM1	Sem1	20422	0.682045	0.682045	5.54597e-07	1			False	False	True
79819	DNAI4	Dnai4	242584	-0.568276	-0.568276	0.0126368	1			False	False	True
79836	LONRF3	Lonrf3	74365	0.383429	0.383429	0.0287125	1			False	False	True
79837	PIP4K2C	Pip4k2c	117150	-0.207494	-0.207494	0.0249447	1			False	False	True
79856	SNX22	Snx22	382083	-1.06817	-1.06817	1.00375e-08	1			False	False	True
79863	RBFA	Rbfa	68731	0.356443	0.356443	0.00121492	1			False	False	True
79869	CPSF7	Cpsf7	269061	-0.283775	-0.283775	0.00626757	1			False	False	True
79876	UBA5	Uba5	66663	0.258776	0.258776	0.014479	1			False	False	True
79879	CCDC134	Ccdc134	76457	-0.584217	-0.584217	0.00210345	1			False	False	True
79885	HDAC11	Hdac11	232232	-0.552801	-0.552801	0.0487696	1			False	False	True
79887	PLBD1	Plbd1	66857	0.387553	0.387553	0.0114677	1			False	False	True
79888	LPCAT1	Lpcat1	210992	-0.58015	-0.58015	1.73949e-05	1			False	False	True
79895	ATP8B4	Atp8b4	241633	0.313441	0.313441	0.000197555	1			False	False	True
79897	RPP21|TRIM39-RPP21	Rpp21	67676	0.391766	0.391766	0.00836924	1			False	False	True
79902	NUP85	Nup85	445007	-0.217323	-0.217323	0.0406378	1			False	False	True
79922	MRM1	Mrm1	217038	-0.593577	-0.593577	0.00247494	1	osteoporosis		False	True	True
7993	UBXN8	Ubxn8	108159	0.36739	0.36739	0.000725415	1			False	False	True
79959	CEP76	Cep76	225659	-0.499948	-0.499948	0.000471635	1			False	False	True
80012	PHC3	Phc3	241915	-0.36419	-0.36419	0.0125818	1			False	False	True
80014	WWC2	Wwc2	52357	-0.398701	-0.398701	0.0113379	1			False	False	True
80019	UBTD1	Ubtd1	226122	0.514554	0.514554	4.35594e-06	1			False	False	True
80031	SEMA6D	Sema6d	214968	-0.867878	-0.867878	0.0182001	1			False	False	True
801	CALM1	Calm1	12313	0.431751	0.431751	0.00645237	1			False	False	True
80119	PIF1	Pif1	208084	-0.632783	-0.632783	7.43834e-05	1			False	False	True
80124	VCPIP1	Vcpip1	70675	-0.207983	-0.207983	0.00952586	1			False	False	True
80135	RPF1	Rpf1	70285	0.26566	0.26566	0.0462743	1			False	False	True
80142	PTGES2	Ptges2	96979	0.466916	0.466916	0.00197038	1			False	False	True
80146	UXS1	Uxs1	67883	0.344214	0.344214	0.00496692	1			False	False	True
80152	CENPT	Cenpt	320394	-0.337649	-0.337649	0.0242853	1			False	False	True
80176	SPSB1	Spsb1	74646	-1.34297	-1.34297	0.047611	1			False	False	True
80196	RNF34	Rnf34	80751	0.307267	0.307267	0.00396778	1			False	False	True
80205	CHD9	Chd9	109151	-0.220203	-0.220203	0.0422675	1			False	False	True
80209	PROSER1	Proser1	212127	-0.384884	-0.384884	0.0240783	1			False	False	True
80213	TM2D3	Tm2d3	68634	0.543675	0.543675	0.00203585	1			False	False	True
80224	NUBPL	Nubpl	76826	0.611565	0.611565	0.0150573	1			False	False	True
80231	TASL	Tasl	71398	0.388934	0.388934	0.00668225	1			False	False	True
80232	WDR26	Wdr26	226757	-0.356267	-0.356267	0.00595664	1			False	False	True
80243	PREX2	Prex2	109294	-1.54994	-1.54994	0.0228286	1			False	False	True
80255	SLC35F5	Slc35f5	74150	0.490069	0.490069	0.00949177	1	BMD		False	True	True
8030	CCDC6	Ccdc6	76551	-0.360757	-0.360757	0.0190678	1	fracture		False	True	True
80305	TRABD	Trabd	67976	0.495088	0.495088	8.33058e-05	1			False	False	True
