hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
26271	FBXO5	Fbxo5	67141	-0.346832	-0.346832	0.0142694	1			False	False	True
26286	ARFGAP3	Arfgap3	66251	-0.416385	-0.416385	0.00343393	1			False	False	True
2632	GBE1	Gbe1	74185	0.438435	0.438435	3.69151e-06	1			False	False	True
26355	FAM162A	Fam162a	70186	0.484414	0.484414	0.0117445	1			False	False	True
2639	GCDH	Gcdh	270076	-0.379335	-0.379335	0.0150371	1			False	False	True
2643	GCH1	Gch1	14528	-0.490684	-0.490684	0.000769185	1			False	False	True
2648	KAT2A	Kat2a	14534	-0.636121	-0.636121	0.00305092	1	BMD|fracture		False	True	True
26499	PLEK2	Plek2	27260	-0.949937	-0.949937	0.000197931	1			False	False	True
26502	NARF	Narf	67608	-0.418722	-0.418722	9.0281e-06	1			False	False	True
26505	CNNM3	Cnnm3	94218	-0.788217	-0.788217	0.00225123	1			False	False	True
26508	HEYL	Heyl	56198	-1.12793	-1.12793	0.0252407	1	BMD		False	True	True
2653	GCSH	Gcsh	68133	0.427352	0.427352	0.0171586	1			False	False	True
26578	OSTF1	Ostf1	20409	0.334666	0.334666	0.00308771	1	BMD|fracture		False	True	True
26586	CKAP2	Ckap2	80986	-0.391368	-0.391368	0.00463844	1			False	False	True
266727	MDGA1	Mdga1	74762	-0.656802	-0.656802	0.0469041	1			False	False	True
2670	GFAP	Gfap	14580	-0.831496	-0.831496	0.000214065	1			False	False	True
267020	ATP5MGL	Atp5mg	27425	0.332393	0.332393	0.0498893	1			False	False	True
2674	GFRA1	Gfra1	14585	-1.26519	-1.26519	0.000167886	1	BMD		False	True	True
26747	NUFIP1	Nufip1	27275	0.427637	0.427637	0.00242868	1	BMD		False	True	True
2675	GFRA2	Gfra2	14586	-0.733238	-0.733238	0.00651253	1	osteoporosis		False	True	True
2681	GGTA1	Ggta1	14594	0.349609	0.349609	1.34863e-05	1			False	False	True
26873	OPLAH	Oplah	75475	-1.11554	-1.11554	0.0017744	1			False	False	True
26985	AP3M1	Ap3m1	55946	0.355624	0.355624	0.00202608	1			False	False	True
26993	AKAP8L	Akap8l	54194	-0.283015	-0.283015	0.0478288	1			False	False	True
26995	TRUB2	Trub2	227682	0.369685	0.369685	0.00958839	1			False	False	True
26996	GPR160	Gpr160	71862	0.547143	0.547143	5.0022e-05	1			False	False	True
26999	CYFIP2	Cyfip2	76884	-0.547932	-0.547932	0.0384199	1			False	False	True
27000	DNAJC2	Dnajc2	22791	0.381031	0.381031	0.00109531	1			False	False	True
27005	USP21	Usp21	30941	-0.277193	-0.277193	0.0387675	1			False	False	True
27013	CNPPD1	Cnppd1	69171	-0.590507	-0.590507	9.46518e-05	1			False	False	True
27020	NPTN	Nptn	20320	-0.299374	-0.299374	0.0444907	1			False	False	True
27030	MLH3	Mlh3	217716	0.376716	0.376716	0.0075338	1	BMD		False	True	True
27039	PKD2L2	Pkd2l2	53871	-0.798014	-0.798014	0.000125676	1			False	False	True
27068	PPA2	Ppa2	74776	0.329097	0.329097	0.0246509	1			False	False	True
2707	GJB3	Gjb3	14620	0.830503	0.830503	0.00223885	1			False	False	True
27071	DAPP1	Dapp1	26377	0.254084	0.254084	0.000723756	1			False	False	True
27072	VPS41	Vps41	218035	0.219493	0.219493	0.0442043	1	fracture		False	True	True
27079	RPUSD2	Rpusd2	271842	-0.309816	-0.309816	0.0400465	1			False	False	True
27089	UQCRQ	Uqcrq	22272	0.40017	0.40017	0.0255055	1			False	False	True
27101	CACYBP	Cacybp	12301	0.482937	0.482937	0.0142474	1			False	False	True
27102	EIF2AK1	Eif2ak1	15467	-0.724951	-0.724951	2.9333e-09	1			False	False	True
27106	ARRDC2	Arrdc2	70807	-0.901142	-0.901142	1.53984e-07	1	BMD|fracture		False	True	True
27113	BBC3	Bbc3	170770	-0.707104	-0.707104	0.00222201	1			False	False	True
27115	PDE7B	Pde7b	29863	1.00582	1.00582	0.00928666	1	BMD		False	True	True
27134	TJP3	Tjp3	27375	-0.678464	-0.678464	0.0359796	1			False	False	True
27154	BRPF3	Brpf3	268936	-1.08131	-1.08131	1.67217e-11	1			False	False	True
