mEntrez	symbol	hEntrez	humanSymbol	log2fc	adj_p_value	nOther	nTissues	specificity
72088	Ush1c	10083.0	USH1C	2.06124	0.00298381	0.0	0.0	marrow-selective
72297	B3gnt3	10331.0	B3GNT3	-1.26093	7.2967e-08	26.0	4.0	systemic
72544	Exosc6	118460.0	EXOSC6	1.29463	0.00015298	2.0	1.0	intermediate
72891	Xlr4c	171482.0	FAM9A	1.24689	0.0160891	3.0	2.0	intermediate
72891	Xlr4c	171484.0	FAM9C	1.24689	0.0160891	3.0	2.0	intermediate
73095	Slc25a42	284439.0	SLC25A42	-1.06925	1.20648e-11	23.0	10.0	systemic
73102	Slc22a23	63027.0	SLC22A23	-1.06305	2.48126e-06	21.0	7.0	systemic
73504	1700071M16Rik			1.18115	0.00137555	1.0	1.0	intermediate
73991	Atl1	51062.0	ATL1	-1.1803	0.000167569	8.0	5.0	systemic
74144	Robo4	54538.0	ROBO4	-1.16518	0.0409692	9.0	4.0	systemic
74183	Perm1	84808.0	PERM1	-1.18401	0.000104503	20.0	10.0	systemic
74646	Spsb1	80176.0	SPSB1	-1.34297	0.047611	11.0	7.0	systemic
75723	Amotl1	154810.0	AMOTL1	-1.36509	0.0014951	21.0	10.0	systemic
77717	Smim41	113523638.0	SMIM41	-1.35689	0.0345011	2.0	2.0	intermediate
77976	Nuak1	9891.0	NUAK1	-1.06082	2.8177e-07	21.0	9.0	systemic
78070	Cpt1c	126129.0	CPT1C	-1.0021	0.0281318	4.0	3.0	systemic
78177	Ninl	22981.0	NINL	-1.2104	2.60797e-10	12.0	5.0	systemic
78593	Nrip3	56675.0	NRIP3	-1.42898	3.15327e-05	8.0	7.0	systemic
78754	Galnt15	117248.0	GALNT15	-1.19014	0.00490817	26.0	10.0	systemic
791282	Gm10030			1.98599	0.000258909	13.0	4.0	systemic
81907	Tmem108	66000.0	TMEM108	-1.21958	2.79233e-05	5.0	3.0	systemic
83397	Akap12	9590.0	AKAP12	-1.19963	6.21892e-06	16.0	6.0	systemic
83398	Ndst3	9348.0	NDST3	-2.27688	0.0252946	9.0	3.0	systemic
93702	Pcdhgb5	56101.0	PCDHGB5	-1.12526	0.00821011	29.0	7.0	systemic
93704	Pcdhgb7	56099.0	PCDHGB7	-1.04445	0.0187344	15.0	6.0	systemic
93708	Pcdhgc5	56097.0	PCDHGC5	-1.29018	0.000892267	6.0	3.0	systemic
93711	Pcdhga3	56112.0	PCDHGA3	-1.72429	0.0142976	26.0	7.0	systemic
93719	Ear6	6037.0	RNASE3	1.29663	6.43931e-06	10.0	3.0	systemic
93719	Ear6	6036.0	RNASE2	1.29663	6.43931e-06	10.0	3.0	systemic
93722	Pcdhga10	56106.0	PCDHGA10	-1.0224	0.017167	24.0	6.0	systemic
99899	Ifi44	10561.0	IFI44	-1.04106	0.0273704	17.0	6.0	systemic
