assay,gene,symbol,organism,taxonomy,log2fc,adj_p,osd,tissue,entrez
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-326-0fc1dbed094071ca1f2f41bddd0ac5a7,http://www.ncbi.nlm.nih.gov/gene/100042498,Mir22hg,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.38167,0.00271619,OSD-326,quadriceps femoris,100042498
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042660,Gm3953,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,2.48915,0.0468767,OSD-770,soleus,100042660
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042776,Eif1ad6,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.24426,0.0317713,OSD-770,soleus,100042776
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-576-df35787540b0077305f2739d53c076ed,http://www.ncbi.nlm.nih.gov/gene/100042791,Rps18-ps3,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.45162,0.0446933,OSD-576,tibialis anterior,100042791
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-665-a4167284b0876ec8d3daba0d0e4a567f,http://www.ncbi.nlm.nih.gov/gene/100042812,Rps26-ps1,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.20874,0.0162864,OSD-665,EDL,100042812
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100042812,Rps26-ps1,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.08902,0.00145126,OSD-690,bone marrow,100042812
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100042846,Gm12057,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.1724,5.09533e-05,OSD-690,bone marrow,100042846
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100042846,Gm12057,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.18758,9.87872e-05,OSD-690,bone marrow,100042846
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100042856,Gvin2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.27776,2.69167e-06,OSD-666,quadriceps femoris,100042856
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-665-a4167284b0876ec8d3daba0d0e4a567f,http://www.ncbi.nlm.nih.gov/gene/100042856,Gvin2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.2938,3.47233e-05,OSD-665,EDL,100042856
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-576-df35787540b0077305f2739d53c076ed,http://www.ncbi.nlm.nih.gov/gene/100042856,Gvin2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.47792,1.44671e-06,OSD-576,tibialis anterior,100042856
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042881,Rbmyf3,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.87424,0.00082166,OSD-770,soleus,100042881
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100042997,Gm4157,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.16817,0.0290043,OSD-770,soleus,100042997
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100043074,Gm4211,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.32698,0.0117532,OSD-104,soleus,100043074
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100043125,Cd300ld5,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-3.21385,0.0146225,OSD-690,bone marrow,100043125
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100043381,Gm14308,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.35886,0.00855818,OSD-690,bone marrow,100043381
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100043564,Gm4521,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.22665,0.023223,OSD-770,soleus,100043564
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100043564,Gm4521,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.60251,0.0311497,OSD-690,bone marrow,100043564
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-f82a89dc82f2903149d2d11cbd6a130d,http://www.ncbi.nlm.nih.gov/gene/100043564,Gm4521,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.53897,0.0298289,OSD-690,bone marrow,100043564
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100043757,Zfp831,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.60148,0.00472691,OSD-770,soleus,100043757
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100043793,Gm4651,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,3.14613,0.0121125,OSD-770,soleus,100043793
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100043853,Gm4691,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.25602,0.0175468,OSD-770,soleus,100043853
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100044509,Tgfbr3l,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.06608,6.40047e-05,OSD-666,quadriceps femoris,100044509
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-105-cfde96b31f3c39139e213c293fde11e0,http://www.ncbi.nlm.nih.gov/gene/100047123,Gm15743,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.28319,0.00475477,OSD-105,tibialis anterior,100047123
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100047123,Gm15743,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.85821,1.42421e-14,OSD-104,soleus,100047123
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-99-69f6c3ba8382c8668e921659326759d7,http://www.ncbi.nlm.nih.gov/gene/100047123,Gm15743,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.98695,3.1488e-12,OSD-99,EDL,100047123
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,http://www.ncbi.nlm.nih.gov/gene/100047482,Pitpnm2os2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.11532,0.0356799,OSD-104,soleus,100047482
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-576-df35787540b0077305f2739d53c076ed,http://www.ncbi.nlm.nih.gov/gene/100101457,A830035O19Rik,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.12552,0.00225658,OSD-576,tibialis anterior,100101457
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-666-c82351edcee1ddd508c2e56d39337eaf,http://www.ncbi.nlm.nih.gov/gene/100101457,A830035O19Rik,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.27003,0.000106535,OSD-666,quadriceps femoris,100101457
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-326-0fc1dbed094071ca1f2f41bddd0ac5a7,http://www.ncbi.nlm.nih.gov/gene/100101807,Fam177a2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-10.5435,0.0325484,OSD-326,quadriceps femoris,100101807
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100126034,Gm10644,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-2.24806,1.55478e-08,OSD-770,soleus,100126034
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-690-d89cbb20c4b7855f3f955e4adbb6515d,http://www.ncbi.nlm.nih.gov/gene/100126226,Krt83,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,1.0132,0.010499,OSD-690,bone marrow,100126226
https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-770-10b02918dd6677725691e274c83a7eaf,http://www.ncbi.nlm.nih.gov/gene/100126824,Sco2,Mus musculus,http://purl.obolibrary.org/obo/NCBITaxon_10090,-1.74442,4.72279e-10,OSD-770,soleus,100126824
