hEntrez	humanSymbol	symbol	l2fc_WT	p_WT	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	l2fc_KO	p_KO	nTissues	specificity	bone_role	sig_WT	sig_KO	n_arms	direction	maxabs	both_samedir	nrf2_dependent	bone_evidence	priority	tier
10302	SNAPC5	Snapc5	0.399175	0.00109925			False	False	0.618755	3.21946e-08				True	True	2	↑	0.618755	True	False	none	29.1	C
1031	CDKN2C	Cdkn2c					False	False	-0.454173	5.41287e-05				False	True	1	↓	0.454173		False	none	13.0	C
10311	VPS26C	Vps26c	0.375478	0.00211053			False	False	0.315417	0.0115429				True	True	2	↑	0.375478	True	False	none	27.5	C
10318	TNIP1	Tnip1					False	False	-0.421219	0.0349118				False	True	1	↓	0.421219		False	none	12.8	C
10326	SIRPB1	Gm5150	0.69179	6.0848e-06			False	False	0.452815	0.00434209				True	True	2	↑	0.69179	True	False	none	29.6	C
10327	AKR1A1	Akr1a1	0.39467	4.97009e-05			False	False	0.38835	6.85856e-05				True	True	2	↑	0.39467	True	False	none	27.6	C
10329	RXYLT1	Rxylt1					False	False	0.477876	0.0499909				False	True	1	↑	0.477876		False	none	13.2	C
10330	CNPY2	Cnpy2	0.36793	0.0205582			False	False	0.460836	0.00235239				True	True	2	↑	0.460836	True	False	none	28.1	C
10331	B3GNT3	B3gnt3	-1.26093	7.2967e-08			False	False	-1.1886	5.69512e-07	4.0	systemic		True	True	2	↓	1.26093	True	False	none	33.4	C
10332	CLEC4M	Cd209f					False	False	-1.15946	0.0292939				False	True	1	↓	1.15946		False	none	17.7	C
10333	TLR6	Tlr6					False	False	0.643738	0.00276414				False	True	1	↑	0.643738		False	none	14.3	C
10335	IRAG1	Irag1	-0.667386	0.0459288			False	False						True	False	1	↓	0.667386		False	none	14.4	C
10347	ABCA7	Abca7					False	False	-0.754756	1.48931e-05				False	True	1	↓	0.754756		False	none	15.0	C
10351	ABCA8	Abca8a	-1.70258	0.0166793			False	False			7.0	systemic		True	False	1	↓	1.70258		False	none	21.4	C
10360	NPM3	Npm3	0.514111	0.0124185			False	False	0.445294	0.0336854				True	True	2	↑	0.514111	True	False	none	28.4	C
10362	HMG20B	Hmg20b					False	False	-0.323977	0.0270041				False	True	1	↓	0.323977		False	none	12.2	C
10383	TUBB4B	Tubb4b					False	False	-0.33065	0.0308035				False	True	1	↓	0.33065		False	none	12.2	C
10390	CEPT1	Cept1	0.551699	6.82921e-09			False	False	0.4161	1.99158e-05				True	True	2	↑	0.551699	True	False	none	28.7	C
103910	MYL12B	Myl12b	0.353128	0.0130294			False	False	0.356878	0.0119008				True	True	2	↑	0.356878	True	False	none	27.4	C
10394	PRG3	Prg3	0.776353	0.0112412			False	False						True	False	1	↑	0.776353		False	none	15.2	C
10396	ATP8A1	Atp8a1	-0.444926	0.00119969			False	False						True	False	1	↓	0.444926		False	none	13.0	C
10397	NDRG1	Ndrg1			osteoporosis		False	True	-0.46937	0.041308				False	True	1	↓	0.46937		True	gwas_strong	36.1	B
10399	RACK1	Rack1	0.419433	0.0149891			False	False						True	False	1	↑	0.419433		False	none	12.8	C
104	ADARB1	Adarb1	-1.03575	0.0416765	BMD		False	True			5.0	systemic		True	False	1	↓	1.03575		False	gwas_bmd	24.9	C
10403	NDC80	Ndc80	-0.316953	0.0169391	osteoporosis		False	True						True	False	1	↓	0.316953		False	gwas_strong	27.1	B
10410	IFITM3	Ifitm2	0.618172	9.74368e-06			False	False	0.360829	0.000395653				True	True	2	↑	0.618172	True	False	none	29.1	C
