disease_set,gene
Osteopenia_HP:0000938,B3GAT3
Osteopenia_HP:0000938,B4GALT7
Osteopenia_HP:0000938,BAZ1B
Osteopenia_HP:0000938,BMP15
Osteopenia_HP:0000938,BNC1
Osteopenia_HP:0000938,BRAF
Osteopenia_HP:0000938,CARD11
Osteopenia_HP:0000938,CAVIN1
Osteopenia_HP:0000938,CCND1
Osteopenia_HP:0000938,CDC73
Osteopenia_HP:0000938,CDH23
Osteopenia_HP:0000938,CHD7
Osteopenia_HP:0000938,CHST3
Osteopenia_HP:0000938,CLIP2
Osteopenia_HP:0000938,COG1
Osteopenia_HP:0000938,COL1A1
Osteopenia_HP:0000938,COL5A1
Osteopenia_HP:0000938,COL5A2
Osteopenia_HP:0000938,COL7A1
Osteopenia_HP:0000938,COX4I2
Osteopenia_HP:0000938,CREB3L1
Osteopenia_HP:0000938,CRIPT
Osteopenia_HP:0000938,CRTAP
Osteopenia_HP:0000938,CTC1
Osteopenia_HP:0000938,CTCF
Osteopenia_HP:0000938,CYP19A1
Osteopenia_HP:0000938,CYP27A1
Osteopenia_HP:0000938,CYP3A4
Osteopenia_HP:0000938,DCAF17
Osteopenia_HP:0000938,DCHS1
Osteopenia_HP:0000938,DDOST
Osteopenia_HP:0000938,DNAJC21
Osteopenia_HP:0000938,DPM2
Osteopenia_HP:0000938,DUSP6
Osteopenia_HP:0000938,EED
Osteopenia_HP:0000938,EFL1
Osteopenia_HP:0000938,EIF2AK3
Osteopenia_HP:0000938,ELANE
Osteopenia_HP:0000938,ELN
Osteopenia_HP:0000938,ERCC2
Osteopenia_HP:0000938,ERCC3
Osteopenia_HP:0000938,ESR1
Osteopenia_HP:0000938,FARSB
Osteopenia_HP:0000938,FAT4
Osteopenia_HP:0000938,FBN1
Osteopenia_HP:0000938,FBN2
Osteopenia_HP:0000938,FGF17
Osteopenia_HP:0000938,FGF8
Osteopenia_HP:0000938,FGFR1
Osteopenia_HP:0000938,FGFR2
Osteopenia_HP:0000938,FKBP10
Osteopenia_HP:0000938,FKBP14
Osteopenia_HP:0000938,FLRT3
Osteopenia_HP:0000938,FOXA2
Osteopenia_HP:0000938,FSHR
Osteopenia_HP:0000938,FUT8
Osteopenia_HP:0000938,GATA1
Osteopenia_HP:0000938,GBA1
Osteopenia_HP:0000938,GCM2
Osteopenia_HP:0000938,GEMIN4
Osteopenia_HP:0000938,GFI1
Osteopenia_HP:0000938,GLI2
Osteopenia_HP:0000938,GLIS3
Osteopenia_HP:0000938,GNAS
Osteopenia_HP:0000938,GNPAT
Osteopenia_HP:0000938,GNPTAB
Osteopenia_HP:0000938,GNRH1
Osteopenia_HP:0000938,GNRHR
Osteopenia_HP:0000938,GORAB
Osteopenia_HP:0000938,GPAA1
Osteopenia_HP:0000938,GPR35
Osteopenia_HP:0000938,GTF2E2
Osteopenia_HP:0000938,GTF2H5
Osteopenia_HP:0000938,GTF2I
Osteopenia_HP:0000938,GTF2IRD1
Osteopenia_HP:0000938,GZF1
Osteopenia_HP:0000938,HBB
Osteopenia_HP:0000938,HECW2
Osteopenia_HP:0000938,HERC2
Osteopenia_HP:0000938,HESX1
Osteopenia_HP:0000938,HNRNPK
Osteopenia_HP:0000938,HPGD
Osteopenia_HP:0000938,HRAS
Osteopenia_HP:0000938,HS6ST1
Osteopenia_HP:0000938,HSD17B4
Osteopenia_HP:0000938,IARS2
Osteopenia_HP:0000938,IER3IP1
Osteopenia_HP:0000938,IFITM5
Osteopenia_HP:0000938,IGF1
Osteopenia_HP:0000938,IL17RD
Osteopenia_HP:0000938,IL1RN
Osteopenia_HP:0000938,IPW
Osteopenia_HP:0000938,IRX5
Osteopenia_HP:0000938,KCNJ1
Osteopenia_HP:0000938,KISS1
Osteopenia_HP:0000938,KISS1R
Osteopenia_HP:0000938,KL
Osteopenia_HP:0000938,KNSTRN
Osteopenia_HP:0000938,KRAS
Osteopenia_HP:0000938,LHX4
Osteopenia_HP:0000938,LIFR
Osteopenia_HP:0000938,LIMK1
Osteopenia_HP:0000938,LMNA
Osteopenia_HP:0000938,LRP5
Osteopenia_HP:0000938,MAFB
Osteopenia_HP:0000938,MAGEL2
Osteopenia_HP:0000938,MAN2B1
Osteopenia_HP:0000938,MBTPS2
Osteopenia_HP:0000938,MDM4
Osteopenia_HP:0000938,MEN1
Osteopenia_HP:0000938,MGAT2
Osteopenia_HP:0000938,MKRN3
Osteopenia_HP:0000938,MLXIPL
Osteopenia_HP:0000938,MMP1
Osteopenia_HP:0000938,MMP14
Osteopenia_HP:0000938,MMP2
Osteopenia_HP:0000938,MPLKIP
Osteopenia_HP:0000938,MRPS22
Osteopenia_HP:0000938,MST1
Osteopenia_HP:0000938,MTAP
Osteopenia_HP:0000938,MTTP
Osteopenia_HP:0000938,MTX2
Osteopenia_HP:0000938,NAGA
Osteopenia_HP:0000938,NCF1
Osteopenia_HP:0000938,NDN
Osteopenia_HP:0000938,NF1
Osteopenia_HP:0000938,NHERF1
Osteopenia_HP:0000938,NOTCH2
Osteopenia_HP:0000938,NPAP1
Osteopenia_HP:0000938,NPR2
Osteopenia_HP:0000938,NR5A1
Osteopenia_HP:0000938,NRAS
Osteopenia_HP:0000938,NSMF
Osteopenia_HP:0000938,NUP107
Osteopenia_HP:0000938,OCA2
Osteopenia_HP:0000938,OTX2
Osteopenia_HP:0000938,P3H1
Osteopenia_HP:0000938,P4HB
Osteopenia_HP:0000938,PDE11A
Osteopenia_HP:0000938,PDGFRB
