trait,traitLabel,gene,geneLabel,weight,entrez
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a1c7ae8b81e9b648213,Lumbar spine bone mineral density,http://www.ncbi.nlm.nih.gov/gene/1021,CDK6,1.35,1021
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/1021,CDK6,1.47,1021
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),http://www.ncbi.nlm.nih.gov/gene/1021,CDK6,1.84,1021
https://purl.org/okn/frink/kg/digcfdekg/node/trait/f536cb6072cfe6124034,Forearm fracture,http://www.ncbi.nlm.nih.gov/gene/10217,CTDSPL,1.15,10217
http://www.ebi.ac.uk/efo/EFO_0009270,heel bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10220,GDF11,1.23,10220
http://www.ebi.ac.uk/efo/EFO_0007785,Femoral neck bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10220,GDF11,1.61,10220
http://purl.obolibrary.org/obo/OBA_2045559,bone density,http://www.ncbi.nlm.nih.gov/gene/10220,GDF11,2.9,10220
https://purl.org/okn/frink/kg/digcfdekg/node/trait/8a1c7ae8b81e9b648213,Lumbar spine bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10220,GDF11,1.78,10220
https://purl.org/okn/frink/kg/digcfdekg/node/trait/ce9fab5cfc433881fa71,Heel quantitative ultrasound estimated bone mineral density (eBMD),http://www.ncbi.nlm.nih.gov/gene/10220,GDF11,1.07,10220
https://purl.org/okn/frink/kg/digcfdekg/node/trait/822d2a7dd4120de88ed8,EHR-defined osteoporosis (dominant model),http://www.ncbi.nlm.nih.gov/gene/10221,TRIB1,1.02,10221
https://purl.org/okn/frink/kg/digcfdekg/node/trait/9e16eca420eee5f32d37,Total body bone mineral density,http://www.ncbi.nlm.nih.gov/gene/10242,KCNMB2,1.51,10242
