fips,disease,prevalence,nplaces
13005,arteriosclerosis,35.05,2
13007,arteriosclerosis,34.1,1
13009,arteriosclerosis,33.9,2
13011,arteriosclerosis,35.0,1
13013,arteriosclerosis,35.22,5
13015,arteriosclerosis,31.82,6
13019,arteriosclerosis,34.42,4
13023,arteriosclerosis,33.3,1
13025,arteriosclerosis,35.5,2
13027,arteriosclerosis,32.85,2
13029,arteriosclerosis,33.95,2
13031,arteriosclerosis,34.38,4
13033,arteriosclerosis,33.5,6
13035,arteriosclerosis,34.2,3
13037,arteriosclerosis,34.33,3
13039,arteriosclerosis,32.65,4
13043,arteriosclerosis,34.75,2
13045,arteriosclerosis,34.24,5
13047,arteriosclerosis,33.3,2
13049,arteriosclerosis,34.65,2
13051,arteriosclerosis,33.82,17
13053,arteriosclerosis,34.0,1
13055,arteriosclerosis,34.48,4
13057,arteriosclerosis,34.72,5
13059,arteriosclerosis,34.7,2
13061,arteriosclerosis,33.8,1
13063,arteriosclerosis,33.71,9
13065,arteriosclerosis,36.0,4
13067,arteriosclerosis,31.32,8
13069,arteriosclerosis,34.8,4
13071,arteriosclerosis,32.48,6
13073,arteriosclerosis,33.05,4
13075,arteriosclerosis,34.78,4
13077,arteriosclerosis,33.41,7
13079,arteriosclerosis,35.3,2
13081,arteriosclerosis,33.75,2
13083,arteriosclerosis,34.6,1
13085,arteriosclerosis,33.0,1
13087,arteriosclerosis,33.2,4
13089,arteriosclerosis,34.17,19
13091,arteriosclerosis,34.6,4
13093,arteriosclerosis,33.44,5
13095,arteriosclerosis,32.25,2
13097,arteriosclerosis,33.5,2
13099,arteriosclerosis,34.65,4
13103,arteriosclerosis,31.7,3
13105,arteriosclerosis,34.17,3
13107,arteriosclerosis,34.1,8
13109,arteriosclerosis,34.38,4
13111,arteriosclerosis,33.28,5
13113,arteriosclerosis,34.0,5
13115,arteriosclerosis,34.52,4
13117,arteriosclerosis,33.6,1
13119,arteriosclerosis,34.2,3
13121,arteriosclerosis,29.35,10
13123,arteriosclerosis,34.73,3
13125,arteriosclerosis,33.8,2
13127,arteriosclerosis,31.08,4
13129,arteriosclerosis,33.38,5
13131,arteriosclerosis,33.93,3
13133,arteriosclerosis,34.12,5
13135,arteriosclerosis,31.01,11
13137,arteriosclerosis,33.98,5
13139,arteriosclerosis,34.83,4
13141,arteriosclerosis,33.7,1
13143,arteriosclerosis,34.17,3
13145,arteriosclerosis,32.43,3
13147,arteriosclerosis,33.83,4
13149,arteriosclerosis,34.3,3
13151,arteriosclerosis,32.7,4
13153,arteriosclerosis,35.6,2
13155,arteriosclerosis,34.4,1
13157,arteriosclerosis,31.91,7
13159,arteriosclerosis,34.7,2
13161,arteriosclerosis,35.27,3
13163,arteriosclerosis,33.53,6
13165,arteriosclerosis,34.65,2
13167,arteriosclerosis,34.6,2
13169,arteriosclerosis,31.3,1
13171,arteriosclerosis,33.53,3
13173,arteriosclerosis,33.7,1
13175,arteriosclerosis,34.04,7
13177,arteriosclerosis,31.85,2
13179,arteriosclerosis,32.26,8
13181,arteriosclerosis,33.5,1
13183,arteriosclerosis,33.5,1
13185,arteriosclerosis,33.56,5
13187,arteriosclerosis,34.6,1
13189,arteriosclerosis,33.55,2
13191,arteriosclerosis,33.3,1
13193,arteriosclerosis,34.25,4
13195,arteriosclerosis,34.13,6
13197,arteriosclerosis,34.4,1
13199,arteriosclerosis,33.35,6
13201,arteriosclerosis,34.15,2
13205,arteriosclerosis,34.12,4
13207,arteriosclerosis,32.35,2
13209,arteriosclerosis,34.27,6
13211,arteriosclerosis,31.6,4
13213,arteriosclerosis,34.8,2
13215,arteriosclerosis,33.4,1
13217,arteriosclerosis,33.88,5
13219,arteriosclerosis,32.0,3
13221,arteriosclerosis,34.25,4
13223,arteriosclerosis,33.0,2
13225,arteriosclerosis,34.1,1
13227,arteriosclerosis,33.75,2
13229,arteriosclerosis,35.6,3
13231,arteriosclerosis,31.68,6
13233,arteriosclerosis,33.83,3
13235,arteriosclerosis,33.1,1
13237,arteriosclerosis,34.7,2
13239,arteriosclerosis,34.2,1
13241,arteriosclerosis,33.66,5
13243,arteriosclerosis,34.13,3
13245,arteriosclerosis,32.05,2
13247,arteriosclerosis,34.2,2
13249,arteriosclerosis,33.5,1
13251,arteriosclerosis,33.88,5
13253,arteriosclerosis,34.4,2
13255,arteriosclerosis,33.66,5
13257,arteriosclerosis,34.85,2
13259,arteriosclerosis,34.7,2
13261,arteriosclerosis,33.46,5
13263,arteriosclerosis,33.7,4
13265,arteriosclerosis,33.15,2
13267,arteriosclerosis,35.12,6
13269,arteriosclerosis,35.37,3
13271,arteriosclerosis,34.35,2
13273,arteriosclerosis,33.4,4
13275,arteriosclerosis,32.62,4
13277,arteriosclerosis,34.72,4
13279,arteriosclerosis,35.3,2
13281,arteriosclerosis,34.6,2
13283,arteriosclerosis,33.8,1
13285,arteriosclerosis,34.35,2
13287,arteriosclerosis,34.9,3
13289,arteriosclerosis,33.6,1
13291,arteriosclerosis,32.8,1
13293,arteriosclerosis,34.22,6
13295,arteriosclerosis,33.42,6
13297,arteriosclerosis,33.84,5
13299,arteriosclerosis,35.3,2
13301,arteriosclerosis,34.2,3
13303,arteriosclerosis,34.4,7
13305,arteriosclerosis,34.97,3
13307,arteriosclerosis,33.7,1
13309,arteriosclerosis,34.5,2
13311,arteriosclerosis,33.4,4
13313,arteriosclerosis,35.3,4
13315,arteriosclerosis,33.98,5
13317,arteriosclerosis,34.07,3
13319,arteriosclerosis,33.74,5
13321,arteriosclerosis,34.22,4
15001,arteriosclerosis,27.06,44
15003,arteriosclerosis,29.35,51
15007,arteriosclerosis,26.52,24
15009,arteriosclerosis,25.66,28
16001,arteriosclerosis,26.52,6
16003,arteriosclerosis,27.7,2
16005,arteriosclerosis,28.98,6
16007,arteriosclerosis,27.85,6
16009,arteriosclerosis,27.1,4
16011,arteriosclerosis,26.78,9
16013,arteriosclerosis,25.96,5
16015,arteriosclerosis,27.1,5
16017,arteriosclerosis,27.24,9
16019,arteriosclerosis,30.34,7
16021,arteriosclerosis,28.35,2
16023,arteriosclerosis,28.37,3
16025,arteriosclerosis,28.5,1
16027,arteriosclerosis,32.72,8
16029,arteriosclerosis,27.0,3
16031,arteriosclerosis,27.92,4
16033,arteriosclerosis,28.9,1
16035,arteriosclerosis,27.68,4
16037,arteriosclerosis,27.93,3
16039,arteriosclerosis,30.15,2
16041,arteriosclerosis,28.3,5
16043,arteriosclerosis,28.32,6
16045,arteriosclerosis,27.4,1
16047,arteriosclerosis,26.95,4
